Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.02575,4.972719,[ 87 187] ; [8 5],[ 90.69686411 183.30313589] ; [4.30313589 8.69686411],0
p9,1,0.047112,3.9414,[179  93] ; [12  1],[182.2877193  89.7122807] ; [8.7122807 4.2877193],0
b4,1,0.05995,3.538761,[163 116] ; [11  2],[166.25342466 112.74657534] ; [7.74657534 5.25342466],0
s8,1,0.065316,3.396985,[ 50 228] ; [5 8],[ 52.54295533 225.45704467] ; [ 2.45704467 10.54295533],0
b5,1,0.085518,2.956787,[170 109] ; [11  2],[172.94178082 106.05821918] ; [8.05821918 4.94178082],0
a8,1,0.104165,2.640595,[ 24 235] ; [ 3 10],[ 25.70955882 233.29044118] ; [ 1.29044118 11.70955882],0
n5,1,0.106196,2.609937,[172 103] ; [11  2],[174.73958333 100.26041667] ; [8.26041667 4.73958333],0
s6,1,0.120885,2.405814,[100 176] ; [7 5],[102.54166667 173.45833333] ; [4.45833333 7.54166667],0
n1,1,0.132893,2.258385,[38 63] ; [3 1],[39.43809524 61.56190476] ; [1.56190476 2.43809524],0
p1,1,0.133374,2.252785,[ 15 263] ; [ 2 11],[ 16.24054983 261.75945017] ; [ 0.75945017 12.24054983],0
b1,1,0.169162,1.890357,[ 98 181] ; [7 6],[100.32534247 178.67465753] ; [4.67465753 8.32534247],0
s7,1,0.195593,1.674981,[ 49 218] ; [4 8],[ 50.72043011 216.27956989] ; [2.27956989 9.72043011],0
p7,1,0.203989,1.613581,[109 164] ; [7 5],[111.11578947 161.88421053] ; [4.88421053 7.11578947],0
v1,1,0.210838,1.565664,[ 99 176] ; [6 5],[100.96153846 174.03846154] ; [4.03846154 6.96153846],0
a5,1,0.236786,1.39963,[169 110] ; [10  3],[171.03082192 107.96917808] ; [7.96917808 5.03082192],0
s5,1,0.243872,1.358073,[ 36 237] ; [3 9],[ 37.35789474 235.64210526] ; [ 1.64210526 10.35789474],0
p12,1,0.287712,1.130299,[  8 269] ; [ 1 11],[  8.62629758 268.37370242] ; [ 0.37370242 11.62629758],0
r4,1,0.311443,1.024546,[207  72] ; [8 5],[205.42808219  73.57191781] ; [9.57191781 3.42808219],0
p4,1,0.350304,0.872356,[ 80 195] ; [5 7],[ 81.44599303 193.55400697] ; [3.55400697 8.44599303],0
d2,1,0.350389,0.872048,[113 164] ; [7 6],[114.62068966 162.37931034] ; [5.37931034 7.62068966],0
n4,1,0.376007,0.783715,[180  97] ; [10  3],[181.48275862  95.51724138] ; [8.51724138 4.48275862],0
r3,1,0.395377,0.722343,[236  40] ; [10  3],[234.93425606  41.06574394] ; [11.06574394  1.93425606],0
d4,1,0.40541,0.692221,[206  71] ; [11  2],[207.27241379  69.72758621] ; [9.72758621 3.27241379],0
p2,1,0.411083,0.675665,[194  85] ; [7 5],[192.71134021  86.28865979] ; [8.28865979 3.71134021],0
v4,1,0.423786,0.639793,[234  41] ; [10  3],[232.98611111  42.01388889] ; [11.01388889  1.98611111],0
d5,1,0.429563,0.624005,[200  79] ; [8 5],[198.73972603  80.26027397] ; [9.26027397 3.73972603],0
n3,1,0.446786,0.578793,[62 36] ; [4 1],[62.7961165 35.2038835] ; [3.2038835 1.7961165],0
