Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,25.000879,[25 19] ; [ 4 44],[13.86956522 30.13043478] ; [15.13043478 32.86956522],1
a3,1,1.1e-05,19.298976,[33 11] ; [14 34],[22.47826087 21.52173913] ; [24.52173913 23.47826087],1
d5,1,0.000335,12.86398,[36  9] ; [21 27],[27.58064516 17.41935484] ; [29.41935484 18.58064516],1
a6,1,0.001313,10.323774,[30 15] ; [16 32],[22.25806452 22.74193548] ; [23.74193548 24.25806452],0
d2,1,0.002395,9.219427,[25 19] ; [12 35],[17.89010989 26.10989011] ; [19.10989011 27.89010989],0
p4,1,0.005441,7.72684,[22 23] ; [10 37],[15.65217391 29.34782609] ; [16.34782609 30.65217391],0
d1,1,0.016823,5.714756,[22 23] ; [12 36],[16.4516129 28.5483871] ; [17.5483871 30.4516129],0
n1,1,0.018091,5.587302,[10 10] ; [ 4 20],[ 6.36363636 13.63636364] ; [ 7.63636364 16.36363636],0
d4,1,0.027855,4.837003,[33 12] ; [24 23],[27.88043478 17.11956522] ; [29.11956522 17.88043478],0
b4,1,0.051517,3.791382,[22 23] ; [33 15],[26.61290323 18.38709677] ; [28.38709677 19.61290323],0
n4,1,0.06405,3.429282,[31 14] ; [24 24],[26.61290323 18.38709677] ; [28.38709677 19.61290323],0
b5,1,0.079326,3.078652,[19 26] ; [29 19],[23.22580645 21.77419355] ; [24.77419355 23.22580645],0
a8,1,0.084729,2.971769,[ 5 37] ; [ 1 42],[ 2.96470588 39.03529412] ; [ 3.03529412 39.96470588],0
p9,1,0.093103,2.819887,[25 18] ; [19 28],[21.02222222 21.97777778] ; [22.97777778 24.02222222],0
p3,1,0.10141,2.683227,[14 31] ; [ 8 40],[10.64516129 34.35483871] ; [11.35483871 36.64516129],0
s3,1,0.139354,2.185083,[19 25] ; [13 33],[15.64444444 28.35555556] ; [16.35555556 29.64444444],0
u1,1,0.145908,2.114517,[ 4 41] ; [ 1 47],[ 2.41935484 42.58064516] ; [ 2.58064516 45.41935484],0
d3,1,0.146432,2.109034,[25 20] ; [19 28],[21.52173913 23.47826087] ; [22.47826087 24.52173913],0
s7,1,0.153485,2.037272,[14 26] ; [10 37],[11.03448276 28.96551724] ; [12.96551724 34.03448276],0
s6,1,0.157097,2.001951,[16 28] ; [11 37],[12.91304348 31.08695652] ; [14.08695652 33.91304348],0
n5,1,0.169937,1.883503,[31 12] ; [28 20],[27.87912088 15.12087912] ; [31.12087912 16.87912088],0
p2,1,0.177575,1.817803,[20 24] ; [28 19],[23.20879121 20.79120879] ; [24.79120879 22.20879121],0
p10,1,0.205791,1.600791,[25 19] ; [20 26],[22. 22.] ; [23. 23.],0
a7,1,0.209039,1.578071,[26 19] ; [21 26],[22.98913043 22.01086957] ; [24.01086957 22.98913043],0
b2,1,0.236858,1.399197,[13 18] ; [ 7 19],[10.87719298 20.12280702] ; [ 9.12280702 16.87719298],0
