Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.025198,[151  89] ; [127 180],[121.97440585 118.02559415] ; [156.02559415 150.97440585],1
v3,1,1e-06,23.973996,[111 130] ; [ 81 230],[ 83.82608696 157.17391304] ; [108.17391304 202.82608696],1
p3,1,7.3e-05,15.735677,[110 140] ; [ 90 231],[ 87.56567426 162.43432574] ; [112.43432574 208.56567426],1
p2,1,0.000151,14.356526,[205  45] ; [219 103],[185.31468531  64.68531469] ; [238.68531469  83.31468531],1
p9,1,0.000456,12.28571,[202  45] ; [216  98],[184.03921569  62.96078431] ; [233.96078431  80.03921569],1
a5,1,0.000701,11.486404,[190  60] ; [202 120],[171.32867133  78.67132867] ; [220.67132867 101.32867133],1
s6,1,0.000722,11.432465,[160  85] ; [163 156],[140.31028369 104.68971631] ; [182.68971631 136.31028369],1
n5,1,0.000876,11.072714,[187  60] ; [199 119],[168.74690265  78.25309735] ; [217.25309735 100.74690265],1
p4,1,0.002324,9.273846,[123 126] ; [117 202],[105.21126761 143.78873239] ; [134.78873239 184.21126761],0
s8,1,0.003964,8.300396,[ 96 152] ; [ 88 234],[ 80.05614035 167.94385965] ; [103.94385965 218.05614035],0
r1,1,0.00426,8.16965,[201  45] ; [229  92],[186.56084656  59.43915344] ; [243.43915344  77.56084656],0
a3,1,0.005244,7.793434,[182  67] ; [199 122],[166.43684211  82.56315789] ; [214.56315789 106.43684211],0
r4,1,0.010767,6.503434,[217  33] ; [253  69],[205.41958042  44.58041958] ; [264.58041958  57.41958042],0
r2,1,0.010841,6.491221,[232  14] ; [280  38],[223.31914894  22.68085106] ; [288.68085106  29.31914894],0
s2,1,0.01096,6.471728,[118 127] ; [120 200],[103.20353982 141.79646018] ; [134.79646018 185.20353982],0
p7,1,0.013343,6.123081,[132 113] ; [137 179],[117.47771836 127.52228164] ; [151.52228164 164.47771836],0
n2,1,0.015291,5.882631,[48 10] ; [66 36],[41.325 16.675] ; [72.675 29.325],0
p8,1,0.019442,5.461308,[109 138] ; [110 209],[ 95.57067138 151.42932862] ; [123.42932862 195.57067138],0
p10,1,0.019498,5.456287,[190  57] ; [217 102],[177.6130742  69.3869258] ; [229.3869258  89.6130742],0
b5,1,0.021435,5.291079,[162  88] ; [178 144],[148.6013986 101.3986014] ; [191.3986014 130.6013986],0
r3,1,0.021869,5.256191,[232  16] ; [281  39],[223.98591549  24.01408451] ; [289.01408451  30.98591549],0
v4,1,0.024577,5.053436,[229  16] ; [281  39],[221.15044248  23.84955752] ; [288.84955752  31.15044248],0
s7,1,0.029953,4.712002,[100 137] ; [101 204],[ 87.89114391 149.10885609] ; [113.10885609 191.89114391],0
a4,1,0.032366,4.579016,[114 134] ; [119 202],[101.55360281 146.44639719] ; [131.44639719 189.55360281],0
a8,1,0.033816,4.503972,[ 36 189] ; [ 29 267],[ 28.07101727 196.92898273] ; [ 36.92898273 259.07101727],0
a2,1,0.035621,4.41517,[ 64 186] ; [ 59 263],[ 53.75874126 196.24125874] ; [ 69.24125874 252.75874126],0
p11,1,0.035799,4.406677,[190  60] ; [219 103],[178.75874126  71.24125874] ; [230.24125874  91.75874126],0
b2,1,0.038036,4.303394,[55 98] ; [ 45 132],[ 46.36363636 106.63636364] ; [ 53.63636364 123.36363636],0
b3,1,0.038036,4.303394,[55 98] ; [ 45 132],[ 46.36363636 106.63636364] ; [ 53.63636364 123.36363636],0
n3,1,0.044923,4.021538,[46 13] ; [62 37],[40.32911392 18.67088608] ; [67.67088608 31.32911392],0
u3,1,0.050172,3.8357,[41 27] ; [55 66],[34.53968254 33.46031746] ; [61.46031746 59.53968254],0
n6,1,0.058059,3.591993,[199  47] ; [238  83],[189.5978836  56.4021164] ; [247.4021164  73.5978836],0
n4,1,0.064086,3.428352,[181  66] ; [212 109],[170.89964789  76.10035211] ; [222.10035211  98.89964789],0
u1,1,0.066212,3.374528,[ 43 207] ; [ 38 284],[ 35.4020979 214.5979021] ; [ 45.5979021 276.4020979],0
u4,1,0.072329,3.229365,[  6 244] ; [  2 320],[  3.4965035 246.5034965] ; [  4.5034965 317.4965035],0
