Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.7e-05,18.545275,[17 52] ; [32 18],[28.41176471 40.58823529] ; [20.58823529 29.41176471],1
r1,1,6.7e-05,15.901605,[29 40] ; [40 11],[39.675 29.325] ; [29.325 21.675],1
a6,1,0.000397,12.545956,[29 40] ; [38 13],[38.525 30.475] ; [28.475 22.525],1
a4,1,0.000585,11.822869,[ 5 64] ; [16 35],[12.075 56.925] ; [ 8.925 42.075],1
p3,1,0.000779,11.290058,[16 53] ; [27 24],[24.725 44.275] ; [18.275 32.725],1
s7,1,0.003336,8.613906,[14 54] ; [21 24],[21.0619469 46.9380531] ; [13.9380531 31.0619469],0
v3,1,0.006701,7.351441,[10 57] ; [18 31],[16.17241379 50.82758621] ; [11.82758621 37.17241379],0
p4,1,0.008393,6.947718,[20 47] ; [27 23],[26.91452991 40.08547009] ; [20.08547009 29.91452991],0
p5,1,0.011001,6.465145,[ 2 67] ; [ 8 42],[ 5.79831933 63.20168067] ; [ 4.20168067 45.79831933],0
r4,1,0.011126,6.445013,[42 27] ; [42  9],[48.3 20.7] ; [35.7 15.3],0
n4,1,0.013088,6.157179,[34 34] ; [37 14],[40.57142857 27.42857143] ; [30.42857143 20.57142857],0
p10,1,0.020351,5.381522,[34 33] ; [36 14],[40.08547009 26.91452991] ; [29.91452991 20.08547009],0
p9,1,0.029394,4.744377,[39 28] ; [38 11],[44.47413793 22.52586207] ; [32.52586207 16.47413793],0
n3,1,0.032654,4.563831,[16 12] ; [11  1],[18.9  9.1] ; [8.1 3.9],0
s5,1,0.051364,3.796364,[12 54] ; [17 33],[16.5 49.5] ; [12.5 37.5],0
s8,1,0.098853,2.72395,[13 56] ; [16 34],[16.81512605 52.18487395] ; [12.18487395 37.81512605],0
b2,1,0.106502,2.605371,[ 7 27] ; [11 17],[ 9.87096774 24.12903226] ; [ 8.12903226 19.87096774],0
b3,1,0.106502,2.605371,[ 7 27] ; [11 17],[ 9.87096774 24.12903226] ; [ 8.12903226 19.87096774],0
n1,1,0.117936,2.44452,[ 8 20] ; [7 6],[10.24390244 17.75609756] ; [4.75609756 8.24390244],0
a7,1,0.118203,2.44097,[32 37] ; [31 20],[36.225 32.775] ; [26.775 24.225],0
s2,1,0.121022,2.40404,[20 48] ; [22 29],[24. 44.] ; [18. 33.],0
