Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000109,14.972375,[ 9 23] ; [39 16],[17.65517241 14.34482759] ; [30.34482759 24.65517241],1
s4,1,0.017094,5.686736,[ 2 30] ; [15 40],[ 6.25287356 25.74712644] ; [10.74712644 44.25287356],0
d4,1,0.028439,4.801229,[20 12] ; [21 34],[15.08045977 16.91954023] ; [25.91954023 29.08045977],0
a5,1,0.040062,4.215256,[ 8 24] ; [26 29],[12.50574713 19.49425287] ; [21.49425287 33.50574713],0
d2,1,0.068158,3.326844,[ 3 29] ; [14 41],[ 6.25287356 25.74712644] ; [10.74712644 44.25287356],0
s7,1,0.06872,3.313344,[ 5 26] ; [18 34],[ 8.59036145 22.40963855] ; [14.40963855 37.59036145],0
p8,1,0.072475,3.226066,[15 17] ; [15 39],[11.1627907 20.8372093] ; [18.8372093 35.1627907],0
d3,1,0.185055,1.756551,[12 20] ; [13 41],[ 9.30232558 22.69767442] ; [15.69767442 38.30232558],0
a7,1,0.213017,1.550802,[16 16] ; [20 35],[13.24137931 18.75862069] ; [22.75862069 32.24137931],0
v3,1,0.213132,1.550026,[ 3 28] ; [11 44],[ 5.04651163 25.95348837] ; [ 8.95348837 46.04651163],0
p6,1,0.215215,1.535992,[ 4 27] ; [13 41],[ 6.2 24.8] ; [10.8 43.2],0
r1,1,0.237023,1.398214,[10 22] ; [11 44],[ 7.72413793 24.27586207] ; [13.27586207 41.72413793],0
v4,1,0.248213,1.333333,[20 10] ; [29 25],[17.5 12.5] ; [31.5 22.5],0
p7,1,0.250591,1.320004,[17 13] ; [24 31],[14.47058824 15.52941176] ; [26.52941176 28.47058824],0
s6,1,0.264741,1.243797,[ 9 23] ; [22 33],[11.40229885 20.59770115] ; [19.59770115 35.40229885],0
n6,1,0.264812,1.243426,[15 17] ; [32 22],[17.48837209 14.51162791] ; [29.51162791 24.48837209],0
s8,1,0.279329,1.170351,[ 4 28] ; [12 43],[ 5.88505747 26.11494253] ; [10.11494253 44.88505747],0
n1,1,0.29769,1.084516,[4 9] ; [13 14],[5.525 7.475] ; [11.475 15.525],0
n2,1,0.304773,1.053192,[7 6] ; [19  8],[8.45 4.55] ; [17.55  9.45],0
p2,1,0.309103,1.034506,[22  9] ; [33 22],[19.8255814 11.1744186] ; [35.1744186 19.8255814],0
a1,1,0.338759,0.915122,[ 2 30] ; [ 7 48],[ 3.31034483 28.68965517] ; [ 5.68965517 49.31034483],0
p10,1,0.344258,0.894511,[14 16] ; [31 23],[16.07142857 13.92857143] ; [28.92857143 25.07142857],0
a3,1,0.378487,0.775609,[13 18] ; [28 26],[14.95294118 16.04705882] ; [26.04705882 27.95294118],0
b4,1,0.444849,0.583742,[19 13] ; [28 27],[17.28735632 14.71264368] ; [29.71264368 25.28735632],0
r3,1,0.467513,0.527848,[18 14] ; [26 28],[16.37209302 15.62790698] ; [27.62790698 26.37209302],0
a6,1,0.469263,0.52371,[12 20] ; [25 30],[13.6091954 18.3908046] ; [23.3908046 31.6091954],0
a8,1,0.479499,0.500002,[ 1 27] ; [ 4 49],[ 1.72839506 26.27160494] ; [ 3.27160494 49.72839506],0
s5,1,0.507052,0.440147,[ 5 26] ; [ 6 48],[ 4.01176471 26.98823529] ; [ 6.98823529 47.01176471],0
b2,1,0.534217,0.386364,[ 5 12] ; [13 21],[ 6. 11.] ; [12. 22.],0
b3,1,0.534217,0.386364,[ 5 12] ; [13 21],[ 6. 11.] ; [12. 22.],0
v2,1,0.598481,0.277293,[ 7 24] ; [15 39],[ 8.02352941 22.97647059] ; [13.97647059 40.02352941],0
a2,1,0.616874,0.250286,[ 1 31] ; [ 3 52],[ 1.47126437 30.52873563] ; [ 2.52873563 52.47126437],0
p5,1,0.625387,0.238368,[ 1 30] ; [ 3 51],[ 1.45882353 29.54117647] ; [ 2.54117647 51.45882353],0
