Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.00724,7.212482,[54  8] ; [14  9],[49.6 12.4] ; [18.4  4.6],0
d3,1,0.015782,5.826962,[41 21] ; [ 9 15],[36.04651163 25.95348837] ; [13.95348837 10.04651163],0
p8,1,0.025698,4.976212,[33 29] ; [ 6 17],[28.44705882 33.55294118] ; [10.55294118 12.44705882],0
d2,1,0.028132,4.819958,[16 47] ; [12 12],[20.27586207 42.72413793] ; [ 7.72413793 16.27586207],0
r2,1,0.040518,4.196062,[56  7] ; [17  7],[52.86206897 10.13793103] ; [20.13793103  3.86206897],0
p11,1,0.046791,3.952882,[50 13] ; [14 10],[46.34482759 16.65517241] ; [17.65517241  6.34482759],0
p10,1,0.051751,3.783803,[49 13] ; [14 10],[45.41860465 16.58139535] ; [17.58139535  6.41860465],0
p7,1,0.057172,3.617573,[38 21] ; [10 14],[34.12048193 24.87951807] ; [13.87951807 10.12048193],0
a6,1,0.060183,3.532331,[45 18] ; [12 12],[41.27586207 21.72413793] ; [15.72413793  8.27586207],0
a7,1,0.084141,2.983048,[44 19] ; [12 12],[40.55172414 22.44827586] ; [15.44827586  8.55172414],0
r1,1,0.084141,2.983048,[44 19] ; [12 12],[40.55172414 22.44827586] ; [15.44827586  8.55172414],0
b1,1,0.088935,2.893548,[24 39] ; [14 10],[27.51724138 35.48275862] ; [10.48275862 13.51724138],0
d4,1,0.109463,2.56196,[47 15] ; [14 10],[43.97674419 18.02325581] ; [17.02325581  6.97674419],0
r4,1,0.156946,2.003412,[51 12] ; [16  8],[48.51724138 14.48275862] ; [18.48275862  5.51724138],0
n2,1,0.160814,1.966555,[19  4] ; [8 5],[17.25  5.75] ; [9.75 3.25],0
a4,1,0.185816,1.750485,[17 46] ; [10 14],[19.55172414 43.44827586] ; [ 7.44827586 16.55172414],0
s6,1,0.223447,1.482095,[38 25] ; [11 13],[35.48275862 27.51724138] ; [13.51724138 10.48275862],0
a5,1,0.229854,1.441768,[33 30] ; [16  8],[35.48275862 27.51724138] ; [13.51724138 10.48275862],0
v1,1,0.239853,1.381458,[32 30] ; [ 9 15],[29.55813953 32.44186047] ; [11.44186047 12.55813953],0
a3,1,0.242119,1.368212,[36 27] ; [17  7],[38.37931034 24.62068966] ; [14.62068966  9.37931034],0
