Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.002414,9.204545,[49  5] ; [17 10],[44. 10.] ; [22.  5.],0
p10,1,0.006318,7.457199,[47  7] ; [17 11],[42.14634146 11.85365854] ; [21.85365854  6.14634146],0
p8,1,0.01108,6.452517,[21 30] ; [ 4 25],[15.9375 35.0625] ; [ 9.0625 19.9375],0
n2,1,0.013243,6.136364,[14  1] ; [8 7],[11.  4.] ; [11.  4.],0
b1,1,0.031903,4.603715,[10 44] ; [12 18],[14.14285714 39.85714286] ; [ 7.85714286 22.14285714],0
r3,1,0.032089,4.593712,[50  4] ; [22  7],[46.84337349  7.15662651] ; [25.15662651  3.84337349],0
d5,1,0.037885,4.310194,[35 19] ; [25  4],[39.03614458 14.96385542] ; [20.96385542  8.03614458],0
u1,1,0.040276,4.206222,[ 3 51] ; [ 6 24],[ 5.78571429 48.21428571] ; [ 3.21428571 26.78571429],0
p2,1,0.042587,4.111729,[42 12] ; [17 13],[37.92857143 16.07142857] ; [21.07142857  8.92857143],0
d2,1,0.063759,3.436803,[16 38] ; [15 15],[19.92857143 34.07142857] ; [11.07142857 18.92857143],0
n5,1,0.063759,3.436803,[38 16] ; [15 15],[34.07142857 19.92857143] ; [18.92857143 11.07142857],0
p7,1,0.070578,3.269532,[26 24] ; [ 9 20],[22.15189873 27.84810127] ; [12.84810127 16.15189873],0
b4,1,0.116748,2.460412,[33 21] ; [13 17],[29.57142857 24.42857143] ; [16.42857143 13.57142857],0
s6,1,0.129619,2.297058,[43  9] ; [19  9],[40.3 11.7] ; [21.7  6.3],0
a4,1,0.147299,2.1,[15 39] ; [13 17],[18. 36.] ; [10. 20.],0
n4,1,0.160804,1.966648,[32 22] ; [13 17],[28.92857143 25.07142857] ; [16.07142857 13.92857143],0
a2,1,0.162049,1.955002,[ 5 49] ; [ 6 24],[ 7.07142857 46.92857143] ; [ 3.92857143 26.07142857],0
b2,1,0.176998,1.822654,[ 5 25] ; [4 7],[ 6.58536585 23.41463415] ; [2.41463415 8.58536585],0
b3,1,0.176998,1.822654,[ 5 25] ; [4 7],[ 6.58536585 23.41463415] ; [2.41463415 8.58536585],0
r4,1,0.185016,1.756863,[46  8] ; [22  8],[43.71428571 10.28571429] ; [24.28571429  5.71428571],0
n3,1,0.195321,1.677019,[13  2] ; [10  5],[11.5  3.5] ; [11.5  3.5],0
v4,1,0.252059,1.311858,[51  2] ; [27  3],[49.80722892  3.19277108] ; [28.19277108  1.80722892],0
a7,1,0.29494,1.096934,[37 17] ; [23  6],[39.03614458 14.96385542] ; [20.96385542  8.03614458],0
p6,1,0.346536,0.886103,[14 39] ; [ 5 24],[12.2804878 40.7195122] ; [ 6.7195122 22.2804878],0
u2,1,0.382797,0.761701,[13 10] ; [4 6],[11.84848485 11.15151515] ; [5.15151515 4.84848485],0
r2,1,0.394972,0.72358,[51  3] ; [25  3],[50.04878049  3.95121951] ; [25.95121951  2.04878049],0
a3,1,0.405076,0.693207,[31 23] ; [20 10],[32.78571429 21.21428571] ; [18.21428571 11.78571429],0
n1,1,0.408961,0.681818,[ 5 10] ; [ 3 12],[ 4. 11.] ; [ 4. 11.],0
u3,1,0.410966,0.676003,[15  8] ; [5 5],[13.93939394  9.06060606] ; [6.06060606 3.93939394],0
p4,1,0.423122,0.641629,[19 35] ; [ 8 22],[17.35714286 36.64285714] ; [ 9.64285714 20.35714286],0
v2,1,0.458992,0.548352,[22 29] ; [15 14],[23.5875 27.4125] ; [13.4125 15.5875],0
s3,1,0.466938,0.529213,[36 17] ; [18 12],[34.48192771 18.51807229] ; [19.51807229 10.48192771],0
n6,1,0.480936,0.49674,[44  9] ; [23  7],[42.78313253 10.21686747] ; [24.21686747  5.78313253],0
d1,1,0.513388,0.427155,[23 31] ; [15 15],[24.42857143 29.57142857] ; [13.57142857 16.42857143],0
s8,1,0.693282,0.155556,[24 30] ; [12 18],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
a8,1,0.716324,0.132042,[ 3 47] ; [ 1 24],[ 2.66666667 47.33333333] ; [ 1.33333333 23.66666667],0
d3,1,0.720184,0.128317,[39 15] ; [22  7],[39.68674699 14.31325301] ; [21.31325301  7.68674699],0
s7,1,0.750137,0.101416,[29 25] ; [14 14],[28.31707317 25.68292683] ; [14.68292683 13.31707317],0
s2,1,0.800766,0.063683,[35 17] ; [21  9],[35.51219512 16.48780488] ; [20.48780488  9.51219512],0
a6,1,0.817361,0.053333,[32 22] ; [17 13],[31.5 22.5] ; [17.5 12.5],0
a5,1,0.817361,0.053333,[31 23] ; [18 12],[31.5 22.5] ; [17.5 12.5],0
p1,1,0.83661,0.042532,[ 3 51] ; [ 2 28],[ 3.21428571 50.78571429] ; [ 1.78571429 28.21428571],0
v3,1,0.853635,0.034034,[11 40] ; [ 7 23],[11.33333333 39.66666667] ; [ 6.66666667 23.33333333],0
b5,1,0.864184,0.029258,[35 19] ; [20 10],[35.35714286 18.64285714] ; [19.64285714 10.35714286],0
d4,1,0.912864,0.011974,[39 15] ; [22  8],[39.21428571 14.78571429] ; [21.78571429  8.21428571],0
v1,1,0.922933,0.009359,[20 33] ; [11 19],[19.79518072 33.20481928] ; [11.20481928 18.79518072],0
s1,1,0.9402,0.005628,[ 2 51] ; [ 1 28],[ 1.93902439 51.06097561] ; [ 1.06097561 27.93902439],0
s5,1,0.965571,0.001863,[23 26] ; [13 15],[22.90909091 26.09090909] ; [13.09090909 14.90909091],0
r1,1,1.0,0.0,[36 18] ; [20 10],[36. 18.] ; [20. 10.],0
