Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.4e-05,18.899937,[89 16] ; [11 14],[80.76923077 24.23076923] ; [19.23076923  5.76923077],1
n4,1,3.7e-05,16.995198,[90 15] ; [12 13],[82.38461538 22.61538462] ; [19.61538462  5.38461538],1
p2,1,0.002785,8.943301,[84 20] ; [13 12],[78.20155039 25.79844961] ; [18.79844961  6.20155039],0
r4,1,0.007605,7.124204,[91 14] ; [16  9],[86.42307692 18.57692308] ; [20.57692308  4.42307692],0
d5,1,0.009045,6.814008,[87 17] ; [15 10],[82.23255814 21.76744186] ; [19.76744186  5.23255814],0
s7,1,0.010245,6.591826,[82 20] ; [12 10],[77.32258065 24.67741935] ; [16.67741935  5.32258065],0
p11,1,0.018061,5.590239,[86 19] ; [15 10],[81.57692308 23.42307692] ; [19.42307692  5.57692308],0
a3,1,0.018061,5.590239,[86 19] ; [15 10],[81.57692308 23.42307692] ; [19.42307692  5.57692308],0
p9,1,0.018884,5.512228,[88 17] ; [15  9],[83.8372093 21.1627907] ; [19.1627907  4.8372093],0
s8,1,0.021682,5.271113,[79 26] ; [13 12],[74.30769231 30.69230769] ; [17.69230769  7.30769231],0
p7,1,0.039279,4.248743,[74 29] ; [12 12],[69.7480315 33.2519685] ; [16.2519685  7.7480315],0
u2,1,0.051129,3.804049,[ 8 11] ; [8 2],[10.48275862  8.51724138] ; [5.51724138 4.48275862],0
p6,1,0.064915,3.407125,[47 56] ; [ 6 18],[42.98425197 60.01574803] ; [10.01574803 13.98425197],0
a5,1,0.070824,3.263812,[78 27] ; [14 11],[74.30769231 30.69230769] ; [17.69230769  7.30769231],0
a4,1,0.080474,3.0553,[54 51] ; [ 8 17],[50.07692308 54.92307692] ; [11.92307692 13.07692308],0
v3,1,0.088662,2.8985,[52 52] ; [ 7 16],[48.31496063 55.68503937] ; [10.68503937 12.31496063],0
d4,1,0.100126,2.703538,[86 18] ; [17  8],[83.03875969 20.96124031] ; [19.96124031  5.03875969],0
p8,1,0.118599,2.435728,[55 48] ; [ 9 16],[51.5 51.5] ; [12.5 12.5],0
b1,1,0.119286,2.426667,[49 56] ; [16  9],[52.5 52.5] ; [12.5 12.5],0
p10,1,0.125611,2.345928,[85 20] ; [16  8],[82.20930233 22.79069767] ; [18.79069767  5.20930233],0
d2,1,0.140924,2.167839,[55 50] ; [ 9 16],[51.69230769 53.30769231] ; [12.30769231 12.69230769],0
r1,1,0.15484,2.023913,[78 27] ; [15 10],[75.11538462 29.88461538] ; [17.88461538  7.11538462],0
d1,1,0.170395,1.879461,[58 47] ; [10 15],[54.92307692 50.07692308] ; [13.07692308 11.92307692],0
p5,1,0.170851,1.875458,[15 89] ; [ 1 23],[13. 91.] ; [ 3. 21.],0
a8,1,0.184622,1.760016,[14 86] ; [ 1 23],[12.09677419 87.90322581] ; [ 2.90322581 21.09677419],0
r2,1,0.23461,1.412694,[96  9] ; [20  4],[94.41860465 10.58139535] ; [21.58139535  2.41860465],0
s5,1,0.234652,1.412437,[51 49] ; [ 9 15],[48.38709677 51.61290323] ; [11.61290323 12.38709677],0
p3,1,0.235529,1.407155,[60 45] ; [11 14],[57.34615385 47.65384615] ; [13.65384615 11.34615385],0
