Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.009617,6.704518,[ 6 20] ; [8 4],[ 9.57894737 16.42105263] ; [4.42105263 7.57894737],0
s4,1,0.017751,5.620588,[ 1 25] ; [4 9],[ 3.33333333 22.66666667] ; [ 1.66666667 11.33333333],0
n6,1,0.023775,5.110992,[11 14] ; [10  2],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
v3,1,0.034212,4.484081,[ 3 23] ; [5 7],[ 5.47368421 20.52631579] ; [2.52631579 9.47368421],0
p10,1,0.040938,4.178571,[11 15] ; [10  3],[14. 12.] ; [7. 6.],0
s8,1,0.049662,3.852823,[ 3 23] ; [5 8],[ 5.33333333 20.66666667] ; [ 2.66666667 10.33333333],0
s5,1,0.0765,3.137735,[ 4 22] ; [5 7],[ 6.15789474 19.84210526] ; [2.84210526 9.15789474],0
r3,1,0.077737,3.111593,[14 11] ; [11  2],[16.44736842  8.55263158] ; [8.55263158 4.44736842],0
p9,1,0.079844,3.068071,[14 12] ; [10  2],[16.42105263  9.57894737] ; [7.57894737 4.42105263],0
n3,1,0.105645,2.618182,[4 7] ; [4 1],[5.5 5.5] ; [2.5 2.5],0
v2,1,0.109959,2.554813,[ 9 17] ; [8 5],[11.33333333 14.66666667] ; [5.66666667 7.33333333],0
p6,1,0.122325,2.387291,[ 4 21] ; [5 8],[ 5.92105263 19.07894737] ; [3.07894737 9.92105263],0
p11,1,0.172955,1.857143,[12 14] ; [9 4],[14. 12.] ; [7. 6.],0
p7,1,0.172955,1.857143,[10 16] ; [8 5],[12. 14.] ; [6. 7.],0
s2,1,0.194787,1.681034,[ 5 21] ; [5 8],[ 6.66666667 19.33333333] ; [3.33333333 9.66666667],0
s6,1,0.199266,1.647748,[ 9 16] ; [7 5],[10.81081081 14.18918919] ; [5.18918919 6.81081081],0
p2,1,0.207119,1.591453,[10 15] ; [8 5],[11.84210526 13.15789474] ; [6.15789474 6.84210526],0
n5,1,0.229766,1.442308,[19  7] ; [7 6],[17.33333333  8.66666667] ; [8.66666667 4.33333333],0
b4,1,0.237923,1.392857,[15 11] ; [10  3],[16.66666667  9.33333333] ; [8.33333333 4.66666667],0
p3,1,0.249745,1.324728,[ 9 17] ; [7 6],[10.66666667 15.33333333] ; [5.33333333 7.66666667],0
b1,1,0.253579,1.303476,[13 13] ; [9 4],[14.66666667 11.33333333] ; [7.33333333 5.66666667],0
d4,1,0.299625,1.075862,[18  8] ; [11  2],[19.33333333  6.66666667] ; [9.66666667 3.33333333],0
n4,1,0.314188,1.012987,[20  6] ; [8 5],[18.66666667  7.33333333] ; [9.33333333 3.66666667],0
s3,1,0.34509,0.891429,[ 8 18] ; [6 7],[ 9.33333333 16.66666667] ; [4.66666667 8.33333333],0
a7,1,0.361054,0.834225,[16 10] ; [6 7],[14.66666667 11.33333333] ; [7.33333333 5.66666667],0
b2,1,0.410727,0.676695,[ 5 11] ; [6 7],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
b3,1,0.410727,0.676695,[ 5 11] ; [6 7],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
r4,1,0.461743,0.541667,[ 7 19] ; [5 8],[ 8. 18.] ; [4. 9.],0
a6,1,0.495628,0.464286,[15 11] ; [6 7],[14. 12.] ; [7. 6.],0
a1,1,0.498174,0.458824,[ 4 22] ; [ 1 12],[ 3.33333333 22.66666667] ; [ 1.66666667 11.33333333],0
a2,1,0.555126,0.348214,[ 4 22] ; [ 3 10],[ 4.66666667 21.33333333] ; [ 2.33333333 10.66666667],0
d2,1,0.574784,0.314743,[13 12] ; [8 5],[13.81578947 11.18421053] ; [7.18421053 5.81578947],0
p1,1,0.734849,0.114706,[ 3 23] ; [ 2 11],[ 3.33333333 22.66666667] ; [ 1.66666667 11.33333333],0
a4,1,0.742867,0.107622,[11 14] ; [5 8],[10.52631579 14.47368421] ; [5.47368421 7.52631579],0
p5,1,0.76966,0.085744,[ 3 22] ; [ 2 11],[ 3.28947368 21.71052632] ; [ 1.71052632 11.28947368],0
r2,1,0.812524,0.05625,[13 11] ; [7 5],[13.33333333 10.66666667] ; [6.66666667 5.33333333],0
b5,1,0.820789,0.051316,[13 13] ; [7 6],[13.33333333 12.66666667] ; [6.66666667 6.33333333],0
a8,1,0.825309,0.048718,[ 5 20] ; [ 3 10],[ 5.26315789 19.73684211] ; [ 2.73684211 10.26315789],0
n1,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
n2,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
p8,1,0.858273,0.031888,[ 7 18] ; [4 9],[ 7.23684211 17.76315789] ; [3.76315789 9.23684211],0
r1,1,1.0,0.0,[12 14] ; [6 7],[12. 14.] ; [6. 7.],0
p4,1,1.0,0.0,[12 14] ; [6 7],[12. 14.] ; [6. 7.],0
d3,1,1.0,0.0,[12 14] ; [6 7],[12. 14.] ; [6. 7.],0
s1,1,1.0,0.0,[ 2 24] ; [ 1 12],[ 2. 24.] ; [ 1. 12.],0
d5,1,1.0,0.0,[20  6] ; [10  3],[20.  6.] ; [10.  3.],0
u1,1,1.0,0.0,[ 2 24] ; [ 1 12],[ 2. 24.] ; [ 1. 12.],0
d1,1,1.0,0.0,[12 14] ; [6 7],[12. 14.] ; [6. 7.],0
