Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,54.44004,[48 63] ; [256  63],[78.4744186 32.5255814] ; [225.5255814  93.4744186],1
a6,1,0.0,52.493459,[56 55] ; [270  49],[84.15348837 26.84651163] ; [241.84651163  77.15348837],1
a2,1,0.0,28.039901,[ 11 100] ; [117 203],[32.96519722 78.03480278] ; [ 95.03480278 224.96519722],1
u1,1,4.7e-05,16.559271,[  7 104] ; [ 77 243],[21.63341067 89.36658933] ; [ 62.36658933 257.63341067],1
r4,1,0.000103,15.084562,[83 28] ; [287  33],[95.2900232 15.7099768] ; [274.7099768  45.2900232],1
r1,1,0.000655,11.611384,[78 33] ; [271  48],[90.09069767 20.90930233] ; [258.90930233  60.09069767],1
b5,1,0.0007,11.489031,[53 58] ; [211 109],[67.99071926 43.00928074] ; [196.00928074 123.99071926],1
d1,1,0.001165,10.545132,[55 56] ; [214 106],[69.27842227 41.72157773] ; [199.72157773 120.27842227],0
p4,1,0.002462,9.168571,[49 60] ; [197 123],[62.5034965 46.4965035] ; [183.4965035 136.5034965],0
u3,1,0.004917,7.909657,[ 7 16] ; [46 26],[12.83157895 10.16842105] ; [40.16842105 31.83157895],0
v2,1,0.006577,7.385122,[47 60] ; [182 126],[59.04337349 47.95662651] ; [169.95662651 138.04337349],0
d5,1,0.010741,6.507722,[85 26] ; [277  42],[93.44651163 17.55348837] ; [268.55348837  50.44651163],0
v4,1,0.021007,5.326196,[96 14] ; [301  19],[101.55813953   8.44186047] ; [295.44186047  24.55813953],0
b2,1,0.026054,4.95245,[36 39] ; [ 64 128],[28.08988764 46.91011236] ; [ 71.91011236 120.08988764],0
b3,1,0.026054,4.95245,[36 39] ; [ 64 128],[28.08988764 46.91011236] ; [ 71.91011236 120.08988764],0
d4,1,0.026518,4.921936,[84 27] ; [271  48],[91.63953488 19.36046512] ; [263.36046512  55.63953488],0
b1,1,0.026892,4.897743,[56 55] ; [123 197],[46.09976798 64.90023202] ; [132.90023202 187.09976798],0
b4,1,0.02874,4.7831,[53 58] ; [191 129],[62.83990719 48.16009281] ; [181.16009281 138.83990719],0
r3,1,0.033226,4.53412,[98 13] ; [301  18],[102.99767442   8.00232558] ; [296.00232558  22.99767442],0
s7,1,0.054073,3.710452,[53 51] ; [122 182],[44.60784314 59.39215686] ; [130.39215686 173.60784314],0
p2,1,0.082671,3.011598,[80 27] ; [263  56],[86.15258216 20.84741784] ; [256.84741784  62.15258216],0
r2,1,0.104341,2.637906,[96 12] ; [296  20],[99.8490566  8.1509434] ; [292.1509434  23.8490566],0
s8,1,0.112319,2.521281,[48 63] ; [111 208],[41.04418605 69.95581395] ; [117.95581395 201.04418605],0
p10,1,0.119671,2.421622,[77 31] ; [250  68],[82.90140845 25.09859155] ; [244.09859155  73.90140845],0
p8,1,0.146583,2.107458,[46 61] ; [161 154],[52.48578199 54.51421801] ; [154.51421801 160.48578199],0
a8,1,0.153139,2.040705,[10 93] ; [ 44 242],[14.29820051 88.70179949] ; [ 39.70179949 246.29820051],0
n1,1,0.202338,1.625418,[16 20] ; [23 49],[13. 23.] ; [26. 46.],0
v3,1,0.2075,1.588786,[45 60] ; [110 196],[39.59854015 65.40145985] ; [115.40145985 190.59854015],0
p9,1,0.239898,1.381191,[83 25] ; [260  57],[87.16235294 20.83764706] ; [255.83764706  61.16235294],0
a4,1,0.264369,1.245733,[51 58] ; [169 150],[56.02803738 52.97196262] ; [163.97196262 155.02803738],0
p6,1,0.26492,1.242862,[26 80] ; [ 96 222],[30.5 75.5] ; [ 91.5 226.5],0
s1,1,0.273774,1.197741,[  6 104] ; [ 10 307],[  4.12177986 105.87822014] ; [ 11.87822014 305.12177986],0
