Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,8.1e-05,15.531229,[14 16] ; [14 90],[ 6.26865672 23.73134328] ; [21.73134328 82.26865672],1
s6,1,0.001006,10.817201,[18 12] ; [28 74],[10.45454545 19.54545455] ; [35.54545455 66.45454545],0
s4,1,0.008423,6.941319,[ 8 22] ; [ 9 96],[ 3.77777778 26.22222222] ; [13.22222222 91.77777778],0
s5,1,0.016677,5.730084,[10 20] ; [14 86],[ 5.53846154 24.46153846] ; [18.46153846 81.53846154],0
p6,1,0.027312,4.870984,[12 16] ; [23 81],[ 7.42424242 20.57575758] ; [27.57575758 76.42424242],0
u1,1,0.028108,4.821429,[ 5 25] ; [  5 100],[ 2.22222222 27.77777778] ; [ 7.77777778 97.22222222],0
p10,1,0.037059,4.34772,[22  8] ; [54 50],[17.01492537 12.98507463] ; [58.98507463 45.01492537],0
p5,1,0.051363,3.7964,[ 4 26] ; [  4 101],[ 1.77777778 28.22222222] ; [ 6.22222222 98.77777778],0
d2,1,0.06092,3.512161,[15 15] ; [33 72],[10.66666667 19.33333333] ; [37.33333333 67.66666667],0
p9,1,0.062012,3.482739,[23  6] ; [63 41],[18.7518797 10.2481203] ; [67.2481203 36.7518797],0
a8,1,0.072456,3.226475,[ 5 22] ; [ 7 92],[ 2.57142857 24.42857143] ; [ 9.42857143 89.57142857],0
a3,1,0.07525,3.16461,[22  8] ; [58 47],[17.77777778 12.22222222] ; [62.22222222 42.77777778],0
v3,1,0.0846,2.974232,[11 17] ; [23 77],[ 7.4375 20.5625] ; [26.5625 73.4375],0
d3,1,0.089257,2.887716,[24  6] ; [66 38],[20.14925373  9.85074627] ; [69.85074627 34.14925373],0
u2,1,0.112799,2.514564,[6 2] ; [21 26],[3.92727273 4.07272727] ; [23.07272727 23.92727273],0
a6,1,0.12433,2.361914,[21  9] ; [57 48],[17.33333333 12.66666667] ; [60.66666667 44.33333333],0
p7,1,0.14071,2.170173,[18 12] ; [47 58],[14.44444444 15.55555556] ; [50.55555556 54.44444444],0
n4,1,0.142842,2.147077,[15 15] ; [37 68],[11.55555556 18.44444444] ; [40.44444444 64.55555556],0
b1,1,0.147814,2.094662,[ 9 21] ; [47 58],[12.44444444 17.55555556] ; [43.55555556 61.44444444],0
d1,1,0.167441,1.905703,[18 12] ; [48 57],[14.66666667 15.33333333] ; [51.33333333 53.66666667],0
p4,1,0.171934,1.866002,[15 15] ; [38 67],[11.77777778 18.22222222] ; [41.22222222 63.77777778],0
n6,1,0.182294,1.778824,[22  8] ; [63 42],[18.88888889 11.11111111] ; [66.11111111 38.88888889],0
a2,1,0.199628,1.645092,[ 5 25] ; [ 9 96],[ 3.11111111 26.88888889] ; [10.88888889 94.11111111],0
d5,1,0.213517,1.547417,[25  5] ; [75 29],[22.3880597  7.6119403] ; [77.6119403 26.3880597],0
b5,1,0.215546,1.533782,[16 14] ; [69 36],[18.88888889 11.11111111] ; [66.11111111 38.88888889],0
u3,1,0.250234,1.321994,[6 2] ; [25 22],[4.50909091 3.49090909] ; [26.49090909 20.50909091],0
v1,1,0.253136,1.305912,[13 16] ; [35 70],[10.3880597 18.6119403] ; [37.6119403 67.3880597],0
d4,1,0.256522,1.287431,[26  4] ; [81 24],[23.77777778  6.22222222] ; [83.22222222 21.77777778],0
r4,1,0.256522,1.287431,[26  4] ; [81 24],[23.77777778  6.22222222] ; [83.22222222 21.77777778],0
a5,1,0.263691,1.249277,[20 10] ; [58 47],[17.33333333 12.66666667] ; [60.66666667 44.33333333],0
b2,1,0.290487,1.117361,[ 8 12] ; [15 40],[ 6.13333333 13.86666667] ; [16.86666667 38.13333333],0
b3,1,0.290487,1.117361,[ 8 12] ; [15 40],[ 6.13333333 13.86666667] ; [16.86666667 38.13333333],0
p3,1,0.326351,0.963322,[12 18] ; [32 73],[ 9.77777778 20.22222222] ; [34.22222222 70.77777778],0
v4,1,0.354887,0.855905,[25  5] ; [94 11],[26.44444444  3.55555556] ; [92.55555556 12.44444444],0
