Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,26.859364,[64 37] ; [ 91 180],[42.08333333 58.91666667] ; [112.91666667 158.08333333],1
p7,1,0.0,26.710355,[76 21] ; [128 139],[54.36263736 42.63736264] ; [149.63736264 117.36263736],1
s8,1,0.000267,13.291662,[51 50] ; [ 82 190],[36.01340483 64.98659517] ; [ 96.98659517 175.01340483],1
b3,1,0.009938,6.645908,[27 30] ; [ 42 106],[19.18536585 37.81463415] ; [49.81463415 98.18536585],0
b2,1,0.009938,6.645908,[27 30] ; [ 42 106],[19.18536585 37.81463415] ; [49.81463415 98.18536585],0
s7,1,0.011542,6.379823,[50 48] ; [ 96 168],[39.52486188 58.47513812] ; [106.47513812 157.52486188],0
v1,1,0.014412,5.986979,[57 42] ; [114 150],[46.63636364 52.36363636] ; [124.36363636 139.63636364],0
n5,1,0.021179,5.311962,[80 21] ; [180  89],[70.97297297 30.02702703] ; [189.02702703  79.97297297],0
p8,1,0.065812,3.384501,[52 49] ; [109 158],[44.1875 56.8125] ; [116.8125 150.1875],0
u1,1,0.082679,3.011444,[17 84] ; [ 28 245],[12.15240642 88.84759358] ; [ 32.84759358 240.15240642],0
p1,1,0.082759,3.009876,[ 7 94] ; [  8 263],[ 4.07258065 96.92741935] ; [ 10.92741935 260.07258065],0
n1,1,0.093364,2.815387,[14 18] ; [21 56],[10.27522936 21.72477064] ; [24.72477064 52.27522936],0
n4,1,0.104405,2.636934,[78 23] ; [186  85],[71.67741935 29.32258065] ; [192.32258065  78.67741935],0
s2,1,0.111199,2.537092,[53 47] ; [118 152],[46.21621622 53.78378378] ; [124.78378378 145.21621622],0
b5,1,0.147132,2.101731,[70 31] ; [167 106],[64.0026738 36.9973262] ; [172.9973262 100.0026738],0
r2,1,0.148586,2.086712,[95  5] ; [242  26],[91.57608696  8.42391304] ; [245.42391304  22.57608696],0
d2,1,0.153977,2.0324,[48 53] ; [107 165],[41.97050938 59.02949062] ; [113.02949062 158.97050938],0
