Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,25.322051,[26 31] ; [ 25 153],[12.37021277 44.62978723] ; [ 38.62978723 139.37021277],1
s3,1,0.0008,11.240543,[24 33] ; [ 35 141],[14.43347639 42.56652361] ; [ 44.56652361 131.43347639],1
s2,1,0.001861,9.682011,[20 37] ; [ 28 148],[11.74248927 45.25751073] ; [ 36.25751073 139.74248927],0
p6,1,0.002049,9.504943,[24 32] ; [ 38 136],[15.09565217 40.90434783] ; [ 46.90434783 127.09565217],0
a3,1,0.003944,8.30924,[47 10] ; [110  68],[38.08085106 18.91914894] ; [118.91914894  59.08085106],0
p7,1,0.004839,7.938748,[42 14] ; [94 81],[32.96969697 23.03030303] ; [103.03030303  71.96969697],0
a8,1,0.006431,7.425516,[12 39] ; [ 15 150],[ 6.375 44.625] ; [ 20.625 144.375],0
p3,1,0.016842,5.712738,[32 24] ; [ 69 108],[24.27467811 31.72532189] ; [ 76.72532189 100.27467811],0
v3,1,0.028701,4.785436,[25 28] ; [ 53 119],[18.37333333 34.62666667] ; [ 59.62666667 112.37333333],0
b2,1,0.032439,4.575171,[24 21] ; [36 68],[18.12080537 26.87919463] ; [41.87919463 62.12080537],0
b3,1,0.032439,4.575171,[24 21] ; [36 68],[18.12080537 26.87919463] ; [41.87919463 62.12080537],0
p10,1,0.036261,4.38477,[50  7] ; [131  45],[44.27896996 12.72103004] ; [136.72103004  39.27896996],0
n4,1,0.041878,4.140109,[47 10] ; [122  56],[40.99148936 16.00851064] ; [128.00851064  49.99148936],0
p4,1,0.043539,4.074332,[35 22] ; [81 95],[28.3776824 28.6223176] ; [87.6223176 88.3776824],0
u1,1,0.073127,3.211388,[10 47] ; [ 16 162],[ 6.30638298 50.69361702] ; [ 19.69361702 158.30638298],0
n1,1,0.132262,2.265752,[6 5] ; [14 32],[3.85964912 7.14035088] ; [16.14035088 29.85964912],0
s4,1,0.200417,1.639335,[ 6 51] ; [ 10 168],[ 3.88085106 53.11914894] ; [ 12.11914894 165.88085106],0
b5,1,0.216192,1.529468,[27 30] ; [101  77],[31.04680851 25.95319149] ; [96.95319149 81.04680851],0
p5,1,0.243235,1.361749,[ 6 49] ; [ 11 166],[ 4.03017241 50.96982759] ; [ 12.96982759 164.03017241],0
d2,1,0.243257,1.361618,[29 28] ; [ 74 102],[25.19742489 31.80257511] ; [77.80257511 98.19742489],0
u3,1,0.272442,1.204412,[7 3] ; [35 33],[5.38461538 4.61538462] ; [36.61538462 31.38461538],0
a4,1,0.320173,0.988238,[26 31] ; [ 68 110],[22.8 34.2] ; [ 71.2 106.8],0
b4,1,0.357187,0.84776,[30 27] ; [106  72],[32.98723404 24.01276596] ; [103.01276596  74.98723404],0
a6,1,0.360506,0.836128,[35 22] ; [121  57],[37.83829787 19.16170213] ; [118.16170213  59.83829787],0
p12,1,0.364376,0.822753,[ 3 53] ; [  5 172],[ 1.92274678 54.07725322] ; [  6.07725322 170.92274678],0
d4,1,0.371411,0.798937,[47 10] ; [136  41],[44.57692308 12.42307692] ; [138.42307692  38.57692308],0
v2,1,0.372748,0.794484,[34 21] ; [94 77],[31.15044248 23.84955752] ; [96.84955752 74.15044248],0
