Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,34.250891,[49 44] ; [119  17],[68.22707424 24.77292576] ; [99.77292576 36.22707424],1
p3,1,1e-06,23.916389,[40 55] ; [102  36],[57.89699571 37.10300429] ; [84.10300429 53.89699571],1
p4,1,1e-06,23.404926,[47 48] ; [110  28],[64.01287554 30.98712446] ; [92.98712446 45.01287554],1
b5,1,1.7e-05,18.468201,[74 21] ; [69 69],[58.30472103 36.69527897] ; [84.69527897 53.30472103],1
p2,1,2.6e-05,17.688702,[70 25] ; [129   9],[81.13733906 13.86266094] ; [117.86266094  20.13733906],1
p5,1,8.2e-05,15.512624,[ 4 91] ; [ 32 106],[14.67811159 80.32188841] ; [ 21.32188841 116.67811159],1
p11,1,0.000165,14.192784,[66 29] ; [123  15],[77.06008584 17.93991416] ; [111.93991416  26.06008584],1
n5,1,0.002996,8.810148,[67 26] ; [120  17],[75.61304348 17.38695652] ; [111.38695652  25.61304348],0
p6,1,0.005975,7.557783,[36 59] ; [76 59],[46.26086957 48.73913043] ; [65.73913043 69.26086957],0
n2,1,0.013949,6.04459,[16  8] ; [21  1],[19.30434783  4.69565217] ; [17.69565217  4.30434783],0
s5,1,0.037709,4.318116,[34 53] ; [70 61],[41.50458716 45.49541284] ; [62.49541284 68.50458716],0
v3,1,0.041221,4.166924,[52 41] ; [94 42],[59.29257642 33.70742358] ; [86.70742358 49.29257642],0
b2,1,0.044151,4.050776,[24 49] ; [45 48],[30.34337349 42.65662651] ; [38.65662651 54.34337349],0
b3,1,0.044151,4.050776,[24 49] ; [45 48],[30.34337349 42.65662651] ; [38.65662651 54.34337349],0
p1,1,0.046262,3.972011,[ 4 91] ; [ 16 121],[ 8.18965517 86.81034483] ; [ 11.81034483 125.18965517],0
d5,1,0.051394,3.795401,[88  7] ; [116  22],[83.17596567 11.82403433] ; [120.82403433  17.17596567],0
n6,1,0.065924,3.381712,[80 14] ; [126  10],[84.19130435  9.80869565] ; [121.80869565  14.19130435],0
u1,1,0.091415,2.849281,[30 65] ; [ 30 108],[24.46351931 70.53648069] ; [ 35.53648069 102.46351931],0
d2,1,0.096214,2.767201,[62 33] ; [75 63],[55.8583691 39.1416309] ; [81.1416309 56.8583691],0
p9,1,0.107528,2.590185,[82 12] ; [128   9],[85.45454545  8.54545455] ; [124.54545455  12.45454545],0
v1,1,0.116526,2.463405,[59 31] ; [103  34],[64.22907489 25.77092511] ; [97.77092511 39.22907489],0
a4,1,0.137548,2.205183,[50 45] ; [59 79],[44.44206009 50.55793991] ; [64.55793991 73.44206009],0
p10,1,0.144589,2.128425,[79 15] ; [123  13],[82.55652174 11.44347826] ; [119.44347826  16.55652174],0
u4,1,0.171822,1.866978,[ 2 93] ; [  8 130],[ 4.07725322 90.92274678] ; [  5.92274678 132.07725322],0
s4,1,0.229514,1.443872,[18 77] ; [ 18 119],[14.74137931 80.25862069] ; [ 21.25862069 115.74137931],0
