Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002263,9.323347,[ 7 21] ; [15  7],[12.32 15.68] ; [ 9.68 12.32],0
a6,1,0.009312,6.761988,[10 18] ; [16  6],[14.56 13.44] ; [11.44 10.56],0
b4,1,0.087375,2.922078,[17 11] ; [ 8 14],[14. 14.] ; [11. 11.],0
s7,1,0.105214,2.624683,[ 2 24] ; [ 5 15],[ 3.95652174 22.04347826] ; [ 3.04347826 16.95652174],0
p3,1,0.107261,2.594118,[ 6 22] ; [ 9 12],[ 8.57142857 19.42857143] ; [ 6.42857143 14.57142857],0
p10,1,0.123902,2.367288,[10 17] ; [13  9],[12.67346939 14.32653061] ; [10.32653061 11.67346939],0
a4,1,0.137396,2.206884,[ 4 24] ; [ 7 15],[ 6.16 21.84] ; [ 4.84 17.16],0
d1,1,0.138632,2.193077,[ 5 23] ; [ 8 14],[ 7.28 20.72] ; [ 5.72 16.28],0
p11,1,0.165985,1.918837,[15 13] ; [16  6],[17.36 10.64] ; [13.64  8.36],0
d4,1,0.165985,1.918837,[15 13] ; [16  6],[17.36 10.64] ; [13.64  8.36],0
p9,1,0.168863,1.893008,[14 13] ; [15  6],[16.3125 10.6875] ; [12.6875  8.3125],0
p8,1,0.187132,1.740057,[ 7 21] ; [ 9 12],[ 9.14285714 18.85714286] ; [ 6.85714286 14.14285714],0
p1,1,0.192848,1.695723,[ 1 27] ; [ 3 19],[ 2.24 25.76] ; [ 1.76 20.24],0
n1,1,0.203737,1.615385,[ 3 10] ; [4 4],[4.33333333 8.66666667] ; [2.66666667 5.33333333],0
v1,1,0.231277,1.432988,[ 7 21] ; [ 9 13],[ 8.96 19.04] ; [ 7.04 14.96],0
s5,1,0.237507,1.395331,[ 6 22] ; [ 2 20],[ 4.48 23.52] ; [ 3.52 18.48],0
s2,1,0.242997,1.363121,[ 6 22] ; [ 8 14],[ 7.84 20.16] ; [ 6.16 15.84],0
v3,1,0.25008,1.322859,[ 3 25] ; [ 5 17],[ 4.48 23.52] ; [ 3.52 18.48],0
d5,1,0.254451,1.298701,[12 16] ; [13  9],[14. 14.] ; [11. 11.],0
u2,1,0.274006,1.196581,[10 11] ; [5 2],[11.25  9.75] ; [3.75 3.25],0
p4,1,0.282521,1.154924,[11 17] ; [12 10],[12.88 15.12] ; [10.12 11.88],0
a7,1,0.282521,1.154924,[11 17] ; [12 10],[12.88 15.12] ; [10.12 11.88],0
s6,1,0.309657,1.032137,[10 18] ; [11 11],[11.76 16.24] ; [ 9.24 12.76],0
p7,1,0.309657,1.032137,[10 18] ; [11 11],[11.76 16.24] ; [ 9.24 12.76],0
p2,1,0.309657,1.032137,[18 10] ; [11 11],[16.24 11.76] ; [12.76  9.24],0
s4,1,0.318689,0.994318,[ 7 21] ; [ 3 19],[ 5.6 22.4] ; [ 4.4 17.6],0
n3,1,0.33235,0.939719,[7 6] ; [6 2],[8.04761905 4.95238095] ; [4.95238095 3.04761905],0
b1,1,0.334927,0.929752,[14 14] ; [14  8],[15.68 12.32] ; [12.32  9.68],0
b2,1,0.349963,0.87359,[ 4 15] ; [5 9],[ 5.18181818 13.81818182] ; [ 3.81818182 10.18181818],0
b3,1,0.349963,0.87359,[ 4 15] ; [5 9],[ 5.18181818 13.81818182] ; [ 3.81818182 10.18181818],0
p5,1,0.413686,0.668182,[ 2 26] ; [ 3 18],[ 2.85714286 25.14285714] ; [ 2.14285714 18.85714286],0
s1,1,0.414636,0.665469,[ 1 27] ; [ 2 20],[ 1.68 26.32] ; [ 1.32 20.68],0
s3,1,0.430394,0.62176,[ 7 20] ; [ 8 14],[ 8.26530612 18.73469388] ; [ 6.73469388 15.26530612],0
n4,1,0.448682,0.57398,[17 11] ; [11 11],[15.68 12.32] ; [12.32  9.68],0
r4,1,0.476523,0.50681,[ 6 22] ; [ 3 19],[ 5.04 22.96] ; [ 3.96 18.04],0
n5,1,0.585024,0.298183,[17 11] ; [15  7],[17.92 10.08] ; [14.08  7.92],0
u3,1,0.594853,0.282828,[ 4 17] ; [2 5],[ 4.5 16.5] ; [1.5 5.5],0
r3,1,0.597746,0.278409,[18 10] ; [15  6],[18.85714286  9.14285714] ; [14.14285714  6.85714286],0
d3,1,0.614937,0.253048,[12 16] ; [11 11],[12.88 15.12] ; [10.12 11.88],0
b5,1,0.614937,0.253048,[16 12] ; [11 11],[15.12 12.88] ; [11.88 10.12],0
v4,1,0.660877,0.192459,[17 11] ; [12 10],[16.24 11.76] ; [12.76  9.24],0
p6,1,0.69627,0.152381,[ 5 22] ; [ 3 18],[ 4.5 22.5] ; [ 3.5 17.5],0
n2,1,0.697161,0.151442,[7 6] ; [5 3],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
s8,1,0.709131,0.139147,[ 4 24] ; [ 4 18],[ 4.48 23.52] ; [ 3.52 18.48],0
a1,1,0.801011,0.063523,[ 2 26] ; [ 2 20],[ 2.24 25.76] ; [ 1.76 20.24],0
p12,1,0.801011,0.063523,[ 2 26] ; [ 2 20],[ 2.24 25.76] ; [ 1.76 20.24],0
v2,1,0.824582,0.049131,[ 9 18] ; [ 8 14],[ 9.36734694 17.63265306] ; [ 7.63265306 14.36734694],0
n6,1,0.832649,0.04465,[17 11] ; [14  8],[17.36 10.64] ; [13.64  8.36],0
a8,1,0.866786,0.028137,[ 3 22] ; [ 3 19],[ 3.19148936 21.80851064] ; [ 2.80851064 19.19148936],0
d2,1,0.98051,0.000597,[ 9 19] ; [ 7 15],[ 8.96 19.04] ; [ 7.04 14.96],0
