Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7e-06,20.28,[17 37] ; [63 27],[30. 24.] ; [50. 40.],1
a6,1,0.000246,13.44,[21 33] ; [63 27],[31.5 22.5] ; [52.5 37.5],1
a2,1,0.000421,12.435339,[ 2 52] ; [25 67],[ 9.98630137 44.01369863] ; [17.01369863 74.98630137],1
u1,1,0.000626,11.696673,[ 1 53] ; [21 71],[ 8.1369863 45.8630137] ; [13.8630137 78.1369863],1
d1,1,0.00609,7.523349,[19 35] ; [54 38],[27. 27.] ; [46. 46.],0
n6,1,0.011751,6.348068,[36 18] ; [77 14],[42.08275862 11.91724138] ; [70.91724138 20.08275862],0
n5,1,0.017632,5.632321,[27 26] ; [65 27],[33.62758621 19.37241379] ; [58.37241379 33.62758621],0
p10,1,0.022677,5.193104,[27 26] ; [63 27],[33.35664336 19.64335664] ; [56.64335664 33.35664336],0
n2,1,0.023048,5.164912,[18  1] ; [18  9],[14.86956522  4.13043478] ; [21.13043478  5.86956522],0
n4,1,0.027334,4.869602,[29 25] ; [66 26],[35.1369863 18.8630137] ; [59.8630137 32.1369863],0
d4,1,0.043492,4.076181,[35 19] ; [72 18],[40.125 13.875] ; [66.875 23.125],0
b5,1,0.074226,3.186998,[29 25] ; [63 29],[34.02739726 19.97260274] ; [57.97260274 34.02739726],0
s8,1,0.132203,2.266442,[26 27] ; [33 58],[21.71527778 31.28472222] ; [37.28472222 53.71527778],0
v2,1,0.137666,2.203853,[21 29] ; [48 39],[25.18248175 24.81751825] ; [43.81751825 43.18248175],0
a3,1,0.143645,2.138473,[29 25] ; [60 31],[33.14482759 20.85517241] ; [55.85517241 35.14482759],0
v3,1,0.145182,2.122161,[14 34] ; [36 50],[17.91044776 30.08955224] ; [32.08955224 53.91044776],0
p9,1,0.186916,1.741761,[32 21] ; [64 26],[35.58041958 17.41958042] ; [60.41958042 29.58041958],0
d5,1,0.245838,1.346801,[34 20] ; [65 25],[37.125 16.875] ; [61.875 28.125],0
p11,1,0.247132,1.339442,[38 16] ; [56 36],[34.76712329 19.23287671] ; [59.23287671 32.76712329],0
v4,1,0.25758,1.281719,[50  4] ; [89  3],[51.4109589  2.5890411] ; [87.5890411  4.4109589],0
a5,1,0.321878,0.981302,[32 22] ; [62 30],[34.76712329 19.23287671] ; [59.23287671 32.76712329],0
r1,1,0.328528,0.954693,[41 13] ; [76 16],[43.2739726 10.7260274] ; [73.7260274 18.2739726],0
s1,1,0.34318,0.898517,[ 5 47] ; [ 5 87],[ 3.61111111 48.38888889] ; [ 6.38888889 85.61111111],0
p4,1,0.370089,0.803367,[21 32] ; [29 61],[18.53146853 34.46853147] ; [31.46853147 58.53146853],0
b1,1,0.394557,0.724851,[28 26] ; [41 51],[25.52054795 28.47945205] ; [43.47945205 48.52054795],0
s5,1,0.397944,0.714531,[17 31] ; [25 63],[14.82352941 33.17647059] ; [27.17647059 60.82352941],0
a1,1,0.470098,0.521745,[ 2 52] ; [ 6 86],[ 2.95890411 51.04109589] ; [ 5.04109589 86.95890411],0
p6,1,0.522167,0.409611,[14 39] ; [20 72],[12.42758621 40.57241379] ; [21.57241379 70.42758621],0
n1,1,0.539715,0.376068,[10  8] ; [12 14],[9. 9.] ; [13. 13.],0
b2,1,0.544965,0.366415,[14 22] ; [19 39],[12.63829787 23.36170213] ; [20.36170213 37.63829787],0
b3,1,0.544965,0.366415,[14 22] ; [19 39],[12.63829787 23.36170213] ; [20.36170213 37.63829787],0
p8,1,0.600943,0.273576,[12 42] ; [24 68],[13.31506849 40.68493151] ; [22.68493151 69.31506849],0
d2,1,0.63785,0.221565,[22 31] ; [41 49],[23.34965035 29.65034965] ; [39.65034965 50.34965035],0
a8,1,0.642629,0.21532,[ 5 49] ; [10 75],[ 5.82733813 48.17266187] ; [ 9.17266187 75.82733813],0
s7,1,0.718926,0.129524,[20 31] ; [36 49],[21. 30.] ; [35. 50.],0
p7,1,0.729126,0.119915,[20 32] ; [32 58],[19.04225352 32.95774648] ; [32.95774648 57.04225352],0
s4,1,0.75057,0.101053,[12 42] ; [18 72],[11.25 42.75] ; [18.75 71.25],0
p12,1,0.808992,0.058432,[ 4 49] ; [ 8 84],[ 4.3862069 48.6137931] ; [ 7.6137931 84.3862069],0
s2,1,0.834471,0.043669,[26 27] ; [43 48],[25.39583333 27.60416667] ; [43.60416667 47.39583333],0
p1,1,0.837935,0.041835,[ 4 50] ; [ 6 86],[ 3.69863014 50.30136986] ; [ 6.30136986 85.69863014],0
r3,1,0.849876,0.035825,[52  2] ; [88  4],[51.78082192  2.21917808] ; [88.21917808  3.78082192],0
u4,1,0.849876,0.035825,[ 2 52] ; [ 4 88],[ 2.21917808 51.78082192] ; [ 3.78082192 88.21917808],0
a4,1,0.852118,0.034751,[24 30] ; [39 52],[23.46206897 30.53793103] ; [39.53793103 51.46206897],0
s6,1,0.868975,0.027212,[33 19] ; [59 32],[33.45454545 18.54545455] ; [58.54545455 32.45454545],0
b4,1,0.878897,0.023216,[31 23] ; [54 38],[31.43835616 22.56164384] ; [53.56164384 38.43835616],0
r2,1,0.896684,0.016861,[52  2] ; [88  3],[52.13793103  1.86206897] ; [87.86206897  3.13793103],0
u3,1,0.907259,0.013571,[16  9] ; [20 12],[15.78947368  9.21052632] ; [20.21052632 11.78947368],0
s3,1,0.913223,0.011875,[26 27] ; [45 45],[26.31468531 26.68531469] ; [44.68531469 45.31468531],0
v1,1,0.933517,0.006959,[22 31] ; [38 52],[22.23776224 30.76223776] ; [37.76223776 52.23776224],0
u2,1,0.9375,0.006148,[14 10] ; [19 13],[14.14285714  9.85714286] ; [18.85714286 13.14285714],0
