Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.6e-05,17.669224,[12 23] ; [30  6],[20.70422535 14.29577465] ; [21.29577465 14.70422535],1
p6,1,0.000697,11.496599,[ 4 31] ; [17 18],[10.5 24.5] ; [10.5 24.5],1
n1,1,0.008829,6.857143,[ 2 12] ; [5 2],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
a4,1,0.010072,6.622205,[15 19] ; [ 6 31],[10.05633803 23.94366197] ; [10.94366197 26.05633803],0
u2,1,0.0134,6.115556,[ 3 14] ; [11  8],[ 6.61111111 10.38888889] ; [ 7.38888889 11.61111111],0
a2,1,0.016665,5.731281,[ 9 26] ; [ 2 35],[ 5.34722222 29.65277778] ; [ 5.65277778 31.34722222],0
s7,1,0.030497,4.681036,[ 8 26] ; [17 18],[12.31884058 21.68115942] ; [12.68115942 22.31884058],0
s6,1,0.041483,4.156175,[17 18] ; [26 10],[21.1971831 13.8028169] ; [21.8028169 14.1971831],0
d3,1,0.049186,3.868998,[21 14] ; [30  7],[24.79166667 10.20833333] ; [26.20833333 10.79166667],0
u1,1,0.100341,2.700113,[ 9 26] ; [ 4 33],[ 6.31944444 28.68055556] ; [ 6.68055556 30.31944444],0
s1,1,0.135998,2.222662,[ 4 30] ; [ 1 36],[ 2.3943662 31.6056338] ; [ 2.6056338 34.3943662],0
u3,1,0.139883,2.179243,[ 7 11] ; [12  7],[9.24324324 8.75675676] ; [9.75675676 9.24324324],0
p5,1,0.184534,1.760728,[ 1 34] ; [ 4 33],[ 2.43055556 32.56944444] ; [ 2.56944444 34.43055556],0
s3,1,0.201349,1.632564,[16 18] ; [23 14],[18.67605634 15.32394366] ; [20.32394366 16.67605634],0
n6,1,0.204532,1.609717,[28  7] ; [24 12],[25.63380282  9.36619718] ; [26.36619718  9.63380282],0
s2,1,0.214006,1.544118,[12 22] ; [18 18],[14.57142857 19.42857143] ; [15.42857143 20.57142857],0
p2,1,0.220493,1.501158,[24 11] ; [30  7],[26.25  8.75] ; [27.75  9.25],0
s8,1,0.221182,1.496689,[ 8 27] ; [13 23],[10.35211268 24.64788732] ; [10.64788732 25.35211268],0
d4,1,0.237934,1.392792,[22 13] ; [28  9],[24.30555556 10.69444444] ; [25.69444444 11.30555556],0
b1,1,0.247749,1.335951,[18 17] ; [24 13],[20.41666667 14.58333333] ; [21.58333333 15.41666667],0
p10,1,0.260102,1.268216,[ 7 27] ; [12 25],[ 9.09859155 24.90140845] ; [ 9.90140845 27.09859155],0
b2,1,0.261979,1.258272,[ 8 17] ; [ 5 22],[ 6.25 18.75] ; [ 6.75 20.25],0
b3,1,0.261979,1.258272,[ 8 17] ; [ 5 22],[ 6.25 18.75] ; [ 6.75 20.25],0
v3,1,0.286327,1.136811,[10 25] ; [15 22],[12.15277778 22.84722222] ; [12.84722222 24.15277778],0
