Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,41.819746,[345  51] ; [26 25],[328.67114094  67.32885906] ; [42.32885906  8.67114094],1
n4,1,0.0,33.042755,[349  48] ; [29 22],[334.96875  62.03125] ; [43.03125  7.96875],1
p10,1,0.000844,11.14271,[365  29] ; [40 11],[358.58426966  35.41573034] ; [46.41573034  4.58426966],1
b1,1,0.000958,10.906884,[139 258] ; [30 21],[149.76116071 247.23883929] ; [19.23883929 31.76116071],1
v3,1,0.001685,9.864292,[173 209] ; [10 37],[162.95104895 219.04895105] ; [20.04895105 26.95104895],0
p3,1,0.00785,7.067362,[282 114] ; [27 24],[273.74496644 122.25503356] ; [35.25503356 15.74496644],0
d2,1,0.008653,6.893034,[217 179] ; [18 33],[208.18791946 187.81208054] ; [26.81208054 24.18791946],0
r4,1,0.00967,6.694658,[369  28] ; [42  9],[364.21205357  32.78794643] ; [46.78794643  4.21205357],0
u2,1,0.016685,5.729192,[56 41] ; [15  2],[60.4122807 36.5877193] ; [10.5877193  6.4122807],0
s5,1,0.016976,5.698836,[150 231] ; [11 39],[142.3225058 238.6774942] ; [18.6774942 31.3225058],0
p9,1,0.021176,5.312218,[364  31] ; [42  9],[359.57399103  35.42600897] ; [46.42600897  4.57399103],0
s6,1,0.026034,4.953771,[286 102] ; [30 21],[279.28929385 108.71070615] ; [36.71070615 14.28929385],0
s7,1,0.032819,4.555177,[216 164] ; [19 28],[209.13348946 170.86651054] ; [25.86651054 21.13348946],0
p6,1,0.040058,4.215418,[206 188] ; [18 31],[199.2234763 194.7765237] ; [24.7765237 24.2234763],0
v1,1,0.042587,4.111708,[242 143] ; [24 26],[235.42528736 149.57471264] ; [30.57471264 19.42528736],0
u1,1,0.043863,4.061818,[ 87 310] ; [ 5 46],[ 81.52678571 315.47321429] ; [10.47321429 40.52678571],0
p5,1,0.052413,3.762523,[ 74 319] ; [ 4 47],[ 69.04054054 323.95945946] ; [ 8.95945946 42.04054054],0
r2,1,0.064734,3.411743,[371  21] ; [44  6],[368.05429864  23.94570136] ; [46.94570136  3.05429864],0
p8,1,0.069447,3.296034,[273 120] ; [29 22],[267.31081081 125.68918919] ; [34.68918919 16.31081081],0
d4,1,0.069472,3.295457,[341  55] ; [39 12],[336.6442953  59.3557047] ; [43.3557047  7.6442953],0
n1,1,0.081251,3.039702,[22 40] ; [8 5],[24.8 37.2] ; [5.2 7.8],0
a4,1,0.089706,2.879633,[197 198] ; [19 32],[191.30044843 203.69955157] ; [24.69955157 26.30044843],0
r1,1,0.092694,2.82696,[331  65] ; [37 13],[326.74439462  69.25560538] ; [41.25560538  8.74439462],0
d1,1,0.094029,2.804003,[265 132] ; [28 23],[259.64508929 137.35491071] ; [33.35491071 17.64508929],0
p12,1,0.094806,2.790809,[ 46 350] ; [ 2 49],[ 42.52348993 353.47651007] ; [ 5.47651007 45.52348993],0
n2,1,0.10151,2.681653,[44 17] ; [13  1],[46.36 14.64] ; [10.64  3.36],0
a5,1,0.105557,2.619506,[319  78] ; [36 15],[314.58705357  82.41294643] ; [40.41294643 10.58705357],0
s2,1,0.124385,2.361213,[217 174] ; [22 28],[211.90249433 179.09750567] ; [27.09750567 22.90249433],0
a2,1,0.14357,2.139269,[108 289] ; [ 9 42],[103.68080357 293.31919643] ; [13.31919643 37.68080357],0
u3,1,0.144829,2.125884,[56 41] ; [13  4],[58.71052632 38.28947368] ; [10.28947368  6.71052632],0
a7,1,0.159728,1.976799,[300  96] ; [34 17],[295.89261745 100.10738255] ; [38.10738255 12.89261745],0
v4,1,0.170044,1.882552,[385  10] ; [47  3],[383.46067416  11.53932584] ; [48.53932584  1.46067416],0
a3,1,0.183193,1.771526,[299  98] ; [34 17],[295.09151786 101.90848214] ; [37.90848214 13.09151786],0
v2,1,0.333549,0.935068,[233 152] ; [25 22],[229.93055556 155.06944444] ; [28.06944444 18.93055556],0
