Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-05,18.220913,[15 65] ; [65 71],[29.62962963 50.37037037] ; [50.37037037 85.62962963],1
r3,1,0.000128,14.663838,[58 22] ; [125  11],[67.77777778 12.22222222] ; [115.22222222  20.77777778],1
r4,1,0.000869,11.087699,[49 31] ; [112  25],[59.35483871 20.64516129] ; [101.64516129  35.35483871],1
p2,1,0.001001,10.825434,[47 33] ; [109  28],[57.51152074 22.48847926] ; [98.48847926 38.51152074],0
p10,1,0.001412,10.189934,[44 35] ; [102  31],[54.40566038 24.59433962] ; [91.59433962 41.40566038],0
d5,1,0.002652,9.032401,[34 46] ; [87 50],[44.60829493 35.39170507] ; [76.39170507 60.60829493],0
p8,1,0.008659,6.891762,[25 55] ; [66 67],[34.17840376 45.82159624] ; [56.82159624 76.17840376],0
a6,1,0.01322,6.139424,[37 43] ; [87 50],[45.71428571 34.28571429] ; [78.28571429 58.71428571],0
p9,1,0.014395,5.989076,[49 29] ; [105  29],[56.66037736 21.33962264] ; [97.33962264 36.66037736],0
p7,1,0.025936,4.960302,[31 49] ; [73 61],[38.87850467 41.12149533] ; [65.12149533 68.87850467],0
a5,1,0.026048,4.952812,[36 44] ; [83 54],[43.87096774 36.12903226] ; [75.12903226 61.87096774],0
d4,1,0.026048,4.952812,[36 44] ; [83 54],[43.87096774 36.12903226] ; [75.12903226 61.87096774],0
v1,1,0.030685,4.670493,[26 52] ; [66 70],[33.53271028 44.46728972] ; [58.46728972 77.53271028],0
s6,1,0.034542,4.467685,[24 54] ; [61 73],[31.27358491 46.72641509] ; [53.72641509 80.27358491],0
p3,1,0.044131,4.051556,[24 56] ; [60 77],[30.96774194 49.03225806] ; [53.03225806 83.96774194],0
p6,1,0.04861,3.888781,[16 63] ; [44 90],[22.25352113 56.74647887] ; [37.74647887 96.25352113],0
p4,1,0.04977,3.84919,[29 51] ; [68 68],[35.92592593 44.07407407] ; [61.07407407 74.92592593],0
p5,1,0.053304,3.734362,[ 4 76] ; [ 18 118],[ 8.14814815 71.85185185] ; [ 13.85185185 122.14814815],0
s1,1,0.060066,3.53555,[ 6 74] ; [  3 133],[ 3.33333333 76.66666667] ; [  5.66666667 130.33333333],0
v4,1,0.066029,3.379075,[64 16] ; [122  15],[68.57142857 11.42857143] ; [117.42857143  19.57142857],0
