Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,28.003015,[67 30] ; [317  34],[83.14285714 13.85714286] ; [300.85714286  50.14285714],1
n5,1,6e-06,20.527048,[61 39] ; [290  62],[77.65486726 22.34513274] ; [273.34513274  78.65486726],1
p8,1,7e-06,20.256853,[33 67] ; [203 144],[52.79642058 47.20357942] ; [183.20357942 163.79642058],1
n4,1,3.3e-05,17.236928,[63 37] ; [291  62],[78.14569536 21.85430464] ; [275.85430464  77.14569536],1
n6,1,0.000132,14.619379,[74 26] ; [312  38],[85.77777778 14.22222222] ; [300.22222222  49.77777778],1
p7,1,0.0002,13.835286,[51 48] ; [241  96],[66.30275229 32.69724771] ; [225.69724771 111.30275229],1
b1,1,0.001355,10.265833,[55 47] ; [128 225],[41.02417582 60.97582418] ; [141.97582418 211.02417582],0
s3,1,0.008041,7.024406,[81 21] ; [312  37],[88.88248337 13.11751663] ; [304.11751663  44.88248337],0
p3,1,0.011308,6.416256,[42 59] ; [195 154],[53.19333333 47.80666667] ; [183.80666667 165.19333333],0
p12,1,0.012154,6.288215,[ 4 96] ; [ 45 305],[10.88888889 89.11111111] ; [ 38.11111111 311.88888889],0
p9,1,0.01721,5.674864,[79 18] ; [314  34],[85.66516854 11.33483146] ; [307.33483146  40.66516854],0
a5,1,0.040926,4.179081,[69 33] ; [273  79],[76.83700441 25.16299559] ; [265.16299559  86.83700441],0
p2,1,0.041361,4.161165,[78 23] ; [300  50],[84.6518847 16.3481153] ; [293.3481153  56.6518847],0
p4,1,0.06575,3.386068,[58 43] ; [235 114],[65.76222222 35.23777778] ; [227.23777778 121.76222222],0
a3,1,0.100787,2.693051,[70 32] ; [269  82],[76.33112583 25.66887417] ; [262.66887417  88.33112583],0
s4,1,0.101261,2.685576,[31 71] ; [ 78 269],[24.76169265 77.23830735] ; [ 84.23830735 262.76169265],0
v3,1,0.131617,2.273329,[35 62] ; [151 187],[41.47586207 55.52413793] ; [144.52413793 193.47586207],0
d1,1,0.164873,1.928954,[60 42] ; [234 119],[65.90769231 36.09230769] ; [228.09230769 124.90769231],0
p5,1,0.167075,1.908994,[ 9 92] ; [ 49 297],[13.10514541 87.89485459] ; [ 44.89485459 301.10514541],0
n3,1,0.180823,1.790848,[29  7] ; [45 21],[26.11764706  9.88235294] ; [47.88235294 18.11764706],0
v1,1,0.185302,1.754577,[53 48] ; [203 136],[58.76363636 42.23636364] ; [197.23636364 141.76363636],0
p1,1,0.194906,1.680141,[13 88] ; [ 30 320],[ 9.62971175 91.37028825] ; [ 33.37028825 316.62971175],0
s1,1,0.201404,1.632162,[ 7 92] ; [ 14 336],[ 4.63028953 94.36971047] ; [ 16.36971047 333.63028953],0
r4,1,0.202739,1.622532,[93  9] ; [334  19],[95.72307692  6.27692308] ; [331.27692308  21.72307692],0
d4,1,0.204597,1.609255,[84 17] ; [308  42],[87.78713969 13.21286031] ; [304.21286031  45.78713969],0
b3,1,0.258191,1.278431,[16 34] ; [ 93 136],[19.53405018 30.46594982] ; [ 89.46594982 139.53405018],0
b2,1,0.258191,1.278431,[16 34] ; [ 93 136],[19.53405018 30.46594982] ; [ 89.46594982 139.53405018],0
s8,1,0.296749,1.088749,[59 43] ; [223 128],[63.49668874 38.50331126] ; [218.50331126 132.49668874],0
p6,1,0.327434,0.959018,[39 61] ; [154 192],[43.2735426 56.7264574] ; [149.7264574 196.2735426],0
a8,1,0.330455,0.947115,[11 79] ; [ 54 275],[13.96181384 76.03818616] ; [ 51.03818616 277.96181384],0
u2,1,0.347741,0.881684,[16 14] ; [53 31],[18.15789474 11.84210526] ; [50.84210526 33.15789474],0
d2,1,0.360768,0.835219,[57 44] ; [180 171],[52.9579646 48.0420354] ; [184.0420354 166.9579646],0
b5,1,0.42518,0.635953,[66 36] ; [213 140],[62.54505495 39.45494505] ; [216.45494505 136.54505495],0
a6,1,0.466822,0.529489,[63 38] ; [232 118],[66.06430155 34.93569845] ; [228.93569845 121.06430155],0
r1,1,0.47777,0.503949,[81 20] ; [293  59],[83.38631347 17.61368653] ; [290.61368653  61.38631347],0
d3,1,0.513788,0.426344,[74 26] ; [248 103],[71.39689579 28.60310421] ; [250.60310421 100.39689579],0
u1,1,0.523536,0.406922,[25 77] ; [ 76 277],[22.64175824 79.35824176] ; [ 78.35824176 274.64175824],0
a7,1,0.60331,0.270032,[76 25] ; [255  96],[73.96238938 27.03761062] ; [257.03761062  93.96238938],0
u3,1,0.624571,0.239496,[20 10] ; [60 24],[21.05263158  8.94736842] ; [58.94736842 25.05263158],0
r2,1,0.632211,0.229075,[99  2] ; [341  10],[98.31858407  2.68141593] ; [341.68141593   9.31858407],0
r3,1,0.662802,0.190137,[96  4] ; [342  11],[96.68874172  3.31125828] ; [341.31125828  11.68874172],0
n1,1,0.74751,0.103636,[14 22] ; [27 37],[14.76 21.24] ; [26.24 37.76],0
s7,1,0.770377,0.085195,[65 26] ; [241 104],[63.86697248 27.13302752] ; [242.13302752 102.86697248],0
s6,1,0.774382,0.082167,[87 12] ; [302  46],[86.15436242 12.84563758] ; [302.84563758  45.15436242],0
