Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.084194,[ 7 20] ; [68 17],[18.08035714  8.91964286] ; [56.91964286 28.08035714],1
d1,1,0.000913,10.996659,[ 8 19] ; [56 29],[15.42857143 11.57142857] ; [48.57142857 36.42857143],1
d4,1,0.001538,10.032554,[16 11] ; [74 11],[21.69642857  5.30357143] ; [68.30357143 16.69642857],0
a2,1,0.003352,8.605374,[ 1 26] ; [27 58],[ 6.75 20.25] ; [21.25 63.75],0
d2,1,0.013008,6.167962,[ 9 18] ; [51 33],[14.59459459 12.40540541] ; [45.40540541 38.59459459],0
d5,1,0.03504,4.443202,[17 10] ; [70 15],[20.97321429  6.02678571] ; [66.02678571 18.97321429],0
v2,1,0.039697,4.230769,[14 12] ; [63 21],[18.2  7.8] ; [58.8 25.2],0
a4,1,0.041282,4.164415,[ 7 20] ; [41 44],[11.57142857 15.42857143] ; [36.42857143 48.57142857],0
b5,1,0.059087,3.562829,[13 14] ; [58 27],[17.11607143  9.88392857] ; [53.88392857 31.11607143],0
s1,1,0.061734,3.490181,[ 3 24] ; [ 2 80],[ 1.23853211 25.76146789] ; [ 3.76146789 78.23853211],0
p3,1,0.067635,3.339497,[12 15] ; [22 63],[ 8.19642857 18.80357143] ; [25.80357143 59.19642857],0
p2,1,0.077026,3.126565,[13 14] ; [57 28],[16.875 10.125] ; [53.125 31.875],0
n6,1,0.08354,2.994652,[18  9] ; [70 15],[21.21428571  5.78571429] ; [66.78571429 18.21428571],0
p10,1,0.1609,1.965747,[16 11] ; [61 22],[18.9  8.1] ; [58.1 24.9],0
u3,1,0.18367,1.767677,[2 4] ; [14  8],[3.42857143 2.57142857] ; [12.57142857  9.42857143],0
s5,1,0.183887,1.765927,[ 4 22] ; [23 58],[ 6.56074766 19.43925234] ; [20.43925234 60.56074766],0
a6,1,0.221975,1.491559,[16 11] ; [61 24],[18.5625  8.4375] ; [58.4375 26.5625],0
p12,1,0.241026,1.374582,[ 2 25] ; [14 71],[ 3.85714286 23.14285714] ; [12.14285714 72.85714286],0
p6,1,0.262727,1.254328,[ 6 21] ; [11 72],[ 4.17272727 22.82727273] ; [12.82727273 70.17272727],0
u1,1,0.293441,1.103768,[ 3 24] ; [17 68],[ 4.82142857 22.17857143] ; [15.17857143 69.82142857],0
a8,1,0.298411,1.08128,[ 1 24] ; [ 8 65],[ 2.29591837 22.70408163] ; [ 6.70408163 66.29591837],0
r3,1,0.316934,1.001556,[23  4] ; [78  7],[24.34821429  2.65178571] ; [76.65178571  8.34821429],0
v4,1,0.316934,1.001556,[23  4] ; [78  7],[24.34821429  2.65178571] ; [76.65178571  8.34821429],0
r4,1,0.317834,0.99784,[21  6] ; [73 12],[22.66071429  4.33928571] ; [71.33928571 13.66071429],0
s8,1,0.321713,0.981968,[14 13] ; [34 49],[11.78181818 15.21818182] ; [36.21818182 46.78181818],0
b1,1,0.392227,0.732026,[12 15] ; [30 55],[10.125 16.875] ; [31.875 53.125],0
a1,1,0.499817,0.455325,[ 3 24] ; [ 6 79],[ 2.16964286 24.83035714] ; [ 6.83035714 78.16964286],0
s3,1,0.504985,0.444444,[15 12] ; [39 42],[13.5 13.5] ; [40.5 40.5],0
n1,1,0.560714,0.338469,[4 4] ; [ 8 13],[3.31034483 4.68965517] ; [ 8.68965517 12.31034483],0
p9,1,0.588882,0.292093,[19  8] ; [62 20],[20.06422018  6.93577982] ; [60.93577982 21.06422018],0
s7,1,0.617534,0.249349,[12 13] ; [33 45],[10.9223301 14.0776699] ; [34.0776699 43.9223301],0
p1,1,0.648015,0.208412,[ 3 24] ; [ 7 78],[ 2.41071429 24.58928571] ; [ 7.58928571 77.41071429],0
