Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,67.23735,[ 35 207] ; [56 40],[ 65.15384615 176.84615385] ; [25.84615385 70.15384615],1
s6,1,1e-06,24.036269,[ 89 148] ; [65 32],[109.2754491 127.7245509] ; [44.7245509 52.2754491],1
p6,1,2e-05,18.19111,[ 65 175] ; [49 46],[ 81.67164179 158.32835821] ; [32.32835821 62.67164179],1
s2,1,6.8e-05,15.873576,[ 22 218] ; [25 72],[ 33.47181009 206.52818991] ; [13.52818991 83.47181009],1
v3,1,0.000272,13.253932,[ 68 164] ; [48 47],[ 82.29969419 149.70030581] ; [33.70030581 61.29969419],1
u1,1,0.000316,12.975133,[ 27 216] ; [26 71],[ 37.87941176 205.12058824] ; [15.12058824 81.87941176],1
p3,1,0.000477,12.203935,[ 97 146] ; [59 38],[111.49411765 131.50588235] ; [44.50588235 52.49411765],1
s5,1,0.003271,8.649686,[ 45 189] ; [33 63],[ 55.30909091 178.69090909] ; [22.69090909 73.30909091],0
p4,1,0.003592,8.479432,[120 122] ; [65 32],[132.06489676 109.93510324] ; [52.93510324 44.06489676],0
p10,1,0.006249,7.476966,[177  63] ; [84 12],[186.42857143  53.57142857] ; [74.57142857 21.42857143],0
a3,1,0.013151,6.148736,[156  87] ; [75 21],[165.5840708  77.4159292] ; [65.4159292 30.5840708],0
p7,1,0.023705,5.116097,[136 105] ; [67 29],[145.17210682  95.82789318] ; [57.82789318 38.17210682],0
b2,1,0.031484,4.62635,[44 91] ; [34 37],[51.11650485 83.88349515] ; [26.88349515 44.11650485],0
b3,1,0.031484,4.62635,[44 91] ; [34 37],[51.11650485 83.88349515] ; [26.88349515 44.11650485],0
n4,1,0.050093,3.838334,[170  73] ; [78 19],[177.24705882  65.75294118] ; [70.75294118 26.24705882],0
a2,1,0.057608,3.604942,[ 45 198] ; [27 70],[ 51.45882353 191.54117647] ; [20.54117647 76.45882353],0
d2,1,0.081181,3.041102,[102 140] ; [51 46],[109.22123894 132.77876106] ; [43.77876106 53.22123894],0
p5,1,0.085109,2.964533,[ 18 224] ; [13 84],[ 22.12979351 219.87020649] ; [ 8.87020649 88.12979351],0
v2,1,0.085263,2.961609,[124 111] ; [60 35],[131.03030303 103.96969697] ; [52.96969697 42.03030303],0
p9,1,0.089004,2.892304,[191  49] ; [84 12],[196.42857143  43.57142857] ; [78.57142857 17.42857143],0
v1,1,0.097246,2.750137,[119 122] ; [57 39],[125.86350148 115.13649852] ; [50.13649852 45.86350148],0
a5,1,0.122271,2.387993,[173  70] ; [77 20],[178.67647059  64.32352941] ; [71.32352941 25.67647059],0
p2,1,0.142517,2.150566,[191  52] ; [83 14],[195.82941176  47.17058824] ; [78.17058824 18.82941176],0
s4,1,0.150662,2.065534,[ 22 217] ; [14 82],[ 25.68358209 213.31641791] ; [10.31641791 85.68358209],0
u2,1,0.152484,2.047228,[44 42] ; [15  7],[46.98148148 39.01851852] ; [12.01851852  9.98148148],0
p12,1,0.163083,1.945407,[  9 233] ; [ 7 89],[ 11.4556213 230.5443787] ; [ 4.5443787 91.4556213],0
