Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,53.816498,[120   7] ; [12 18],[106.77707006  20.22292994] ; [25.22292994  4.77707006],1
p8,1,0.000397,12.548592,[63 62] ; [ 5 27],[54.14012739 70.85987261] ; [13.85987261 18.14012739],1
p2,1,0.001929,9.615807,[111  16] ; [22 12],[104.91304348  22.08695652] ; [28.08695652  5.91304348],0
p11,1,0.0023,9.293398,[103  24] ; [19 15],[96.23602484 30.76397516] ; [25.76397516  8.23602484],0
s8,1,0.004924,7.90725,[69 57] ; [ 9 24],[61.81132075 64.18867925] ; [16.18867925 16.81132075],0
r4,1,0.017003,5.696018,[116  11] ; [26  8],[112.01242236  14.98757764] ; [29.98757764  4.01242236],0
a3,1,0.032085,4.593971,[100  27] ; [20 13],[95.25 31.75] ; [24.75  8.25],0
v1,1,0.032603,4.566531,[71 53] ; [12 21],[65.55414013 58.44585987] ; [17.44585987 15.55414013],0
b3,1,0.033643,4.512739,[32 38] ; [ 6 21],[27.42268041 42.57731959] ; [10.57731959 16.42268041],0
b2,1,0.033643,4.512739,[32 38] ; [ 6 21],[27.42268041 42.57731959] ; [10.57731959 16.42268041],0
r3,1,0.036287,4.383548,[120   6] ; [28  5],[117.28301887   8.71698113] ; [30.71698113  2.28301887],0
v4,1,0.044238,4.047438,[120   4] ; [30  4],[117.72151899   6.27848101] ; [32.27848101  1.72151899],0
p7,1,0.045574,3.997277,[76 47] ; [14 19],[70.96153846 52.03846154] ; [19.03846154 13.96153846],0
d1,1,0.051524,3.791146,[83 44] ; [16 18],[78.0931677 48.9068323] ; [20.9068323 13.0931677],0
n6,1,0.054236,3.705409,[111  14] ; [25  8],[107.59493671  17.40506329] ; [28.40506329  4.59493671],0
a6,1,0.055982,3.65259,[86 41] ; [17 17],[81.2484472 45.7515528] ; [21.7515528 12.2484472],0
n5,1,0.061067,3.508155,[96 29] ; [20 13],[91.7721519 33.2278481] ; [24.2278481  8.7721519],0
b5,1,0.061073,3.507991,[63 64] ; [23 11],[67.83850932 59.16149068] ; [18.16149068 15.83850932],0
