Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,72.484848,[272  14] ; [4 9],[264.  22.] ; [12.  1.],1
v4,1,0.0,41.039103,[281   4] ; [9 4],[277.34899329   7.65100671] ; [12.65100671  0.34899329],1
r1,1,0.0,37.043344,[246  38] ; [ 3 10],[238.1010101  45.8989899] ; [10.8989899  2.1010101],1
r3,1,3e-06,21.636861,[280   5] ; [10  3],[277.34899329   7.65100671] ; [12.65100671  0.34899329],1
d5,1,1.6e-05,18.622297,[239  43] ; [5 8],[233.24745763  48.75254237] ; [10.75254237  2.24745763],1
a7,1,9.6e-05,15.205329,[208  76] ; [ 3 10],[201.76430976  82.23569024] ; [9.23569024 3.76430976],1
n6,1,0.001092,10.664184,[254  27] ; [8 5],[250.41496599  30.58503401] ; [11.58503401  1.41496599],0
s7,1,0.001507,10.069634,[208  70] ; [4 8],[203.22758621  74.77241379] ; [8.77241379 3.22758621],0
p9,1,0.001706,9.841647,[256  29] ; [8 5],[252.48322148  32.51677852] ; [11.51677852  1.48322148],0
d1,1,0.002648,9.035515,[184 102] ; [ 3 10],[178.86956522 107.13043478] ; [8.13043478 4.86956522],0
n5,1,0.007701,7.101684,[235  48] ; [7 6],[231.37162162  51.62837838] ; [10.62837838  2.37162162],0
n4,1,0.01327,6.132748,[232  52] ; [7 6],[228.53872054  55.46127946] ; [10.46127946  2.53872054],0
a4,1,0.015595,5.847988,[142 144] ; [ 2 11],[137.73913043 148.26086957] ; [6.26086957 6.73913043],0
a3,1,0.036577,4.369985,[224  61] ; [7 6],[220.92281879  64.07718121] ; [10.07718121  2.92281879],0
s5,1,0.037837,4.312355,[145 131] ; [ 3 10],[141.34256055 134.65743945] ; [6.65743945 6.34256055],0
s8,1,0.048844,3.880694,[186  99] ; [5 8],[182.66778523 102.33221477] ; [8.33221477 4.66778523],0
d2,1,0.051386,3.795653,[144 140] ; [ 3 10],[140.56565657 143.43434343] ; [6.43434343 6.56565657],0
