Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,109.056326,[562   9] ; [87 31],[537.85050798  33.14949202] ; [111.14949202   6.85050798],1
r3,1,1e-06,24.265685,[559   9] ; [106  12],[550.6122449  17.3877551] ; [114.3877551   3.6122449],1
a5,1,2e-06,22.350818,[443 127] ; [67 51],[422.52906977 147.47093023] ; [87.47093023 30.52906977],1
u1,1,2.5e-05,17.728246,[117 454] ; [  5 113],[101.10595065 469.89404935] ; [20.89404935 97.10595065],1
v2,1,0.000287,13.153848,[333 213] ; [48 65],[315.66919575 230.33080425] ; [65.33080425 47.66919575],1
n4,1,0.000376,12.649364,[468 101] ; [80 38],[453.87481805 115.12518195] ; [94.12518195 23.87481805],1
d3,1,0.000388,12.58746,[408 161] ; [65 53],[391.75691412 177.24308588] ; [81.24308588 36.75691412],1
a2,1,0.000497,12.128169,[148 423] ; [ 13 105],[133.42670537 437.57329463] ; [27.57329463 90.42670537],1
a6,1,0.00094,10.942715,[410 158] ; [67 51],[394.95043732 173.04956268] ; [82.04956268 35.95043732],1
d1,1,0.001514,10.061715,[356 215] ; [55 63],[340.61103048 230.38896952] ; [70.38896952 47.61103048],0
v4,1,0.001743,9.802215,[559  10] ; [109   8],[554.06997085  14.93002915] ; [113.93002915   3.06997085],0
v1,1,0.00271,8.993297,[323 231] ; [49 65],[308.51497006 245.48502994] ; [63.48502994 50.51497006],0
p7,1,0.006336,7.452145,[377 173] ; [63 51],[364.45783133 185.54216867] ; [75.54216867 38.45783133],0
d2,1,0.010968,6.470415,[282 286] ; [43 74],[269.48905109 298.51094891] ; [55.51094891 61.48905109],0
p4,1,0.015801,5.824888,[356 207] ; [60 57],[344.42352941 218.57647059] ; [71.57647059 45.42352941],0
s5,1,0.021488,5.286765,[196 354] ; [27 84],[185.55219365 364.44780635] ; [37.44780635 73.55219365],0
s6,1,0.025201,5.010044,[380 177] ; [66 49],[369.67559524 187.32440476] ; [76.32440476 38.67559524],0
d4,1,0.026627,4.914814,[476  91] ; [89 29],[467.67153285  99.32846715] ; [97.32846715 20.67153285],0
a4,1,0.030418,4.685527,[264 304] ; [42 76],[253.36443149 314.63556851] ; [52.63556851 65.36443149],0
a7,1,0.030524,4.67955,[417 151] ; [75 43],[407.37026239 160.62973761] ; [84.62973761 33.37026239],0
a3,1,0.046395,3.967212,[418 151] ; [76 42],[409.14992722 159.85007278] ; [84.85007278 33.14992722],0
b4,1,0.051547,3.790401,[332 239] ; [80 38],[341.43976778 229.56023222] ; [70.56023222 47.43976778],0
a8,1,0.053838,3.717703,[ 77 438] ; [  9 103],[ 70.63795853 444.36204147] ; [15.36204147 96.63795853],0
p8,1,0.067288,3.347967,[323 234] ; [56 59],[314.14136905 242.85863095] ; [64.85863095 50.14136905],0
v3,1,0.067367,3.346029,[233 314] ; [38 76],[224.26172466 322.73827534] ; [46.73827534 67.26172466],0
u3,1,0.098113,2.735954,[98 55] ; [21 21],[93.36923077 59.63076923] ; [25.63076923 16.36923077],0
s8,1,0.098602,2.728009,[262 302] ; [45 73],[253.88269795 310.11730205] ; [53.11730205 64.88269795],0
s3,1,0.099794,2.708837,[327 230] ; [59 58],[318.99406528 238.00593472] ; [67.00593472 49.99406528],0
p2,1,0.11396,2.498425,[489  76] ; [93 22],[483.57352941  81.42647059] ; [98.42647059 16.57352941],0
