Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.570528,[15 52] ; [45 26],[29.13043478 37.86956522] ; [30.86956522 40.13043478],1
p6,1,8.7e-05,15.395602,[ 7 57] ; [29 42],[17.06666667 46.93333333] ; [18.93333333 52.06666667],1
p7,1,0.000161,14.234101,[26 36] ; [52 18],[36.63636364 25.36363636] ; [41.36363636 28.63636364],1
p8,1,0.005878,7.587397,[24 41] ; [43 28],[32.02205882 32.97794118] ; [34.97794118 36.02205882],0
u2,1,0.030593,4.675678,[11 15] ; [20  8],[14.92592593 11.07407407] ; [16.07407407 11.92592593],0
p1,1,0.031488,4.626134,[ 2 65] ; [ 9 60],[ 5.41911765 61.58088235] ; [ 5.58088235 63.41911765],0
d3,1,0.036198,4.387744,[42 25] ; [56 15],[47.57971014 19.42028986] ; [50.42028986 20.57971014],0
a4,1,0.08329,2.999508,[18 49] ; [29 42],[22.81884058 44.18115942] ; [24.18115942 46.81884058],0
b3,1,0.090454,2.866282,[12 15] ; [ 9 28],[ 8.859375 18.140625] ; [12.140625 24.859375],0
b2,1,0.090454,2.866282,[12 15] ; [ 9 28],[ 8.859375 18.140625] ; [12.140625 24.859375],0
p5,1,0.114198,2.495142,[ 1 65] ; [ 5 66],[ 2.89051095 63.10948905] ; [ 3.10948905 67.89051095],0
a5,1,0.134004,2.245495,[39 28] ; [50 21],[43.21014493 23.78985507] ; [45.78985507 25.21014493],0
b1,1,0.169906,1.88377,[19 48] ; [28 43],[22.81884058 44.18115942] ; [24.18115942 46.81884058],0
a8,1,0.182479,1.777314,[ 1 62] ; [ 4 61],[ 2.4609375 60.5390625] ; [ 2.5390625 62.4609375],0
d2,1,0.184484,1.761129,[21 46] ; [30 41],[24.76086957 42.23913043] ; [26.23913043 44.76086957],0
s7,1,0.193871,1.68795,[26 41] ; [33 33],[29.72180451 37.27819549] ; [29.27819549 36.72180451],0
p9,1,0.196398,1.668956,[55 10] ; [53 17],[52. 13.] ; [56. 14.],0
s8,1,0.214932,1.537894,[26 41] ; [35 36],[29.61594203 37.38405797] ; [31.38405797 39.61594203],0
d1,1,0.236855,1.399213,[31 36] ; [40 31],[34.47101449 32.52898551] ; [36.52898551 34.47101449],0
b4,1,0.252431,1.309798,[38 29] ; [47 24],[41.26811594 25.73188406] ; [43.73188406 27.26811594],0
u1,1,0.310681,1.027779,[ 5 62] ; [ 9 62],[ 6.79710145 60.20289855] ; [ 7.20289855 63.79710145],0
n6,1,0.326459,0.962891,[48 19] ; [44 25],[45.32352941 21.67647059] ; [46.67647059 22.32352941],0
u3,1,0.392615,0.730827,[16 11] ; [19  8],[17.5  9.5] ; [17.5  9.5],0
s2,1,0.429464,0.624271,[40 27] ; [47 24],[42.23913043 24.76086957] ; [44.76086957 26.23913043],0
p12,1,0.445719,0.581516,[ 2 65] ; [ 4 67],[ 2.91304348 64.08695652] ; [ 3.08695652 67.91304348],0
a2,1,0.457833,0.551188,[10 57] ; [14 57],[11.65217391 55.34782609] ; [12.34782609 58.65217391],0
n2,1,0.462732,0.539279,[22  6] ; [16  7],[20.8627451  7.1372549] ; [17.1372549  5.8627451],0
b5,1,0.533865,0.387029,[39 28] ; [45 26],[40.7826087 26.2173913] ; [43.2173913 27.7826087],0
r4,1,0.544944,0.366453,[59  8] ; [60 11],[57.77536232  9.22463768] ; [61.22463768  9.77536232],0
v3,1,0.558409,0.342466,[18 46] ; [22 45],[19.54198473 44.45801527] ; [20.45801527 46.54198473],0
s5,1,0.572847,0.317942,[27 38] ; [32 37],[28.61940299 36.38059701] ; [30.38059701 38.61940299],0
p2,1,0.587152,0.294813,[49 18] ; [54 16],[50.37226277 16.62773723] ; [52.62773723 17.37226277],0
r3,1,0.589815,0.290633,[63  3] ; [69  2],[63.59124088  2.40875912] ; [68.40875912  2.59124088],0
v4,1,0.59101,0.288769,[62  4] ; [65  6],[61.18248175  4.81751825] ; [65.81751825  5.18248175],0
r2,1,0.59101,0.288769,[62  4] ; [65  6],[61.18248175  4.81751825] ; [65.81751825  5.18248175],0
a6,1,0.606547,0.265233,[48 19] ; [48 23],[46.60869565 20.39130435] ; [49.39130435 21.60869565],0
s3,1,0.631243,0.230378,[45 21] ; [45 25],[43.67647059 22.32352941] ; [46.32352941 23.67647059],0
n1,1,0.636719,0.223059,[ 9 19] ; [ 6 17],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
