Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1e-06,23.995519,[412  74] ; [23 19],[400.39772727  85.60227273] ; [34.60227273  7.39772727],1
n6,1,1.5e-05,18.695723,[430  52] ; [27 14],[421.17399618  60.82600382] ; [35.82600382  5.17399618],1
p7,1,0.006464,7.41624,[328 144] ; [20 21],[320.1871345 151.8128655] ; [27.8128655 13.1871345],0
p2,1,0.009074,6.808143,[425  58] ; [31 11],[419.52  63.48] ; [36.48  5.52],0
u4,1,0.010502,6.547619,[ 12 474] ; [ 4 38],[ 14.72727273 471.27272727] ; [ 1.27272727 40.72727273],0
p3,1,0.022155,5.233565,[273 211] ; [16 26],[265.92395437 218.07604563] ; [23.07604563 18.92395437],0
r4,1,0.037617,4.322239,[457  29] ; [36  6],[453.78409091  32.21590909] ; [39.21590909  2.78409091],0
a8,1,0.038464,4.284373,[ 60 385] ; [10 29],[ 64.35950413 380.64049587] ; [ 5.64049587 33.35950413],0
n1,1,0.040642,4.19087,[39 63] ; [11  6],[42.85714286 59.14285714] ; [7.14285714 9.85714286],0
p8,1,0.047114,3.941309,[270 209] ; [17 25],[263.86372361 215.13627639] ; [23.13627639 18.86372361],0
p4,1,0.049138,3.870625,[326 158] ; [22 20],[320.21292776 163.78707224] ; [27.78707224 14.21292776],0
b1,1,0.070231,3.27762,[164 322] ; [20 22],[169.36363636 316.63636364] ; [14.63636364 27.36363636],0
u2,1,0.103749,2.646949,[80 43] ; [6 8],[77.21167883 45.78832117] ; [8.78832117 5.21167883],0
v3,1,0.12987,2.294057,[195 275] ; [11 27],[190.59055118 279.40944882] ; [15.40944882 22.59055118],0
s5,1,0.134263,2.24251,[218 253] ; [14 27],[213.421875 257.578125] ; [18.578125 22.421875],0
p12,1,0.142019,2.155948,[ 60 425] ; [ 2 40],[ 57.05882353 427.94117647] ; [ 4.94117647 37.05882353],0
s3,1,0.148906,2.083424,[335 145] ; [33  8],[339.0403071 140.9596929] ; [28.9596929 12.0403071],0
v1,1,0.153005,2.04203,[283 187] ; [20 21],[278.6888454 191.3111546] ; [24.3111546 16.6888454],0
n5,1,0.161933,1.956081,[387  97] ; [29 12],[383.51238095 100.48761905] ; [32.48761905  8.51238095],0
a5,1,0.162972,1.946432,[381 105] ; [29 13],[377.38636364 108.61363636] ; [32.61363636  9.38636364],0
b5,1,0.170285,1.88043,[295 191] ; [30 12],[299.14772727 186.85227273] ; [25.85227273 16.14772727],0
s1,1,0.172305,1.862771,[ 15 464] ; [ 3 39],[ 16.54894434 462.45105566] ; [ 1.45105566 40.54894434],0
p6,1,0.212722,1.552802,[208 273] ; [14 28],[204.17208413 276.82791587] ; [17.82791587 24.17208413],0
a3,1,0.230491,1.43783,[361 124] ; [27 14],[357.75665399 127.24334601] ; [30.24334601 10.75665399],0
a6,1,0.238334,1.390421,[338 146] ; [25 16],[334.65142857 149.34857143] ; [28.34857143 12.65142857],0
s4,1,0.292289,1.109047,[104 377] ; [ 6 35],[101.36015326 379.63984674] ; [ 8.63984674 32.36015326],0
s2,1,0.305937,1.048137,[325 158] ; [25 17],[322. 161.] ; [28. 14.],0
a7,1,0.330696,0.94617,[357 128] ; [28 14],[354.31688805 130.68311195] ; [30.68311195 11.31688805],0
