Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,130.351929,[290  58] ; [43 99],[236.49795918 111.50204082] ; [96.50204082 45.49795918],1
n6,1,0.0,25.421226,[296  51] ; [93 50],[275.4755102  71.5244898] ; [113.5244898  29.4755102],1
p11,1,4e-06,21.103447,[281  70] ; [86 57],[260.76315789  90.23684211] ; [106.23684211  36.76315789],1
a5,1,1.8e-05,18.43513,[281  70] ; [88 55],[262.18421053  88.81578947] ; [106.81578947  36.18421053],1
a8,1,3.1e-05,17.326701,[ 57 265] ; [  4 128],[ 43.26431718 278.73568282] ; [ 17.73568282 114.26431718],1
s7,1,3.2e-05,17.297389,[158 178] ; [35 99],[137.97446809 198.02553191] ; [55.02553191 78.97446809],1
a4,1,0.000381,12.625551,[176 173] ; [47 96],[158.18495935 190.81504065] ; [64.81504065 78.18495935],1
p10,1,0.000599,11.779669,[281  68] ; [93 48],[266.37959184  82.62040816] ; [107.62040816  33.37959184],1
d2,1,0.000614,11.732571,[196 153] ; [56 87],[178.75609756 170.24390244] ; [73.24390244 69.75609756],1
s8,1,0.000819,11.197462,[141 208] ; [ 35 108],[124.84552846 224.15447154] ; [51.15447154 91.84552846],1
r4,1,0.001361,10.258025,[308  43] ; [109  34],[296.28947368  54.71052632] ; [120.71052632  22.28947368],0
a3,1,0.002732,8.978262,[269  82] ; [90 52],[255.59634888  95.40365112] ; [103.40365112  38.59634888],0
p3,1,0.002788,8.941535,[151 199] ; [ 41 102],[136.30831643 213.69168357] ; [55.69168357 87.30831643],0
u1,1,0.002805,8.929852,[ 71 280] ; [ 13 130],[ 59.68421053 291.31578947] ; [ 24.31578947 118.68421053],0
d5,1,0.004291,8.156431,[310  41] ; [112  31],[299.84210526  51.15789474] ; [122.15789474  20.84210526],0
s4,1,0.008185,6.992499,[ 39 309] ; [ 29 114],[ 48.19551935 299.80448065] ; [ 19.80448065 123.19551935],0
p4,1,0.009055,6.811868,[175 173] ; [53 89],[161.92653061 186.07346939] ; [66.07346939 75.92653061],0
a2,1,0.013289,6.130174,[ 93 258] ; [ 23 120],[ 82.42105263 268.57894737] ; [ 33.57894737 109.42105263],0
r3,1,0.018226,5.574337,[330  20] ; [126  17],[323.73225152  26.26774848] ; [132.26774848  10.73225152],0
