Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.004189,8.199978,[22 41] ; [16  7],[27.8372093 35.1627907] ; [10.1627907 12.8372093],0
n1,1,0.015725,5.833333,[ 4 24] ; [4 3],[ 6.4 21.6] ; [1.6 5.4],0
s5,1,0.019145,5.488239,[17 44] ; [ 1 22],[13.07142857 47.92857143] ; [ 4.92857143 18.07142857],0
b4,1,0.043413,4.079263,[40 23] ; [ 9 14],[35.89534884 27.10465116] ; [13.10465116  9.89534884],0
s7,1,0.047311,3.934286,[26 34] ; [ 4 17],[22.22222222 37.77777778] ; [ 7.77777778 13.22222222],0
v1,1,0.053105,3.74061,[34 29] ; [ 7 16],[30.03488372 32.96511628] ; [10.96511628 12.03488372],0
d4,1,0.05508,3.679654,[48 15] ; [12 10],[44.47058824 18.52941176] ; [15.52941176  6.47058824],0
a8,1,0.072667,3.221729,[ 2 58] ; [ 3 18],[ 3.7037037 56.2962963] ; [ 1.2962963 19.7037037],0
n3,1,0.082553,3.013915,[15 13] ; [7 1],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
p10,1,0.089412,2.884933,[49 14] ; [13  9],[45.95294118 17.04705882] ; [16.04705882  5.95294118],0
b5,1,0.111764,2.529097,[42 21] ; [11 12],[38.8255814 24.1744186] ; [14.1744186  8.8255814],0
p9,1,0.115588,2.476103,[52 10] ; [15  7],[49.45238095 12.54761905] ; [17.54761905  4.45238095],0
p11,1,0.11688,2.458634,[49 14] ; [14  9],[46.15116279 16.84883721] ; [16.84883721  6.15116279],0
r4,1,0.126303,2.337361,[51 12] ; [15  8],[48.34883721 14.65116279] ; [17.65116279  5.34883721],0
r2,1,0.136585,2.216017,[55  8] ; [17  6],[52.74418605 10.25581395] ; [19.25581395  3.74418605],0
s3,1,0.138786,2.191365,[27 36] ; [14  9],[30.03488372 32.96511628] ; [10.96511628 12.03488372],0
p6,1,0.140859,2.16855,[13 50] ; [ 8 14],[15.56470588 47.43529412] ; [ 5.43529412 16.56470588],0
s6,1,0.163968,1.937246,[38 25] ; [10 13],[35.1627907 27.8372093] ; [12.8372093 10.1627907],0
v3,1,0.165096,1.92692,[17 45] ; [ 3 20],[14.58823529 47.41176471] ; [ 5.41176471 17.58823529],0
r1,1,0.169224,1.889807,[43 20] ; [12 11],[40.29069767 22.70930233] ; [14.70930233  8.29069767],0
r3,1,0.177946,1.814694,[56  7] ; [17  5],[54.10588235  8.89411765] ; [18.89411765  3.10588235],0
s4,1,0.236412,1.401862,[19 44] ; [ 4 19],[16.84883721 46.15116279] ; [ 6.15116279 16.84883721],0
a2,1,0.249731,1.324805,[12 51] ; [ 2 21],[10.25581395 52.74418605] ; [ 3.74418605 19.25581395],0
v4,1,0.284432,1.145792,[59  4] ; [19  3],[57.81176471  5.18823529] ; [20.18823529  1.81176471],0
a5,1,0.300386,1.072481,[38 25] ; [11 12],[35.89534884 27.10465116] ; [13.10465116  9.89534884],0
d1,1,0.301037,1.069595,[24 39] ; [ 6 17],[21.97674419 41.02325581] ; [ 8.02325581 14.97674419],0
