Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,48.214559,[70  5] ; [ 8 21],[56.25 18.75] ; [21.75  7.25],1
v4,1,0.006635,7.369215,[72  3] ; [23  6],[68.50961538  6.49038462] ; [26.49038462  2.50961538],0
p11,1,0.025745,4.973081,[60 15] ; [17 12],[55.52884615 19.47115385] ; [21.47115385  7.52884615],0
s8,1,0.036731,4.362837,[29 46] ; [ 5 24],[24.51923077 50.48076923] ; [ 9.48076923 19.51923077],0
r4,1,0.047299,3.934733,[68  7] ; [22  7],[64.90384615 10.09615385] ; [25.09615385  3.90384615],0
s7,1,0.051732,3.784429,[30 43] ; [ 6 23],[25.76470588 47.23529412] ; [10.23529412 18.76470588],0
b1,1,0.074355,3.184168,[20 55] ; [13 16],[23.79807692 51.20192308] ; [ 9.20192308 19.79807692],0
p3,1,0.07575,3.153808,[43 32] ; [11 18],[38.94230769 36.05769231] ; [15.05769231 13.94230769],0
a6,1,0.098113,2.735947,[41 34] ; [21  8],[44.71153846 30.28846154] ; [17.28846154 11.71153846],0
r2,1,0.106011,2.6127,[69  5] ; [24  5],[66.81553398  7.18446602] ; [26.18446602  2.81553398],0
v2,1,0.108984,2.568895,[32 40] ; [18 11],[35.64356436 36.35643564] ; [14.35643564 14.64356436],0
b3,1,0.118902,2.431725,[10 31] ; [ 1 15],[ 7.9122807 33.0877193] ; [ 3.0877193 12.9122807],0
b2,1,0.118902,2.431725,[10 31] ; [ 1 15],[ 7.9122807 33.0877193] ; [ 3.0877193 12.9122807],0
r1,1,0.121157,2.402305,[60 15] ; [19 10],[56.97115385 18.02884615] ; [22.02884615  6.97115385],0
s6,1,0.134469,2.240136,[47 26] ; [14 15],[43.65686275 29.34313725] ; [17.34313725 11.65686275],0
s2,1,0.142548,2.150233,[32 42] ; [ 8 21],[28.73786408 45.26213592] ; [11.26213592 17.73786408],0
d1,1,0.143843,2.136359,[43 32] ; [12 17],[39.66346154 35.33653846] ; [15.33653846 13.66346154],0
a7,1,0.164914,1.928582,[59 16] ; [19 10],[56.25 18.75] ; [21.75  7.25],0
s5,1,0.171355,1.871048,[22 50] ; [ 5 24],[19.24752475 52.75247525] ; [ 7.75247525 21.24752475],0
n6,1,0.172639,1.859875,[49 25] ; [15 14],[45.98058252 28.01941748] ; [18.01941748 10.98058252],0
a5,1,0.188644,1.728175,[54 21] ; [17 12],[51.20192308 23.79807692] ; [19.79807692  9.20192308],0
p2,1,0.191428,1.706592,[64 10] ; [22  7],[61.78640777 12.21359223] ; [24.21359223  4.78640777],0
n1,1,0.194835,1.680672,[ 4 14] ; [3 3],[ 5.25 12.75] ; [1.75 4.25],0
d5,1,0.231034,1.434483,[60 15] ; [20  9],[57.69230769 17.30769231] ; [22.30769231  6.69230769],0
a4,1,0.253586,1.303441,[24 51] ; [ 6 23],[21.63461538 53.36538462] ; [ 8.36538462 20.63461538],0
p7,1,0.275826,1.18754,[57 15] ; [20  9],[54.89108911 17.10891089] ; [22.10891089  6.89108911],0
n2,1,0.317311,1.0,[11  7] ; [5 1],[12.  6.] ; [4. 2.],0
u3,1,0.343816,0.896149,[18 13] ; [6 8],[16.53333333 14.46666667] ; [7.46666667 6.53333333],0
s3,1,0.359216,0.840631,[35 38] ; [11 18],[32.92156863 40.07843137] ; [13.07843137 15.92156863],0
u1,1,0.360349,0.836676,[ 4 71] ; [ 3 26],[ 5.04807692 69.95192308] ; [ 1.95192308 27.04807692],0
p12,1,0.406097,0.6902,[ 6 69] ; [ 1 28],[ 5.04807692 69.95192308] ; [ 1.95192308 27.04807692],0
r3,1,0.406097,0.6902,[69  6] ; [28  1],[69.95192308  5.04807692] ; [27.04807692  1.95192308],0
s4,1,0.461655,0.54188,[12 63] ; [ 3 26],[10.81730769 64.18269231] ; [ 4.18269231 24.81730769],0
d3,1,0.463098,0.538397,[57 18] ; [20  9],[55.52884615 19.47115385] ; [21.47115385  7.52884615],0
a8,1,0.485705,0.486026,[ 3 66] ; [ 2 23],[ 3.67021277 65.32978723] ; [ 1.32978723 23.67021277],0
b5,1,0.521472,0.410981,[44 31] ; [19 10],[45.43269231 29.56730769] ; [17.56730769 11.43269231],0
p1,1,0.533703,0.387336,[ 8 65] ; [ 2 27],[ 7.15686275 65.84313725] ; [ 2.84313725 26.15686275],0
u2,1,0.555067,0.348317,[19 13] ; [7 7],[18.08695652 13.91304348] ; [7.91304348 6.08695652],0
a3,1,0.605519,0.266752,[43 32] ; [15 14],[41.82692308 33.17307692] ; [16.17307692 12.82692308],0
d4,1,0.643112,0.214695,[60 15] ; [22  7],[59.13461538 15.86538462] ; [22.86538462  6.13461538],0
s1,1,0.686973,0.162382,[ 4 71] ; [ 1 28],[ 3.60576923 71.39423077] ; [ 1.39423077 27.60576923],0
a1,1,0.686973,0.162382,[ 4 71] ; [ 1 28],[ 3.60576923 71.39423077] ; [ 1.39423077 27.60576923],0
p4,1,0.694392,0.154372,[42 33] ; [15 14],[41.10576923 33.89423077] ; [15.89423077 13.10576923],0
v3,1,0.718865,0.129583,[23 49] ; [10 18],[23.76 48.24] ; [ 9.24 18.76],0
n4,1,0.786609,0.073288,[28 47] ; [10 19],[27.40384615 47.59615385] ; [10.59615385 18.40384615],0
n3,1,0.795418,0.067227,[13  5] ; [4 2],[12.75  5.25] ; [4.25 1.75],0
b4,1,0.799612,0.06444,[46 29] ; [17 12],[45.43269231 29.56730769] ; [17.56730769 11.43269231],0
v1,1,0.816904,0.053605,[28 44] ; [12 17],[28.51485149 43.48514851] ; [11.48514851 17.51485149],0
p6,1,0.866263,0.028361,[26 48] ; [ 9 18],[25.64356436 48.35643564] ; [ 9.35643564 17.64356436],0
d2,1,0.884765,0.021005,[27 48] ; [10 19],[26.68269231 48.31730769] ; [10.31730769 18.68269231],0
a2,1,0.96183,0.00229,[ 8 67] ; [ 3 26],[ 7.93269231 67.06730769] ; [ 3.06730769 25.93269231],0
