Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.603655,0.269519,[ 3 14] ; [13 42],[ 3.77777778 13.22222222] ; [12.22222222 42.77777778],0
b2,1,0.603655,0.269519,[ 3 14] ; [13 42],[ 3.77777778 13.22222222] ; [12.22222222 42.77777778],0
a6,1,0.615903,0.251667,[20 15] ; [48 44],[18.74015748 16.25984252] ; [49.25984252 42.74015748],0
d5,1,0.63453,0.225967,[24 11] ; [67 25],[25.07874016  9.92125984] ; [65.92125984 26.07874016],0
s8,1,0.669051,0.182715,[13 22] ; [38 54],[14.05511811 20.94488189] ; [36.94488189 55.05511811],0
n3,1,0.700472,0.147981,[7 4] ; [12  5],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
r2,1,0.739985,0.11014,[30  5] ; [80 11],[30.55555556  4.44444444] ; [79.44444444 11.55555556],0
b1,1,0.751344,0.100406,[13 22] ; [37 55],[13.77952756 21.22047244] ; [36.22047244 55.77952756],0
d3,1,0.751959,0.099892,[21 14] ; [58 34],[21.77165354 13.22834646] ; [57.22834646 34.77165354],0
d4,1,0.819022,0.052351,[24 11] ; [65 27],[24.52755906 10.47244094] ; [64.47244094 27.52755906],0
a1,1,0.820789,0.051316,[ 1 34] ; [ 2 90],[ 0.82677165 34.17322835] ; [ 2.17322835 89.82677165],0
a4,1,0.830522,0.04581,[ 7 28] ; [20 72],[ 7.44094488 27.55905512] ; [19.55905512 72.44094488],0
v2,1,0.934314,0.006793,[15 19] ; [40 49],[15.20325203 18.79674797] ; [39.79674797 49.20325203],0
b4,1,0.962157,0.002251,[20 15] ; [53 39],[20.11811024 14.88188976] ; [52.88188976 39.11811024],0
