Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.8e-05,17.521849,[ 5 18] ; [55 23],[13.66336634  9.33663366] ; [46.33663366 31.66336634],1
r4,1,0.000195,13.882492,[14  9] ; [72  6],[19.58415842  3.41584158] ; [66.41584158 11.58415842],1
r1,1,0.000312,12.9989,[11 12] ; [65 12],[17.48  5.52] ; [58.52 18.48],1
s5,1,0.000374,12.659125,[ 1 20] ; [36 40],[ 8.01030928 12.98969072] ; [28.98969072 47.01030928],1
d5,1,0.000575,11.856593,[12 11] ; [67 11],[17.99009901  5.00990099] ; [61.00990099 16.99009901],1
r2,1,0.00223,9.349909,[16  6] ; [74  4],[19.8  2.2] ; [70.2  7.8],0
p9,1,0.002562,9.095925,[10 13] ; [59 18],[15.87  7.13] ; [53.13 23.87],0
r3,1,0.003382,8.588996,[17  6] ; [73  4],[20.7  2.3] ; [69.3  7.7],0
s3,1,0.006212,7.487828,[ 8 15] ; [52 26],[13.66336634  9.33663366] ; [46.33663366 31.66336634],0
d2,1,0.010585,6.53366,[ 6 17] ; [44 34],[11.38613861 11.61386139] ; [38.61386139 39.38613861],0
d1,1,0.011744,6.34914,[ 7 16] ; [47 31],[12.2970297 10.7029703] ; [41.7029703 36.2970297],0
s8,1,0.012242,6.275526,[ 5 18] ; [40 38],[10.24752475 12.75247525] ; [34.75247525 43.24752475],0
p10,1,0.016152,5.786296,[ 8 15] ; [48 28],[13.01010101  9.98989899] ; [42.98989899 33.01010101],0
s7,1,0.024562,5.054471,[ 8 15] ; [42 26],[12.63736264 10.36263736] ; [37.36263736 30.63736264],0
n4,1,0.027114,4.883507,[10 13] ; [53 24],[14.49  8.51] ; [48.51 28.49],0
v1,1,0.028989,4.76827,[ 6 17] ; [40 37],[10.58 12.42] ; [35.42 41.58],0
b4,1,0.040948,4.178176,[ 8 15] ; [46 32],[12.2970297 10.7029703] ; [41.7029703 36.2970297],0
a5,1,0.058282,3.585605,[12 11] ; [57 21],[15.71287129  7.28712871] ; [53.28712871 24.71287129],0
u3,1,0.061629,3.493007,[5 6] ; [20  6],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
d4,1,0.069048,3.305508,[14  9] ; [62 16],[17.30693069  5.69306931] ; [58.69306931 19.30693069],0
a4,1,0.097771,2.741528,[ 7 16] ; [39 39],[10.47524752 12.52475248] ; [35.52475248 42.47524752],0
u2,1,0.113288,2.507744,[3 8] ; [15 12],[5.21052632 5.78947368] ; [12.78947368 14.21052632],0
d3,1,0.12632,2.33716,[14  9] ; [60 18],[16.85148515  6.14851485] ; [57.14851485 20.85148515],0
v2,1,0.133431,2.25212,[ 8 15] ; [40 36],[11.15151515 11.84848485] ; [36.84848485 39.15151515],0
p2,1,0.145367,2.120205,[16  7] ; [65 13],[18.44554455  4.55445545] ; [62.55445545 15.44554455],0
v3,1,0.168261,1.898365,[ 5 17] ; [29 46],[ 7.71134021 14.28865979] ; [26.28865979 48.71134021],0
n5,1,0.220381,1.501889,[12 11] ; [51 26],[14.49  8.51] ; [48.51 28.49],0
p3,1,0.240974,1.37489,[11 12] ; [48 30],[13.43564356  9.56435644] ; [45.56435644 32.43564356],0
s4,1,0.247939,1.334877,[ 3 20] ; [19 59],[ 5.00990099 17.99009901] ; [16.99009901 61.00990099],0
u1,1,0.297412,1.085762,[ 3 20] ; [18 60],[ 4.78217822 18.21782178] ; [16.21782178 61.78217822],0
p6,1,0.306243,1.046811,[ 7 16] ; [33 45],[ 9.10891089 13.89108911] ; [30.89108911 47.10891089],0
b1,1,0.402812,0.699914,[11 12] ; [45 33],[12.75247525 10.24752475] ; [43.24752475 34.75247525],0
a3,1,0.414707,0.665266,[12 10] ; [50 28],[13.64  8.36] ; [48.36 29.64],0
b5,1,0.482594,0.492995,[16  7] ; [48 30],[14.57425743  8.42574257] ; [49.42574257 28.57425743],0
p8,1,0.544189,0.367831,[ 8 14] ; [34 44],[ 9.24 12.76] ; [32.76 45.24],0
b2,1,0.583546,0.300537,[4 9] ; [10 33],[3.25 9.75] ; [10.75 32.25],0
b3,1,0.583546,0.300537,[4 9] ; [10 33],[3.25 9.75] ; [10.75 32.25],0
v4,1,0.706135,0.142169,[20  3] ; [70  8],[20.4950495  2.5049505] ; [69.5049505  8.4950495],0
p7,1,0.719429,0.12904,[12 11] ; [44 34],[12.75247525 10.24752475] ; [43.24752475 34.75247525],0
s1,1,0.728606,0.120396,[ 2 21] ; [ 5 71],[ 1.62626263 21.37373737] ; [ 5.37373737 70.62626263],0
a2,1,0.795314,0.067297,[ 5 18] ; [19 59],[ 5.46534653 17.53465347] ; [18.53465347 59.46534653],0
n3,1,0.865455,0.028708,[3 2] ; [16  9],[3.16666667 1.83333333] ; [15.83333333  9.16666667],0
n2,1,0.865455,0.028708,[3 2] ; [16  9],[3.16666667 1.83333333] ; [15.83333333  9.16666667],0
n1,1,0.869125,0.027149,[2 3] ; [11 14],[2.16666667 2.83333333] ; [10.83333333 14.16666667],0
n6,1,0.869929,0.026814,[18  5] ; [59 18],[17.71  5.29] ; [59.29 17.71],0
a7,1,0.883577,0.021444,[16  7] ; [53 25],[15.71287129  7.28712871] ; [53.28712871 24.71287129],0
a6,1,0.905937,0.013963,[13 10] ; [43 35],[12.75247525 10.24752475] ; [43.24752475 34.75247525],0
a1,1,0.913669,0.011753,[ 1 22] ; [ 3 75],[ 0.91089109 22.08910891] ; [ 3.08910891 74.91089109],0
