Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7e-06,20.268829,[ 9 67] ; [34 42],[21.5 54.5] ; [21.5 54.5],1
d5,1,0.000853,11.122138,[53 23] ; [71  7],[61.19480519 14.80519481] ; [62.80519481 15.19480519],1
r1,1,0.001632,9.9233,[49 28] ; [66 11],[57.5 19.5] ; [57.5 19.5],0
a3,1,0.00198,9.568204,[41 36] ; [60 18],[50.17419355 26.82580645] ; [50.82580645 27.17419355],0
r2,1,0.00244,9.185346,[65 11] ; [76  1],[70.03921569  5.96078431] ; [70.96078431  6.03921569],0
u1,1,0.005121,7.836159,[ 3 74] ; [14 64],[ 8.44516129 68.55483871] ; [ 8.55483871 69.44516129],0
a6,1,0.00657,7.38703,[40 37] ; [57 21],[48.18709677 28.81290323] ; [48.81290323 29.18709677],0
d1,1,0.01255,6.231422,[35 42] ; [51 27],[42.72258065 34.27741935] ; [43.27741935 34.72258065],0
a5,1,0.013854,6.056658,[45 32] ; [60 18],[52.16129032 24.83870968] ; [52.83870968 25.16129032],0
r4,1,0.032025,4.597151,[62 15] ; [72  6],[66.56774194 10.43225806] ; [67.43225806 10.56774194],0
d3,1,0.032978,4.546922,[51 25] ; [64 14],[56.75324675 19.24675325] ; [58.24675325 19.75324675],0
s3,1,0.063133,3.453099,[33 43] ; [45 32],[38.74509804 37.25490196] ; [39.25490196 37.74509804],0
d4,1,0.079109,3.083122,[60 17] ; [69  9],[64.08387097 12.91612903] ; [64.91612903 13.08387097],0
v1,1,0.080593,3.05291,[23 53] ; [33 42],[28.18543046 47.81456954] ; [27.81456954 47.18543046],0
p12,1,0.089628,2.881035,[ 2 75] ; [ 7 71],[ 4.47096774 72.52903226] ; [ 4.52903226 73.47096774],0
n6,1,0.119452,2.42449,[48 29] ; [57 20],[52.5 24.5] ; [52.5 24.5],0
a2,1,0.135304,2.230564,[ 9 68] ; [16 62],[12.41935484 64.58064516] ; [12.58064516 65.41935484],0
d2,1,0.159918,1.974997,[27 50] ; [36 42],[31.29677419 45.70322581] ; [31.70322581 46.29677419],0
a8,1,0.163012,1.946063,[ 6 68] ; [ 2 69],[ 4.08275862 69.91724138] ; [ 3.91724138 67.08275862],0
p8,1,0.196342,1.669377,[40 37] ; [32 45],[36. 41.] ; [36. 41.],0
n1,1,0.224087,1.478006,[ 8 16] ; [ 3 15],[ 6.28571429 17.71428571] ; [ 4.71428571 13.28571429],0
s8,1,0.354652,0.856742,[27 50] ; [33 45],[29.80645161 47.19354839] ; [30.19354839 47.80645161],0
n4,1,0.358527,0.843046,[28 49] ; [34 44],[30.8 46.2] ; [31.2 46.8],0
a7,1,0.380453,0.769238,[58 18] ; [64 14],[60.20779221 15.79220779] ; [61.79220779 16.20779221],0
s7,1,0.387197,0.747727,[27 48] ; [33 44],[29.60526316 45.39473684] ; [30.39473684 46.60526316],0
s2,1,0.413309,0.669261,[33 43] ; [39 39],[35.53246753 40.46753247] ; [36.46753247 41.53246753],0
a4,1,0.440325,0.595435,[26 51] ; [31 47],[28.31612903 48.68387097] ; [28.68387097 49.31612903],0
p3,1,0.452529,0.56431,[29 48] ; [34 44],[31.29677419 45.70322581] ; [31.70322581 46.29677419],0
v4,1,0.456056,0.555557,[71  5] ; [74  3],[72.02614379  3.97385621] ; [72.97385621  4.02614379],0
s6,1,0.465555,0.532507,[45 31] ; [50 27],[47.18954248 28.81045752] ; [47.81045752 29.18954248],0
n3,1,0.475407,0.509381,[18  6] ; [11  6],[16.97560976  7.02439024] ; [12.02439024  4.97560976],0
b2,1,0.536372,0.382306,[12 31] ; [14 27],[13.30952381 29.69047619] ; [12.69047619 28.30952381],0
b3,1,0.536372,0.382306,[12 31] ; [14 27],[13.30952381 29.69047619] ; [12.69047619 28.30952381],0
p2,1,0.562349,0.335653,[64 13] ; [62 16],[62.59354839 14.40645161] ; [63.40645161 14.59354839],0
b4,1,0.574797,0.314722,[47 30] ; [51 27],[48.68387097 28.31612903] ; [49.31612903 28.68387097],0
n2,1,0.58208,0.302885,[14 10] ; [12  6],[14.85714286  9.14285714] ; [11.14285714  6.85714286],0
p6,1,0.584848,0.298463,[21 54] ; [25 53],[22.54901961 52.45098039] ; [23.45098039 54.54901961],0
s4,1,0.602862,0.270701,[17 60] ; [20 58],[18.38064516 58.61935484] ; [18.61935484 59.38064516],0
