Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,48.0196,[172   6] ; [22 15],[160.61395349  17.38604651] ; [33.38604651  3.61395349],1
r1,1,0.0,46.214073,[143  37] ; [ 9 29],[125.50458716  54.49541284] ; [26.49541284 11.50458716],1
r3,1,0.0,39.760923,[176   4] ; [26 12],[166.78899083  13.21100917] ; [35.21100917  2.78899083],1
v4,1,0.0,34.163902,[174   6] ; [25 12],[165.06912442  14.93087558] ; [33.93087558  3.06912442],1
s6,1,0.000319,12.954244,[126  48] ; [16 22],[116.54716981  57.45283019] ; [25.45283019 12.54716981],1
s5,1,0.000355,12.753667,[75 94] ; [ 5 33],[ 65.31400966 103.68599034] ; [14.68599034 23.31400966],1
d5,1,0.000358,12.73937,[140  39] ; [19 19],[131.15668203  47.84331797] ; [27.84331797 10.15668203],1
b1,1,0.002653,9.032237,[ 75 105] ; [26 12],[83.39449541 96.60550459] ; [17.60550459 20.39449541],0
n6,1,0.003252,8.660288,[156  23] ; [25 12],[149.99537037  29.00462963] ; [31.00462963  5.99537037],0
p8,1,0.004554,8.048675,[98 79] ; [11 26],[90.15420561 86.84579439] ; [18.84579439 18.15420561],0
d4,1,0.006102,7.520037,[145  34] ; [23 15],[138.58064516  40.41935484] ; [29.41935484  8.58064516],0
p10,1,0.007323,7.191888,[161  19] ; [27 10],[155.94470046  24.05529954] ; [32.05529954  4.94470046],0
d1,1,0.007569,7.132663,[95 85] ; [11 27],[87.52293578 92.47706422] ; [18.47706422 19.52293578],0
s3,1,0.028783,4.780571,[107  71] ; [15 22],[101.00465116  76.99534884] ; [20.99534884 16.00465116],0
p7,1,0.040736,4.186984,[117  59] ; [18 19],[111.54929577  64.45070423] ; [23.45070423 13.54929577],0
n4,1,0.056391,3.640459,[147  32] ; [26 12],[142.70506912  36.29493088] ; [30.29493088  7.70506912],0
p3,1,0.067889,3.333333,[95 85] ; [13 23],[90. 90.] ; [18. 18.],0
v2,1,0.071805,3.241275,[91 82] ; [13 23],[86.0861244 86.9138756] ; [17.9138756 18.0861244],0
b5,1,0.07422,3.187135,[85 95] ; [24 14],[90. 90.] ; [19. 19.],0
v3,1,0.079712,3.070755,[ 72 101] ; [10 28],[ 67.23222749 105.76777251] ; [14.76777251 23.23222749],0
b2,1,0.081956,3.025676,[58 57] ; [ 9 19],[53.88111888 61.11888112] ; [13.11888112 14.88111888],0
b3,1,0.081956,3.025676,[58 57] ; [ 9 19],[53.88111888 61.11888112] ; [13.11888112 14.88111888],0
s8,1,0.084872,2.969036,[94 86] ; [14 24],[89.17431193 90.82568807] ; [18.82568807 19.17431193],0
p11,1,0.091315,2.851031,[153  27] ; [28 10],[149.44954128  30.55045872] ; [31.55045872  6.44954128],0
a1,1,0.092506,2.830217,[ 10 170] ; [ 5 33],[ 12.3853211 167.6146789] ; [ 2.6146789 35.3853211],0
a5,1,0.094533,2.795442,[129  51] ; [22 16],[124.67889908  55.32110092] ; [26.32110092 11.67889908],0
s7,1,0.096386,2.764354,[100  76] ; [15 21],[95.47169811 80.52830189] ; [19.52830189 16.47169811],0
a3,1,0.154487,2.02738,[137  43] ; [24 13],[133.5483871  46.4516129] ; [27.4516129  9.5483871],0
s4,1,0.170377,1.879622,[ 36 144] ; [ 4 34],[ 33.02752294 146.97247706] ; [ 6.97247706 31.02752294],0
d3,1,0.179339,1.803093,[83 97] ; [13 25],[ 79.26605505 100.73394495] ; [16.73394495 21.26605505],0
a8,1,0.186437,1.745552,[ 23 148] ; [ 2 34],[ 20.65217391 150.34782609] ; [ 4.34782609 31.65217391],0
s2,1,0.226055,1.465516,[90 89] ; [15 23],[86.61290323 92.38709677] ; [18.38709677 19.61290323],0
p12,1,0.262045,1.257921,[ 14 164] ; [ 1 36],[ 12.41860465 165.58139535] ; [ 2.58139535 34.41860465],0
u3,1,0.300977,1.069861,[19 24] ; [ 4 10],[17.35087719 25.64912281] ; [5.64912281 8.35087719],0
s1,1,0.304421,1.054727,[  4 174] ; [ 2 36],[  4.94444444 173.05555556] ; [ 1.05555556 36.94444444],0
u2,1,0.314659,1.011019,[22 21] ; [5 9],[20.36842105 22.63157895] ; [6.63157895 7.36842105],0
