Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.6e-05,17.079989,[ 8 21] ; [52 20],[17.22772277 11.77227723] ; [42.77227723 29.22772277],1
d3,1,0.003633,8.458485,[14 15] ; [56 16],[20.0990099  8.9009901] ; [49.9009901 22.0990099],0
r4,1,0.003713,8.419085,[18 11] ; [63  9],[23.25742574  5.74257426] ; [57.74257426 14.25742574],0
a2,1,0.013282,6.131201,[ 3 26] ; [25 47],[ 8.03960396 20.96039604] ; [19.96039604 52.03960396],0
u1,1,0.016596,5.73858,[ 1 28] ; [17 55],[ 5.16831683 23.83168317] ; [12.83168317 59.16831683],0
r2,1,0.034109,4.489228,[25  4] ; [70  2],[27.27722772  1.72277228] ; [67.72277228  4.27722772],0
d5,1,0.049702,3.851474,[19 10] ; [60 12],[22.68316832  6.31683168] ; [56.31683168 15.68316832],0
v4,1,0.082507,3.014804,[23  6] ; [66  6],[25.55445545  3.44554455] ; [63.44554455  8.55445545],0
p3,1,0.083498,2.995472,[ 9 19] ; [36 34],[12.85714286 15.14285714] ; [32.14285714 37.85714286],0
a1,1,0.084822,2.970004,[ 4 25] ; [ 3 69],[ 2.00990099 26.99009901] ; [ 4.99009901 67.00990099],0
p6,1,0.092456,2.83109,[ 6 23] ; [26 42],[ 9.56701031 19.43298969] ; [22.43298969 45.56701031],0
a5,1,0.098361,2.73192,[16 13] ; [52 20],[19.52475248  9.47524752] ; [48.47524752 23.52475248],0
s2,1,0.122431,2.385939,[20  9] ; [37 34],[16.53 12.47] ; [40.47 30.53],0
p1,1,0.122953,2.3793,[ 1 28] ; [10 61],[ 3.19 25.81] ; [ 7.81 63.19],0
r3,1,0.143928,2.135457,[23  6] ; [64  7],[25.23  3.77] ; [61.77  9.23],0
a8,1,0.205931,1.599803,[ 2 27] ; [10 50],[ 3.91011236 25.08988764] ; [ 8.08988764 51.91011236],0
r1,1,0.236742,1.39989,[20  9] ; [56 14],[22.26262626  6.73737374] ; [53.73737374 16.26262626],0
