Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,276.23945,[285  69] ; [ 41 244],[180.60093897 173.39906103] ; [145.39906103 139.60093897],1
s6,1,0.0,116.925188,[299  51] ; [127 156],[235.5450237 114.4549763] ; [190.4549763  92.5450237],1
s7,1,0.0,68.617273,[210 131] ; [ 75 194],[159.31967213 181.68032787] ; [125.68032787 143.31967213],1
s8,1,0.0,56.768772,[194 158] ; [ 73 213],[147.31034483 204.68965517] ; [119.68965517 166.31034483],1
s5,1,0.0,26.974402,[134 201] ; [ 58 224],[104.24635332 230.75364668] ; [ 87.75364668 194.24635332],1
s4,1,0.000206,13.774554,[ 73 278] ; [ 28 254],[ 56.00473934 294.99526066] ; [ 44.99526066 237.00473934],1
s1,1,0.001438,10.156946,[ 18 332] ; [  2 283],[ 11.02362205 338.97637795] ; [  8.97637795 276.02362205],0
r2,1,0.001891,9.652382,[343   7] ; [266  20],[335.14150943  14.85849057] ; [273.85849057  12.14150943],0
p12,1,0.002068,9.48836,[ 40 313] ; [ 13 272],[ 29.32445141 323.67554859] ; [ 23.67554859 261.32445141],0
n5,1,0.009214,6.780866,[269  85] ; [190  95],[254.28169014  99.71830986] ; [204.71830986  80.28169014],0
d1,1,0.016829,5.714122,[233 121] ; [163 125],[218.35514019 135.64485981] ; [177.64485981 110.35514019],0
u4,1,0.020038,5.408602,[ 12 342] ; [  2 286],[  7.71962617 346.28037383] ; [  6.28037383 281.71962617],0
p9,1,0.023423,5.136872,[307  44] ; [229  54],[296.7444795  54.2555205] ; [239.2555205  43.7444795],0
d2,1,0.04169,4.147743,[180 172] ; [124 164],[167.2 184.8] ; [136.8 151.2],0
p10,1,0.060211,3.53155,[296  54] ; [223  60],[286.96682464  63.03317536] ; [232.03317536  50.96682464],0
r1,1,0.071438,3.249656,[298  53] ; [228  59],[289.38244514  61.61755486] ; [236.61755486  50.38244514],0
u3,1,0.078412,3.097511,[65 32] ; [49 41],[59.13368984 37.86631016] ; [54.86631016 35.13368984],0
p7,1,0.097912,2.739227,[225 117] ; [168 115],[215.0496 126.9504] ; [177.9504 105.0496],0
p4,1,0.099208,2.718235,[222 130] ; [162 124],[211.86206897 140.13793103] ; [172.13793103 113.86206897],0
u1,1,0.107445,2.591397,[ 85 269] ; [ 54 234],[ 76.64485981 277.35514019] ; [ 62.35514019 225.64485981],0
p2,1,0.14363,2.138627,[304  49] ; [235  52],[297.2921875  55.7078125] ; [241.7078125  45.2921875],0
d3,1,0.170968,1.874436,[282  70] ; [217  70],[274.87949922  77.12050078] ; [224.12050078  62.87949922],0
b1,1,0.173966,1.848433,[130 224] ; [ 91 197],[121.85981308 232.14018692] ; [ 99.14018692 188.85981308],0
a2,1,0.178288,1.811837,[108 246] ; [ 74 214],[100.35514019 253.64485981] ; [ 81.64485981 206.35514019],0
v4,1,0.181668,1.783928,[342  11] ; [273  15],[338.68174727  14.31825273] ; [276.31825273  11.68174727],0
p3,1,0.189051,1.724999,[181 170] ; [133 154],[172.7492163 178.2507837] ; [141.2507837 145.7492163],0
n6,1,0.194435,1.683688,[302  49] ; [237  51],[296.07042254  54.92957746] ; [242.92957746  45.07042254],0
p6,1,0.214566,1.540346,[135 216] ; [ 95 187],[127.53554502 223.46445498] ; [102.46445498 179.53554502],0
r4,1,0.238885,1.387163,[334  20] ; [265  23],[330.28971963  23.71028037] ; [268.71028037  19.28971963],0
n1,1,0.239299,1.384718,[25 43] ; [18 48],[21.82089552 46.17910448] ; [21.17910448 44.82089552],0
n4,1,0.262099,1.257635,[271  82] ; [210  78],[264.88767551  88.11232449] ; [216.11232449  71.88767551],0
v3,1,0.304271,1.055379,[136 200] ; [102 178],[129.81818182 206.18181818] ; [108.18181818 171.81818182],0
b5,1,0.305112,1.051715,[226 128] ; [195  93],[232.14018692 121.85981308] ; [188.85981308  99.14018692],0
a3,1,0.32044,0.987152,[255  98] ; [197  90],[249.30625 103.69375] ; [202.69375  84.30625],0
d4,1,0.328178,0.956076,[302  50] ; [239  49],[297.55  54.45] ; [243.45  44.55],0
p1,1,0.346658,0.885653,[ 33 318] ; [ 21 266],[ 29.70846395 321.29153605] ; [ 24.29153605 262.70846395],0
p5,1,0.355948,0.852139,[ 41 309] ; [ 27 259],[ 37.42138365 312.57861635] ; [ 30.57861635 255.42138365],0
u2,1,0.377475,0.778909,[59 38] ; [49 41],[56.02139037 40.97860963] ; [51.97860963 38.02139037],0
n2,1,0.383594,0.759152,[52 17] ; [46 21],[49.72058824 19.27941176] ; [48.27941176 18.72058824],0
b4,1,0.470735,0.520251,[214 140] ; [166 122],[209.53271028 144.46728972] ; [170.46728972 117.53271028],0
a8,1,0.479513,0.499971,[ 52 274] ; [ 35 218],[ 48.98445596 277.01554404] ; [ 38.01554404 214.98445596],0
v2,1,0.506148,0.442023,[201 134] ; [160 119],[196.96254072 138.03745928] ; [164.03745928 114.96254072],0
a6,1,0.510368,0.433312,[269  82] ; [227  61],[272.45070423  78.54929577] ; [223.54929577  64.45070423],0
n3,1,0.62051,0.245151,[53 16] ; [49 18],[51.75 17.25] ; [50.25 16.75],0
d5,1,0.716342,0.132025,[292  60] ; [242  46],[293.7  58.3] ; [240.3  47.7],0
p11,1,0.737631,0.112219,[278  76] ; [223  65],[276.25233645  77.74766355] ; [224.74766355  63.25233645],0
a5,1,0.76779,0.087183,[263  91] ; [211  77],[261.36448598  92.63551402] ; [212.63551402  75.36448598],0
v1,1,0.7817,0.076787,[181 158] ; [149 136],[179.27884615 159.72115385] ; [150.72115385 134.27884615],0
b3,1,0.788388,0.072041,[ 72 131] ; [ 57 110],[ 70.77567568 132.22432432] ; [ 58.22432432 108.77567568],0
b2,1,0.788388,0.072041,[ 72 131] ; [ 57 110],[ 70.77567568 132.22432432] ; [ 58.22432432 108.77567568],0
a1,1,0.789379,0.071352,[ 15 339] ; [ 11 277],[ 14.3364486 339.6635514] ; [ 11.6635514 276.3364486],0
a4,1,0.813597,0.055596,[155 199] ; [123 164],[153.52886115 200.47113885] ; [124.47113885 162.52886115],0
p8,1,0.92098,0.009841,[184 168] ; [148 133],[184.6192733 167.3807267] ; [147.3807267 133.6192733],0
