Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7e-06,20.101966,[74 50] ; [132  26],[90.58156028 33.41843972] ; [115.41843972  42.58156028],1
s7,1,0.000229,13.579749,[54 69] ; [98 50],[68.98892989 54.01107011] ; [83.01107011 64.98892989],1
p12,1,0.002585,9.079195,[  7 119] ; [ 27 129],[ 15.19148936 110.80851064] ; [ 18.80851064 137.19148936],0
s8,1,0.008799,6.863139,[58 69] ; [95 60],[68.90425532 58.09574468] ; [84.09574468 70.90425532],0
n4,1,0.012979,6.172011,[98 28] ; [141  18],[105.66315789  20.33684211] ; [133.33684211  25.66315789],0
s3,1,0.013856,6.056355,[64 63] ; [100  54],[74.12099644 52.87900356] ; [89.87900356 64.12099644],0
s4,1,0.020531,5.366137,[27 97] ; [ 18 138],[ 19.92857143 104.07142857] ; [ 25.07142857 130.92857143],0
p4,1,0.020837,5.34041,[83 43] ; [122  34],[91.59574468 34.40425532] ; [113.40425532  42.59574468],0
p5,1,0.024216,5.07906,[ 14 113] ; [ 33 124],[ 21.01760563 105.98239437] ; [ 25.98239437 131.01760563],0
a1,1,0.033525,4.518743,[  3 124] ; [ 13 146],[  7.1048951 119.8951049] ; [  8.8951049 150.1048951],0
p2,1,0.053241,3.736352,[107  20] ; [143  13],[112.19081272  14.80918728] ; [137.80918728  18.19081272],0
p8,1,0.058939,3.566994,[73 53] ; [106  48],[80.55 45.45] ; [98.45 55.55],0
n6,1,0.075778,3.153196,[107  19] ; [143  13],[111.70212766  14.29787234] ; [138.29787234  17.70212766],0
p10,1,0.081261,3.039491,[105  21] ; [140  15],[109.85765125  16.14234875] ; [135.14234875  19.85765125],0
n1,1,0.087493,2.9199,[15 12] ; [ 8 17],[11.94230769 15.05769231] ; [11.05769231 13.94230769],0
s2,1,0.091537,2.84714,[68 59] ; [99 57],[74.9434629 52.0565371] ; [92.0565371 63.9434629],0
p11,1,0.096047,2.769986,[99 28] ; [136  23],[104.35314685  22.64685315] ; [130.64685315  28.35314685],0
n5,1,0.099572,2.712391,[101  25] ; [138  20],[106.03521127  19.96478873] ; [132.96478873  25.03521127],0
p1,1,0.100867,2.691787,[  8 119] ; [ 19 139],[ 12.03157895 114.96842105] ; [ 14.96842105 143.03157895],0
u4,1,0.113835,2.500155,[  2 125] ; [  8 151],[  4.44055944 122.55944056] ; [  5.55944056 153.44055944],0
p3,1,0.136902,2.212441,[72 54] ; [102  53],[78.02135231 47.97864769] ; [95.97864769 59.02135231],0
b2,1,0.175527,1.835097,[40 41] ; [41 63],[35.46486486 45.53513514] ; [45.53513514 58.46486486],0
b3,1,0.175527,1.835097,[40 41] ; [41 63],[35.46486486 45.53513514] ; [45.53513514 58.46486486],0
u2,1,0.184533,1.760731,[12 11] ; [21  9],[14.32075472  8.67924528] ; [18.67924528 11.32075472],0
r4,1,0.222303,1.48944,[115  12] ; [150   9],[117.67482517   9.32517483] ; [147.32517483  11.67482517],0
p9,1,0.228309,1.451366,[109  16] ; [142  13],[112.05357143  12.94642857] ; [138.94642857  16.05357143],0
b5,1,0.253408,1.304419,[85 42] ; [96 63],[80.37412587 46.62587413] ; [100.62587413  58.37412587],0
n2,1,0.261979,1.258272,[22  5] ; [17  8],[20.25  6.75] ; [18.75  6.25],0
p7,1,0.283402,1.150703,[84 39] ; [112  39],[87.98540146 35.01459854] ; [108.01459854  42.98540146],0
n3,1,0.375144,0.786555,[19  7] ; [16 10],[17.5  8.5] ; [17.5  8.5],0
