Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,31.532192,[29 77] ; [95 56],[51.14396887 54.85603113] ; [72.85603113 78.14396887],1
v2,1,6.3e-05,16.005524,[46 58] ; [104  46],[61.41732283 42.58267717] ; [88.58267717 61.41732283],1
s5,1,0.000138,14.532698,[35 67] ; [86 60],[49.76612903 52.23387097] ; [71.23387097 74.76612903],1
a3,1,0.000608,11.751403,[68 39] ; [126  27],[79.83846154 27.16153846] ; [114.16153846  38.83846154],1
n5,1,0.000809,11.221414,[78 29] ; [137  17],[88.14176245 18.85823755] ; [126.85823755  27.14176245],1
s8,1,0.004566,8.043909,[60 47] ; [111  41],[70.64478764 36.35521236] ; [100.35521236  51.64478764],0
b3,1,0.005814,7.607164,[16 47] ; [47 53],[24.34969325 38.65030675] ; [38.65030675 61.34969325],0
b2,1,0.005814,7.607164,[16 47] ; [47 53],[24.34969325 38.65030675] ; [38.65030675 61.34969325],0
n1,1,0.006481,7.411391,[ 4 13] ; [16  8],[8.29268293 8.70731707] ; [11.70731707 12.29268293],0
p9,1,0.007495,7.150279,[87 19] ; [143  11],[93.76923077 12.23076923] ; [136.23076923  17.76923077],0
d1,1,0.008545,6.915634,[58 49] ; [108  46],[68.05363985 38.94636015] ; [97.94636015 56.05363985],0
d3,1,0.013003,6.168645,[69 38] ; [120  33],[77.78076923 29.21923077] ; [111.21923077  41.78076923],0
p10,1,0.013599,6.089426,[85 21] ; [139  14],[91.67567568 14.32432432] ; [132.32432432  20.67567568],0
a5,1,0.015068,5.908532,[72 35] ; [124  30],[80.35249042 26.64750958] ; [115.64750958  38.35249042],0
n6,1,0.016001,5.802816,[89 18] ; [141  11],[95.01930502 11.98069498] ; [134.98069498  17.01930502],0
d4,1,0.026095,4.949709,[87 20] ; [138  14],[92.95366795 14.04633205] ; [132.04633205  19.95366795],0
n4,1,0.027463,4.861473,[81 26] ; [133  21],[87.73180077 19.26819923] ; [126.26819923  27.73180077],0
u4,1,0.042127,4.130088,[  1 106] ; [  9 145],[  4.09961686 102.90038314] ; [  5.90038314 148.09961686],0
v4,1,0.046479,3.964132,[100   6] ; [151   2],[102.72586873   3.27413127] ; [148.27413127   4.72586873],0
p5,1,0.050446,3.826574,[15 91] ; [ 37 117],[21.2 84.8] ; [ 30.8 123.2],0
s7,1,0.05515,3.677548,[66 38] ; [112  38],[72.88188976 31.11811024] ; [105.11811024  44.88188976],0
p12,1,0.087459,2.920542,[10 96] ; [ 26 128],[14.67692308 91.32307692] ; [ 21.32307692 132.67692308],0
a1,1,0.093268,2.817049,[  4 103] ; [ 14 140],[ 7.37931034 99.62068966] ; [ 10.62068966 143.37931034],0
p11,1,0.107917,2.58446,[86 21] ; [135  19],[90.60153257 16.39846743] ; [130.39846743  23.60153257],0
s4,1,0.110651,2.544897,[29 77] ; [ 29 124],[23.73745174 82.26254826] ; [ 34.26254826 118.73745174],0
r2,1,0.112328,2.521165,[100   6] ; [149   3],[102.30232558   3.69767442] ; [146.69767442   5.30232558],0
a2,1,0.118539,2.43652,[19 88] ; [ 40 114],[24.18773946 82.81226054] ; [ 34.81226054 119.18773946],0
p4,1,0.13568,2.226286,[76 31] ; [121  32],[81.07307692 25.92692308] ; [115.92692308  37.07307692],0
u3,1,0.146858,2.104592,[19 19] ; [19  9],[21.87878788 16.12121212] ; [16.12121212 11.87878788],0
d5,1,0.154707,2.025212,[81 26] ; [126  26],[85.51737452 21.48262548] ; [121.48262548  30.51737452],0
s2,1,0.169469,1.887636,[80 27] ; [126  28],[84.45210728 22.54789272] ; [121.54789272  32.45210728],0
n2,1,0.175016,1.839449,[13  4] ; [22  2],[14.51219512  2.48780488] ; [20.48780488  3.51219512],0
p6,1,0.184951,1.757382,[52 55] ; [86 65],[57.23255814 49.76744186] ; [80.76744186 70.23255814],0
r4,1,0.200385,1.639566,[98  9] ; [147   7],[100.44061303   6.55938697] ; [144.55938697   9.44061303],0
s1,1,0.21277,1.552479,[  6 101] ; [  4 150],[  4.09961686 102.90038314] ; [  5.90038314 148.09961686],0
u1,1,0.284423,1.145836,[16 91] ; [ 31 123],[19.26819923 87.73180077] ; [ 27.73180077 126.26819923],0
b5,1,0.293899,1.101673,[52 55] ; [85 69],[56.16475096 50.83524904] ; [80.83524904 73.16475096],0
