Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,117.067406,[116  49] ; [ 21 150],[67.27678571 97.72321429] ; [ 69.72321429 101.27678571],1
d5,1,0.0,86.432919,[162   3] ; [94 77],[125.71428571  39.28571429] ; [130.28571429  40.71428571],1
d4,1,0.0,77.712164,[162   2] ; [102  70],[128.85714286  35.14285714] ; [135.14285714  36.85714286],1
d3,1,0.0,73.552655,[139  26] ; [ 66 105],[100.66964286  64.33035714] ; [104.33035714  66.66964286],1
a2,1,0.0,54.438018,[ 58 108] ; [  6 166],[ 31.43195266 134.56804734] ; [ 32.56804734 139.43195266],1
a4,1,0.0,50.736852,[98 68] ; [ 36 135],[66.00593472 99.99406528] ; [ 67.99406528 103.00593472],1
a5,1,0.0,28.279141,[134  32] ; [92 80],[110.99408284  55.00591716] ; [115.00591716  56.99408284],1
u1,1,1e-06,24.764003,[ 37 129] ; [  7 165],[ 21.60946746 144.39053254] ; [ 22.39053254 149.60946746],1
a3,1,5e-06,20.717958,[131  34] ; [96 75],[111.47321429  53.52678571] ; [115.52678571  55.47321429],1
a6,1,1.5e-05,18.677255,[128  36] ; [96 76],[109.33333333  54.66666667] ; [114.66666667  57.33333333],1
a7,1,0.022195,5.230416,[124  42] ; [108  63],[114.27893175  51.72106825] ; [117.72106825  53.27893175],0
r1,1,0.022205,5.229653,[144  21] ; [133  38],[136.02678571  28.97321429] ; [140.97321429  30.02678571],0
s8,1,0.027662,4.84899,[71 95] ; [ 53 117],[ 61.26190476 104.73809524] ; [ 62.73809524 107.26190476],0
b5,1,0.043371,4.080873,[115  51] ; [101  71],[106.08284024  59.91715976] ; [109.91715976  62.08284024],0
s4,1,0.046028,3.980563,[ 20 143] ; [ 35 137],[ 26.76119403 136.23880597] ; [ 28.23880597 143.76119403],0
n2,1,0.063558,3.442029,[35 14] ; [40  6],[38.68421053 10.31578947] ; [36.31578947  9.68421053],0
b3,1,0.07748,3.116991,[40 57] ; [26 64],[34.23529412 62.76470588] ; [31.76470588 58.23529412],0
b2,1,0.07748,3.116991,[40 57] ; [26 64],[34.23529412 62.76470588] ; [31.76470588 58.23529412],0
v2,1,0.080445,3.055893,[89 68] ; [75 85],[81.22397476 75.77602524] ; [82.77602524 77.22397476],0
p10,1,0.093602,2.811309,[126  38] ; [116  53],[119.18318318  44.81681682] ; [122.81681682  46.18318318],0
n6,1,0.113025,2.511404,[138  27] ; [132  40],[132.1958457  32.8041543] ; [137.8041543  34.1958457],0
a1,1,0.219726,1.506161,[  3 163] ; [  7 165],[  4.9112426 161.0887574] ; [  5.0887574 166.9112426],0
s1,1,0.219983,1.50448,[  3 160] ; [  7 162],[  4.90963855 158.09036145] ; [  5.09036145 163.90963855],0
n1,1,0.238182,1.391322,[22 25] ; [16 30],[19.20430108 27.79569892] ; [18.79569892 27.20430108],0
u2,1,0.240721,1.376365,[21 14] ; [36 39],[18.13636364 16.86363636] ; [38.86363636 36.13636364],0
s7,1,0.24696,1.340422,[67 94] ; [ 58 106],[61.92307692 99.07692308] ; [ 63.07692308 100.92307692],0
p9,1,0.269,1.221839,[132  30] ; [127  39],[127.92073171  34.07926829] ; [131.07926829  34.92073171],0
r2,1,0.275468,1.189312,[163   2] ; [167   5],[161.5727003   3.4272997] ; [168.4272997   3.5727003],0
n4,1,0.304253,1.055461,[117  48] ; [113  59],[112.61127596  52.38872404] ; [117.38872404  54.61127596],0
b1,1,0.31881,0.993823,[ 56 110] ; [ 67 105],[ 60.40828402 105.59171598] ; [ 62.59171598 109.40828402],0
v3,1,0.323722,0.973849,[58 99] ; [ 53 114],[ 53.78703704 103.21296296] ; [ 57.21296296 109.78703704],0
p5,1,0.389992,0.738967,[  4 161] ; [  7 164],[  5.40178571 159.59821429] ; [  5.59821429 165.40178571],0
