Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,9.7e-05,15.198731,[ 5 17] ; [29 10],[12.26229508  9.73770492] ; [21.73770492 17.26229508],1
d1,1,0.000417,12.45395,[ 1 21] ; [19 20],[ 7.21311475 14.78688525] ; [12.78688525 26.21311475],1
d3,1,0.002069,9.487154,[ 4 18] ; [23 16],[ 9.73770492 12.26229508] ; [17.26229508 21.73770492],0
r3,1,0.007441,7.163244,[ 7 14] ; [27 12],[11.9  9.1] ; [22.1 16.9],0
a1,1,0.011108,6.447937,[ 5 17] ; [ 1 38],[ 2.16393443 19.83606557] ; [ 3.83606557 35.16393443],0
n5,1,0.028912,4.77285,[18  4] ; [21 18],[14.06557377  7.93442623] ; [24.93442623 14.06557377],0
a3,1,0.033154,4.537815,[ 8 13] ; [26 13],[11.9  9.1] ; [22.1 16.9],0
v2,1,0.033689,4.510432,[ 3 18] ; [16 23],[ 6.65 14.35] ; [12.35 26.65],0
r4,1,0.034742,4.457795,[ 2 20] ; [13 26],[ 5.40983607 16.59016393] ; [ 9.59016393 29.40983607],0
d2,1,0.037707,4.318182,[ 5 17] ; [19 19],[ 8.8 13.2] ; [15.2 22.8],0
b4,1,0.067949,3.331884,[10 12] ; [27 12],[13.3442623  8.6557377] ; [23.6557377 15.3442623],0
u2,1,0.06999,3.283256,[ 2 12] ; [6 7],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
s4,1,0.094834,2.790333,[ 5 17] ; [ 3 36],[ 2.8852459 19.1147541] ; [ 5.1147541 33.8852459],0
p1,1,0.100191,2.702493,[ 4 18] ; [ 2 37],[ 2.16393443 19.83606557] ; [ 3.83606557 35.16393443],0
a5,1,0.12052,2.410555,[ 9 13] ; [24 15],[11.90163934 10.09836066] ; [21.09836066 17.90163934],0
p11,1,0.141654,2.159896,[ 7 15] ; [20 19],[ 9.73770492 12.26229508] ; [17.26229508 21.73770492],0
v3,1,0.193832,1.68825,[ 3 19] ; [11 28],[ 5.04918033 16.95081967] ; [ 8.95081967 30.04918033],0
r1,1,0.206704,1.594363,[ 6 16] ; [17 22],[ 8.29508197 13.70491803] ; [14.70491803 24.29508197],0
s3,1,0.229677,1.44286,[ 5 17] ; [14 23],[ 7.08474576 14.91525424] ; [11.91525424 25.08474576],0
n1,1,0.233703,1.418182,[7 6] ; [4 9],[5.5 7.5] ; [5.5 7.5],0
n2,1,0.239317,1.384615,[5 8] ; [8 5],[6.5 6.5] ; [6.5 6.5],0
a6,1,0.26153,1.260638,[ 8 14] ; [20 19],[10.09836066 11.90163934] ; [17.90163934 21.09836066],0
n6,1,0.328744,0.953841,[ 9 13] ; [20 17],[10.81355932 11.18644068] ; [18.18644068 18.81355932],0
s7,1,0.362788,0.828218,[ 3 19] ; [ 8 26],[ 4.32142857 17.67857143] ; [ 6.67857143 27.32142857],0
s1,1,0.378569,0.775344,[ 4 18] ; [ 4 35],[ 2.8852459 19.1147541] ; [ 5.1147541 33.8852459],0
p3,1,0.382684,0.762062,[ 4 18] ; [11 28],[ 5.40983607 16.59016393] ; [ 9.59016393 29.40983607],0
s6,1,0.383125,0.760649,[ 5 17] ; [13 26],[ 6.49180328 15.50819672] ; [11.50819672 27.49180328],0
b5,1,0.410642,0.67694,[10 12] ; [22 17],[11.54098361 10.45901639] ; [20.45901639 18.54098361],0
a8,1,0.416881,0.659091,[ 2 20] ; [ 6 30],[ 3.03448276 18.96551724] ; [ 4.96551724 31.03448276],0
n3,1,0.431401,0.619048,[6 7] ; [8 5],[7. 6.] ; [7. 6.],0
a4,1,0.44861,0.574163,[ 6 16] ; [14 24],[ 7.33333333 14.66666667] ; [12.66666667 25.33333333],0
r2,1,0.455083,0.557961,[10 12] ; [20 16],[11.37931034 10.62068966] ; [18.62068966 17.37931034],0
s2,1,0.472845,0.51532,[ 4 18] ; [10 28],[ 5.13333333 16.86666667] ; [ 8.86666667 29.13333333],0
a2,1,0.484396,0.48895,[ 2 20] ; [ 6 33],[ 2.8852459 19.1147541] ; [ 5.1147541 33.8852459],0
p10,1,0.508314,0.437537,[ 7 14] ; [16 22],[ 8.18644068 12.81355932] ; [14.81355932 23.18644068],0
p4,1,0.623553,0.240905,[ 6 16] ; [13 26],[ 6.85245902 15.14754098] ; [12.14754098 26.85245902],0
u1,1,0.633519,0.227319,[ 1 21] ; [ 3 36],[ 1.44262295 20.55737705] ; [ 2.55737705 36.44262295],0
b1,1,0.661988,0.191117,[12 10] ; [19 20],[11.18032787 10.81967213] ; [19.81967213 19.18032787],0
s8,1,0.662216,0.190843,[ 3 19] ; [ 7 32],[ 3.60655738 18.39344262] ; [ 6.39344262 32.60655738],0
p9,1,0.670862,0.180595,[ 9 12] ; [18 19],[ 9.77586207 11.22413793] ; [17.22413793 19.77586207],0
b2,1,0.675319,0.175443,[5 9] ; [ 7 17],[4.42105263 9.57894737] ; [ 7.57894737 16.42105263],0
b3,1,0.675319,0.175443,[5 9] ; [ 7 17],[4.42105263 9.57894737] ; [ 7.57894737 16.42105263],0
p12,1,0.676472,0.174124,[ 1 21] ; [ 1 38],[ 0.72131148 21.27868852] ; [ 1.27868852 37.72131148],0
a7,1,0.806396,0.060063,[10 12] ; [19 20],[10.45901639 11.54098361] ; [18.54098361 20.45901639],0
p2,1,0.811283,0.057011,[ 8 14] ; [15 23],[ 8.43333333 13.56666667] ; [14.56666667 23.43333333],0
p6,1,0.903569,0.014678,[ 3 18] ; [ 5 33],[ 2.84745763 18.15254237] ; [ 5.15254237 32.84745763],0
n4,1,0.903653,0.014653,[15  7] ; [26 13],[14.78688525  7.21311475] ; [26.21311475 12.78688525],0
p7,1,0.903653,0.014653,[ 7 15] ; [13 26],[ 7.21311475 14.78688525] ; [12.78688525 26.21311475],0
u3,1,0.935989,0.00645,[ 2 12] ; [ 2 11],[ 2.07407407 11.92592593] ; [ 1.92592593 11.07407407],0
p8,1,0.948975,0.004095,[ 5 16] ; [ 9 30],[ 4.9 16.1] ; [ 9.1 29.9],0
v1,1,0.984684,0.000369,[ 7 15] ; [12 26],[ 6.96666667 15.03333333] ; [12.03333333 25.96666667],0
