Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.013505,6.101676,[ 7 41] ; [3 2],[ 9.05660377 38.94339623] ; [0.94339623 4.05660377],0
b2,1,0.013505,6.101676,[ 7 41] ; [3 2],[ 9.05660377 38.94339623] ; [0.94339623 4.05660377],0
u1,1,0.055332,3.672048,[ 7 74] ; [2 4],[ 8.37931034 72.62068966] ; [0.62068966 5.37931034],0
s5,1,0.087571,2.91846,[16 64] ; [3 3],[17.6744186 62.3255814] ; [1.3255814 4.6744186],0
b4,1,0.150578,2.066388,[43 38] ; [5 1],[44.68965517 36.31034483] ; [3.31034483 2.68965517],0
r1,1,0.232914,1.422975,[59 22] ; [3 3],[57.72413793 23.27586207] ; [4.27586207 1.72413793],0
s2,1,0.234884,1.411039,[33 47] ; [1 5],[31.62790698 48.37209302] ; [2.37209302 3.62790698],0
s3,1,0.261747,1.259491,[45 34] ; [2 4],[43.68235294 35.31764706] ; [3.31764706 2.68235294],0
d3,1,0.295859,1.092768,[49 30] ; [5 1],[50.18823529 28.81176471] ; [3.81176471 2.18823529],0
d1,1,0.320352,0.98751,[37 44] ; [4 2],[38.17241379 42.82758621] ; [2.82758621 3.17241379],0
a2,1,0.327508,0.958725,[14 67] ; [2 4],[14.89655172 66.10344828] ; [1.10344828 4.89655172],0
p3,1,0.334178,0.932638,[37 43] ; [4 2],[38.13953488 41.86046512] ; [2.86046512 3.13953488],0
b5,1,0.341331,0.905426,[52 29] ; [5 1],[53.06896552 27.93103448] ; [3.93103448 2.06896552],0
a6,1,0.344496,0.893627,[55 25] ; [3 3],[53.95348837 26.04651163] ; [4.04651163 1.95348837],0
p10,1,0.359579,0.839363,[52 28] ; [5 1],[53.02325581 26.97674419] ; [3.97674419 2.02325581],0
n1,1,0.393769,0.727273,[ 5 17] ; [1 1],[ 5.5 16.5] ; [0.5 1.5],0
n5,1,0.397239,0.716667,[39 41] ; [4 2],[40. 40.] ; [3. 3.],0
v2,1,0.413835,0.667756,[37 38] ; [4 2],[37.96296296 37.03703704] ; [3.03703704 2.96296296],0
a3,1,0.446298,0.580037,[53 28] ; [3 3],[52.13793103 28.86206897] ; [3.86206897 2.13793103],0
s8,1,0.446298,0.580037,[28 53] ; [3 3],[28.86206897 52.13793103] ; [2.13793103 3.86206897],0
a7,1,0.486504,0.484249,[52 29] ; [3 3],[51.20689655 29.79310345] ; [3.79310345 2.20689655],0
r3,1,0.511587,0.430819,[74  7] ; [5 1],[73.55172414  7.44827586] ; [5.44827586 0.55172414],0
v4,1,0.527848,0.398532,[72  7] ; [5 1],[71.56470588  7.43529412] ; [5.43529412 0.56470588],0
d4,1,0.552283,0.353242,[57 22] ; [5 1],[57.62352941 21.37647059] ; [4.37647059 1.62352941],0
s7,1,0.55645,0.345889,[28 46] ; [3 3],[28.675 45.325] ; [2.325 3.675],0
d5,1,0.563111,0.334346,[58 22] ; [5 1],[58.60465116 21.39534884] ; [4.39534884 1.60465116],0
d2,1,0.586715,0.295503,[31 49] ; [3 3],[31.62790698 48.37209302] ; [2.37209302 3.62790698],0
v3,1,0.596205,0.280758,[18 58] ; [2 4],[18.53658537 57.46341463] ; [1.46341463 4.53658537],0
v1,1,0.64873,0.207505,[32 47] ; [3 3],[32.52941176 46.47058824] ; [2.47058824 3.52941176],0
s6,1,0.721067,0.127473,[48 33] ; [4 2],[48.4137931 32.5862069] ; [3.5862069 2.4137931],0
a5,1,0.764933,0.089407,[49 32] ; [4 2],[49.34482759 31.65517241] ; [3.65517241 2.34482759],0
r4,1,0.796468,0.066523,[58 23] ; [4 2],[57.72413793 23.27586207] ; [4.27586207 1.72413793],0
p6,1,0.806603,0.059932,[27 51] ; [2 3],[27.25301205 50.74698795] ; [1.74698795 3.25301205],0
p8,1,0.812441,0.056301,[44 36] ; [3 3],[43.72093023 36.27906977] ; [3.27906977 2.72093023],0
p11,1,0.848343,0.03657,[57 24] ; [4 2],[56.79310345 24.20689655] ; [4.20689655 1.79310345],0
n4,1,0.883813,0.021356,[43 38] ; [3 3],[42.82758621 38.17241379] ; [3.17241379 2.82758621],0
s4,1,0.910048,0.012764,[15 66] ; [1 5],[14.89655172 66.10344828] ; [1.10344828 4.89655172],0
a4,1,1.0,0.0,[27 54] ; [2 4],[27. 54.] ; [2. 4.],0
b1,1,1.0,0.0,[54 27] ; [4 2],[54. 27.] ; [4. 2.],0
