Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001732,9.81391,[ 3 10] ; [13  3],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
d3,1,0.017224,5.673447,[4 9] ; [12  4],[7.17241379 5.82758621] ; [8.82758621 7.17241379],0
s3,1,0.024798,5.037927,[5 8] ; [12  3],[7.89285714 5.10714286] ; [9.10714286 5.89285714],0
a5,1,0.033754,4.507119,[ 3 10] ; [10  6],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
n1,1,0.036331,4.381481,[1 7] ; [4 2],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
d5,1,0.043742,4.066506,[7 6] ; [14  2],[9.4137931 3.5862069] ; [11.5862069  4.4137931],0
n3,1,0.086359,2.940972,[3 5] ; [5 1],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
a3,1,0.089019,2.892033,[4 9] ; [10  6],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
v1,1,0.100582,2.696287,[ 2 11] ; [7 9],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
r2,1,0.18367,1.767677,[8 4] ; [14  2],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
n4,1,0.197631,1.659799,[5 8] ; [10  6],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
a7,1,0.197631,1.659799,[5 8] ; [10  6],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p4,1,0.197631,1.659799,[5 8] ; [10  6],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
a6,1,0.244092,1.356807,[ 3 10] ; [7 9],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
p8,1,0.244092,1.356807,[ 3 10] ; [7 9],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
d1,1,0.295694,1.093514,[4 9] ; [8 8],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
v3,1,0.320742,0.98592,[ 2 11] ; [ 5 11],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
s8,1,0.320742,0.98592,[ 2 11] ; [ 5 11],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
p3,1,0.340405,0.908906,[5 8] ; [9 7],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
s5,1,0.377822,0.777778,[4 8] ; [ 3 13],[3. 9.] ; [ 4. 12.],0
s7,1,0.391153,0.735354,[4 8] ; [7 7],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
n6,1,0.410727,0.676695,[7 6] ; [11  5],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
p11,1,0.410727,0.676695,[6 7] ; [ 5 11],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
s2,1,0.431316,0.619277,[5 8] ; [8 7],[6.03571429 6.96428571] ; [6.96428571 8.03571429],0
p2,1,0.435819,0.607265,[8 5] ; [12  4],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
r3,1,0.435819,0.607265,[8 5] ; [12  4],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
s6,1,0.435819,0.607265,[8 5] ; [12  4],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
b4,1,0.473701,0.51333,[9 4] ; [9 7],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
v4,1,0.50198,0.450747,[10  3] ; [13  2],[10.67857143  2.32142857] ; [12.32142857  2.67857143],0
p10,1,0.524967,0.404125,[ 2 11] ; [ 4 12],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
p6,1,0.524967,0.404125,[ 2 11] ; [ 4 12],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
n2,1,0.532884,0.388889,[4 4] ; [4 2],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
d2,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
b1,1,0.588439,0.292788,[6 7] ; [9 7],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p7,1,0.637947,0.221437,[6 7] ; [ 6 10],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
b5,1,0.637947,0.221437,[7 6] ; [10  6],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
s1,1,0.672452,0.178748,[ 1 12] ; [ 2 14],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
u2,1,0.832662,0.044643,[5 4] ; [3 3],[4.8 4.2] ; [3.2 2.8],0
n5,1,0.836687,0.042491,[7 6] ; [8 8],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
v2,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
d4,1,0.957675,0.002817,[8 5] ; [10  6],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
a4,1,0.977797,0.000775,[4 9] ; [ 5 11],[4.03448276 8.96551724] ; [ 4.96551724 11.03448276],0
