Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002743,8.97094,[37 86] ; [23 18],[45. 78.] ; [15. 26.],0
v1,1,0.005071,7.854052,[34 90] ; [21 20],[41.33333333 82.66666667] ; [13.66666667 27.33333333],0
b3,1,0.007667,7.109677,[30 45] ; [ 3 23],[24.5049505 50.4950495] ; [ 8.4950495 17.5049505],0
b2,1,0.007667,7.109677,[30 45] ; [ 3 23],[24.5049505 50.4950495] ; [ 8.4950495 17.5049505],0
n4,1,0.025336,5.000754,[71 54] ; [32 10],[77.09580838 47.90419162] ; [25.90419162 16.09580838],0
r2,1,0.031688,4.615273,[96 27] ; [39  3],[100.63636364  22.36363636] ; [34.36363636  7.63636364],0
s8,1,0.03847,4.284116,[ 18 107] ; [12 30],[ 22.45508982 102.54491018] ; [ 7.54491018 34.45508982],0
s6,1,0.038665,4.275507,[43 82] ; [22 20],[48.65269461 76.34730539] ; [16.34730539 25.65269461],0
b4,1,0.139043,2.188514,[67 58] ; [28 14],[71.10778443 53.89221557] ; [23.89221557 18.10778443],0
p1,1,0.200609,1.637933,[ 10 114] ; [ 1 41],[  8.21686747 115.78313253] ; [ 2.78313253 39.21686747],0
s7,1,0.221545,1.494333,[25 93] ; [12 27],[27.8089172 90.1910828] ; [ 9.1910828 29.8089172],0
a2,1,0.254027,1.301017,[ 20 105] ; [10 32],[ 22.45508982 102.54491018] ; [ 7.54491018 34.45508982],0
p2,1,0.297601,1.084914,[74 51] ; [21 21],[71.10778443 53.89221557] ; [23.89221557 18.10778443],0
s4,1,0.303882,1.057081,[ 16 107] ; [ 3 39],[ 14.16363636 108.83636364] ; [ 4.83636364 37.16363636],0
a8,1,0.312857,1.018574,[  8 105] ; [ 5 36],[  9.53896104 103.46103896] ; [ 3.46103896 37.53896104],0
n3,1,0.319721,0.990089,[33 25] ; [10  4],[34.63888889 23.36111111] ; [8.36111111 5.63888889],0
n6,1,0.321388,0.98329,[75 49] ; [29 13],[77.68674699 46.31325301] ; [26.31325301 15.68674699],0
d3,1,0.346435,0.886474,[70 55] ; [27 15],[72.60479042 52.39520958] ; [24.39520958 17.60479042],0
a5,1,0.348572,0.878649,[67 58] ; [26 16],[69.61077844 55.38922156] ; [23.38922156 18.61077844],0
p6,1,0.35394,0.859282,[30 92] ; [ 7 33],[27.86419753 94.13580247] ; [ 9.13580247 30.86419753],0
n2,1,0.357744,0.845796,[31 27] ; [10  5],[32.57534247 25.42465753] ; [8.42465753 6.57534247],0
d4,1,0.406464,0.68912,[83 41] ; [31 11],[85.15662651 38.84337349] ; [28.84337349 13.15662651],0
s2,1,0.449977,0.57071,[29 95] ; [12 29],[30.81212121 93.18787879] ; [10.18787879 30.81212121],0
u2,1,0.459407,0.54734,[23 31] ; [8 7],[24.26086957 29.73913043] ; [6.73913043 8.26086957],0
u3,1,0.484127,0.489553,[25 29] ; [9 7],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
u1,1,0.490636,0.47513,[ 17 108] ; [ 4 38],[ 15.71856287 109.28143713] ; [ 5.28143713 36.71856287],0
a7,1,0.497363,0.460558,[76 49] ; [28 14],[77.84431138 47.15568862] ; [26.15568862 15.84431138],0
s3,1,0.503278,0.448018,[45 78] ; [17 23],[46.78527607 76.21472393] ; [15.21472393 24.78527607],0
p9,1,0.517621,0.418631,[37 85] ; [15 27],[38.68292683 83.31707317] ; [13.31707317 28.68292683],0
p8,1,0.536772,0.381555,[36 88] ; [14 27],[37.57575758 86.42424242] ; [12.42424242 28.57575758],0
d5,1,0.546667,0.363323,[83 42] ; [30 12],[84.58083832 40.41916168] ; [28.41916168 13.58083832],0
r4,1,0.546667,0.363323,[83 42] ; [30 12],[84.58083832 40.41916168] ; [28.41916168 13.58083832],0
p11,1,0.563289,0.334041,[60 65] ; [18 24],[58.38323353 66.61676647] ; [19.61676647 22.38323353],0
s1,1,0.57406,0.315936,[  9 115] ; [ 2 40],[  8.21686747 115.78313253] ; [ 2.78313253 39.21686747],0
