Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-05,19.575045,[76 31] ; [77  3],[87.54545455 19.45454545] ; [65.45454545 14.54545455],1
v3,1,1.1e-05,19.260852,[20 84] ; [39 39],[33.71428571 70.28571429] ; [25.28571429 52.71428571],1
v1,1,2.1e-05,18.135561,[34 71] ; [50 28],[48.19672131 56.80327869] ; [35.80327869 42.19672131],1
d5,1,0.000324,12.924779,[57 50] ; [63 17],[68.6631016 38.3368984] ; [51.3368984 28.6631016],1
p7,1,0.000588,11.813784,[37 68] ; [48 31],[48.50543478 56.49456522] ; [36.49456522 42.50543478],1
r4,1,0.000986,10.853914,[66 41] ; [67 13],[76.10160428 30.89839572] ; [56.89839572 23.10160428],1
d4,1,0.001715,9.831556,[64 43] ; [65 15],[73.81283422 33.18716578] ; [55.18716578 24.81283422],0
p8,1,0.001794,9.748761,[25 82] ; [36 44],[34.90374332 72.09625668] ; [26.09625668 53.90374332],0
p10,1,0.001869,9.673868,[59 48] ; [61 18],[69.03225806 37.96774194] ; [50.96774194 28.03225806],0
d1,1,0.003373,8.594023,[31 76] ; [40 40],[40.62566845 66.37433155] ; [30.37433155 49.62566845],0
r1,1,0.004285,8.158742,[60 47] ; [61 19],[69.23529412 37.76470588] ; [51.76470588 28.23529412],0
s2,1,0.00908,6.807,[33 73] ; [40 40],[41.60215054 64.39784946] ; [31.39784946 48.60215054],0
p11,1,0.015181,5.895371,[65 42] ; [62 18],[72.6684492 34.3315508] ; [54.3315508 25.6684492],0
p3,1,0.015834,5.821209,[32 74] ; [38 42],[39.89247312 66.10752688] ; [30.10752688 49.89247312],0
r2,1,0.015841,5.820489,[82 24] ; [70  7],[88.04371585 17.95628415] ; [63.95628415 13.04371585],0
p9,1,0.016087,5.79333,[65 40] ; [62 17],[72.47282609 32.52717391] ; [54.52717391 24.47282609],0
s8,1,0.018918,5.509098,[28 79] ; [34 46],[35.47593583 71.52406417] ; [26.52406417 53.47593583],0
s5,1,0.020081,5.404848,[23 82] ; [29 48],[30. 75.] ; [22. 55.],0
a5,1,0.029353,4.746779,[61 46] ; [58 22],[68.09090909 38.90909091] ; [50.90909091 29.09090909],0
p4,1,0.052167,3.7704,[36 70] ; [38 41],[42.4 63.6] ; [31.6 47.4],0
v4,1,0.05239,3.763274,[84 22] ; [71  8],[88.81081081 17.18918919] ; [66.18918919 12.81081081],0
a3,1,0.065828,3.384097,[66 40] ; [60 20],[71.80645161 34.19354839] ; [54.19354839 25.80645161],0
