Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,24.87252,[4 6] ; [119  10],[8.84892086 1.15107914] ; [114.15107914  14.84892086],1
r4,1,2.7e-05,17.609781,[3 7] ; [109  20],[8.05755396 1.94244604] ; [103.94244604  25.05755396],1
r1,1,0.013533,6.098095,[3 7] ; [87 40],[6.56934307 3.43065693] ; [83.43065693 43.56934307],0
b1,1,0.02705,4.887636,[7 3] ; [45 84],[3.74100719 6.25899281] ; [48.25899281 80.74100719],0
p11,1,0.060508,3.5234,[5 5] ; [99 30],[7.48201439 2.51798561] ; [96.51798561 32.48201439],0
n2,1,0.064989,3.405253,[1 2] ; [32  8],[2.30232558 0.69767442] ; [30.69767442  9.30232558],0
v3,1,0.178914,1.806622,[1 9] ; [38 89],[2.84671533 7.15328467] ; [36.15328467 90.84671533],0
p8,1,0.214306,1.542095,[3 7] ; [63 62],[4.88888889 5.11111111] ; [61.11111111 63.88888889],0
a6,1,0.223818,1.47972,[4 6] ; [77 52],[5.82733813 4.17266187] ; [75.17266187 53.82733813],0
s7,1,0.230183,1.439728,[2 7] ; [52 70],[3.70992366 5.29007634] ; [50.29007634 71.70992366],0
p6,1,0.230306,1.438972,[5 5] ; [40 87],[3.28467153 6.71532847] ; [41.71532847 85.28467153],0
u1,1,0.259039,1.273885,[1 9] ; [  4 125],[0.35971223 9.64028777] ; [  4.64028777 124.35971223],0
a5,1,0.270115,1.216163,[7 3] ; [67 62],[5.32374101 4.67625899] ; [68.67625899 60.32374101],0
d2,1,0.289111,1.123756,[1 9] ; [32 97],[2.37410072 7.62589928] ; [30.62589928 98.37410072],0
s2,1,0.294138,1.100586,[5 5] ; [43 85],[3.47826087 6.52173913] ; [44.52173913 83.47826087],0
r3,1,0.302987,1.060999,[7 2] ; [115  14],[7.95652174 1.04347826] ; [114.04347826  14.95652174],0
n6,1,0.341709,0.904009,[7 3] ; [106  23],[8.1294964 1.8705036] ; [104.8705036  24.1294964],0
s5,1,0.387268,0.747504,[1 8] ; [30 97],[2.05147059 6.94852941] ; [28.94852941 98.05147059],0
n4,1,0.39197,0.732823,[6 4] ; [93 35],[7.17391304 2.82608696] ; [91.82608696 36.17391304],0
a8,1,0.410024,0.678733,[2 8] ; [ 13 103],[1.19047619 8.80952381] ; [ 13.80952381 102.19047619],0
d1,1,0.4562,0.555202,[1 9] ; [  6 123],[0.50359712 9.49640288] ; [  6.49640288 122.50359712],0
b5,1,0.462574,0.539659,[7 3] ; [75 54],[5.89928058 4.10071942] ; [76.10071942 52.89928058],0
s6,1,0.487453,0.482143,[4 5] ; [71 55],[5. 4.] ; [70. 56.],0
a3,1,0.496413,0.462597,[4 6] ; [66 63],[5.03597122 4.96402878] ; [64.96402878 64.03597122],0
n3,1,0.496694,0.461994,[2 1] ; [33  7],[2.44186047 0.55813953] ; [32.55813953  7.44186047],0
p9,1,0.519919,0.414055,[7 3] ; [100  27],[7.81021898 2.18978102] ; [99.18978102 27.81021898],0
d3,1,0.542129,0.371608,[4 6] ; [39 88],[3.13868613 6.86131387] ; [39.86131387 87.13868613],0
u2,1,0.550165,0.357022,[2 4] ; [29 34],[2.69565217 3.30434783] ; [28.30434783 34.69565217],0
a7,1,0.636058,0.223935,[7 3] ; [80 48],[6.30434783 3.69565217] ; [80.69565217 47.30434783],0
p3,1,0.701513,0.146902,[5 5] ; [56 72],[4.42028986 5.57971014] ; [56.57971014 71.42028986],0
p7,1,0.732573,0.116763,[6 4] ; [83 44],[6.49635036 3.50364964] ; [82.50364964 44.49635036],0
s8,1,0.741617,0.108711,[3 7] ; [45 83],[3.47826087 6.52173913] ; [44.52173913 83.47826087],0
p10,1,0.748595,0.102715,[7 3] ; [94 32],[7.42647059 2.57352941] ; [93.57352941 32.42647059],0
p4,1,0.761086,0.092449,[6 4] ; [71 58],[5.53956835 4.46043165] ; [71.46043165 57.53956835],0
n5,1,0.769827,0.085616,[7 3] ; [95 33],[7.39130435 2.60869565] ; [94.60869565 33.39130435],0
a4,1,0.804087,0.061534,[2 8] ; [30 98],[2.31884058 7.68115942] ; [29.68115942 98.31884058],0
v2,1,0.849426,0.036043,[4 6] ; [53 70],[4.28571429 5.71428571] ; [52.71428571 70.28571429],0
v1,1,0.860417,0.030921,[4 6] ; [54 72],[4.26470588 5.73529412] ; [53.73529412 72.26470588],0
b4,1,0.868536,0.027396,[5 5] ; [68 61],[5.25179856 4.74820144] ; [67.74820144 61.25179856],0
s4,1,0.872393,0.025799,[2 8] ; [ 23 105],[1.8115942 8.1884058] ; [ 23.1884058 104.8115942],0
a2,1,0.941809,0.005328,[1 9] ; [ 12 117],[0.9352518 9.0647482] ; [ 12.0647482 116.9352518],0
s3,1,0.942651,0.005175,[5 5] ; [62 65],[4.89051095 5.10948905] ; [62.10948905 64.89051095],0
n1,1,0.953415,0.003413,[1 2] ; [14 26],[1.04651163 1.95348837] ; [13.95348837 26.04651163],0
d5,1,0.962042,0.002265,[5 5] ; [65 63],[5.07246377 4.92753623] ; [64.92753623 63.07246377],0
