Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,42.581552,[63 18] ; [ 9 39],[45.20930233 35.79069767] ; [26.79069767 21.20930233],1
s6,1,8.8e-05,15.388323,[48 33] ; [11 36],[37.3359375 43.6640625] ; [21.6640625 25.3359375],1
p11,1,0.003106,8.743856,[64 19] ; [25 23],[56.38931298 26.61068702] ; [32.61068702 15.38931298],0
p2,1,0.003737,8.407604,[67 15] ; [28 20],[59.92307692 22.07692308] ; [35.07692308 12.92307692],0
a7,1,0.003824,8.365369,[60 22] ; [23 25],[52.35384615 29.64615385] ; [30.64615385 17.35384615],0
n6,1,0.005102,7.84296,[57 26] ; [21 27],[49.41984733 33.58015267] ; [28.58015267 19.41984733],0
s8,1,0.008956,6.831622,[28 55] ; [ 6 41],[21.70769231 61.29230769] ; [12.29230769 34.70769231],0
d3,1,0.013264,6.133595,[44 38] ; [15 33],[37.21538462 44.78461538] ; [21.78461538 26.21538462],0
d2,1,0.023112,5.160051,[ 5 78] ; [ 9 39],[ 8.87022901 74.12977099] ; [ 5.12977099 42.87022901],0
b1,1,0.027529,4.857317,[27 56] ; [25 23],[32.94656489 50.05343511] ; [19.05343511 28.94656489],0
v1,1,0.085151,2.963734,[36 45] ; [14 34],[31.39534884 49.60465116] ; [18.60465116 29.39534884],0
n4,1,0.143553,2.139452,[29 54] ; [23 25],[32.94656489 50.05343511] ; [19.05343511 28.94656489],0
s5,1,0.145108,2.122934,[22 55] ; [ 8 39],[18.62903226 58.37096774] ; [11.37096774 35.62903226],0
a8,1,0.151938,2.052681,[ 9 67] ; [ 2 45],[ 6.79674797 69.20325203] ; [ 4.20325203 42.79674797],0
v4,1,0.155388,2.018546,[74  7] ; [39  8],[71.5078125  9.4921875] ; [41.4921875  5.5078125],0
n1,1,0.15929,1.980952,[ 3 18] ; [ 6 12],[ 4.84615385 16.15384615] ; [ 4.15384615 13.84615385],0
p8,1,0.17032,1.880122,[36 47] ; [15 33],[32.3129771 50.6870229] ; [18.6870229 29.3129771],0
a3,1,0.173995,1.848185,[46 36] ; [21 27],[42.26153846 39.73846154] ; [24.73846154 23.26153846],0
r2,1,0.197951,1.657429,[71 10] ; [38 10],[68.44186047 12.55813953] ; [40.55813953  7.44186047],0
s2,1,0.204565,1.609479,[33 49] ; [14 34],[29.64615385 52.35384615] ; [17.35384615 30.64615385],0
s4,1,0.240469,1.37784,[15 68] ; [ 5 43],[12.67175573 70.32824427] ; [ 7.32824427 40.67175573],0
b5,1,0.254638,1.297674,[50 33] ; [24 24],[46.88549618 36.11450382] ; [27.11450382 20.88549618],0
p1,1,0.260865,1.264162,[ 8 74] ; [ 2 45],[ 6.35658915 75.64341085] ; [ 3.64341085 43.35658915],0
n2,1,0.284307,1.146384,[13  8] ; [14  4],[14.53846154  6.46153846] ; [12.46153846  5.53846154],0
v3,1,0.306369,1.046265,[16 63] ; [13 33],[18.328 60.672] ; [10.672 35.328],0
a6,1,0.335586,0.927221,[47 36] ; [23 25],[44.35114504 38.64885496] ; [25.64885496 22.35114504],0
r4,1,0.337024,0.921721,[65 18] ; [34 14],[62.72519084 20.27480916] ; [36.27480916 11.72519084],0
d4,1,0.363969,0.824151,[55 28] ; [28 20],[52.58778626 30.41221374] ; [30.41221374 17.58778626],0
s1,1,0.418346,0.654957,[ 4 79] ; [ 4 44],[ 5.06870229 77.93129771] ; [ 2.93129771 45.06870229],0
a5,1,0.449449,0.572042,[42 41] ; [21 27],[39.91603053 43.08396947] ; [23.08396947 24.91603053],0
s7,1,0.469799,0.522448,[25 57] ; [11 34],[23.24409449 58.75590551] ; [12.75590551 32.24409449],0
v2,1,0.469958,0.522074,[32 47] ; [16 31],[30.0952381 48.9047619] ; [17.9047619 29.0952381],0
u2,1,0.481564,0.49532,[20 15] ; [13 14],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
n3,1,0.507591,0.439031,[14  7] ; [13  4],[14.92105263  6.07894737] ; [12.07894737  4.92105263],0
s3,1,0.540453,0.374701,[39 42] ; [20 27],[37.3359375 43.6640625] ; [21.6640625 25.3359375],0
r3,1,0.609513,0.260884,[75  8] ; [42  6],[74.12977099  8.87022901] ; [42.87022901  5.12977099],0
u3,1,0.631596,0.229903,[19 16] ; [13 14],[18.06451613 16.93548387] ; [13.93548387 13.06451613],0
d5,1,0.71625,0.132114,[40 42] ; [25 23],[41. 41.] ; [24. 24.],0
a4,1,0.78455,0.074745,[19 64] ; [10 38],[18.3740458 64.6259542] ; [10.6259542 37.3740458],0
b2,1,0.817088,0.053496,[11 34] ; [ 7 19],[11.4084507 33.5915493] ; [ 6.5915493 19.4084507],0
b3,1,0.817088,0.053496,[11 34] ; [ 7 19],[11.4084507 33.5915493] ; [ 6.5915493 19.4084507],0
p6,1,0.825232,0.048762,[17 63] ; [11 37],[17.5 62.5] ; [10.5 37.5],0
p3,1,0.845161,0.038141,[28 55] ; [17 31],[28.51145038 54.48854962] ; [16.48854962 31.51145038],0
r1,1,0.852012,0.034802,[54 29] ; [32 16],[54.48854962 28.51145038] ; [31.51145038 16.48854962],0
a2,1,0.873718,0.025261,[ 3 80] ; [ 2 46],[ 3.16793893 79.83206107] ; [ 1.83206107 46.16793893],0
b4,1,0.876731,0.024061,[49 34] ; [29 19],[49.41984733 33.58015267] ; [28.58015267 19.41984733],0
u1,1,0.904248,0.014471,[ 2 81] ; [ 1 47],[ 1.90076336 81.09923664] ; [ 1.09923664 46.90076336],0
p7,1,0.979708,0.000647,[42 39] ; [25 23],[42.06976744 38.93023256] ; [24.93023256 23.06976744],0
p4,1,0.986306,0.000295,[31 52] ; [18 30],[31.04580153 51.95419847] ; [17.95419847 30.04580153],0
