Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,43.086374,[11 93] ; [23 12],[25.43884892 78.56115108] ; [ 8.56115108 26.43884892],1
s6,1,8e-06,19.864926,[42 69] ; [29  7],[53.6122449 57.3877551] ; [17.3877551 18.6122449],1
s2,1,2.1e-05,18.060313,[30 80] ; [24 12],[40.68493151 69.31506849] ; [13.31506849 22.68493151],1
s3,1,4.2e-05,16.787037,[37 74] ; [26 10],[47.57142857 63.42857143] ; [15.42857143 20.57142857],1
p3,1,0.001905,9.639178,[23 88] ; [17 19],[30.20408163 80.79591837] ; [ 9.79591837 26.20408163],0
p2,1,0.00677,7.332883,[68 42] ; [31  5],[74.5890411 35.4109589] ; [24.4109589 11.5890411],0
p4,1,0.011583,6.37365,[38 72] ; [21 15],[44.45205479 65.54794521] ; [14.54794521 21.45205479],0
p7,1,0.014865,5.93242,[48 59] ; [24 11],[54.25352113 52.74647887] ; [17.74647887 17.25352113],0
p10,1,0.0341,4.489679,[60 49] ; [27  9],[65.4 43.6] ; [21.6 14.4],0
p8,1,0.036247,4.385428,[39 70] ; [20 16],[44.35172414 64.64827586] ; [14.64827586 21.35172414],0
p11,1,0.098988,2.721766,[63 48] ; [26 10],[67.20408163 43.79591837] ; [21.79591837 14.20408163],0
p1,1,0.141356,2.163139,[  3 107] ; [ 3 33],[  4.52054795 105.47945205] ; [ 1.47945205 34.52054795],0
p5,1,0.144912,2.125011,[  3 106] ; [ 3 33],[  4.51034483 104.48965517] ; [ 1.48965517 34.51034483],0
r4,1,0.147516,2.097753,[79 32] ; [30  6],[82.30612245 28.69387755] ; [26.69387755  9.30612245],0
a2,1,0.148773,2.084789,[  7 104] ; [ 5 31],[  9.06122449 101.93877551] ; [ 2.93877551 33.06122449],0
v4,1,0.150053,2.071709,[93 16] ; [34  2],[95.46896552 13.53103448] ; [31.53103448  4.46896552],0
r3,1,0.19449,1.68327,[96 15] ; [34  2],[98.16326531 12.83673469] ; [31.83673469  4.16326531],0
