Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.258123,[291  72] ; [44 69],[255.47268908 107.52731092] ; [79.52731092 33.47268908],1
d3,1,0.0,53.94775,[288  75] ; [49 64],[256.99789916 106.00210084] ; [80.00210084 32.99789916],1
a2,1,0.0,26.75315,[105 259] ; [  6 107],[ 84.70440252 279.29559748] ; [26.29559748 86.70440252],1
d1,1,0.000286,13.156976,[228 136] ; [49 64],[211.37945493 152.62054507] ; [65.62054507 47.37945493],1
u1,1,0.00039,12.577591,[ 75 289] ; [  7 106],[ 62.57442348 301.42557652] ; [19.42557652 93.57442348],1
d5,1,0.001568,9.997528,[303  60] ; [79 34],[291.31512605  71.68487395] ; [90.68487395 22.31512605],0
p4,1,0.002078,9.479169,[214 149] ; [47 64],[199.87974684 163.12025316] ; [61.12025316 49.87974684],0
r3,1,0.003402,8.578254,[350  13] ; [101  12],[343.93487395  19.06512605] ; [107.06512605   5.93487395],0
v4,1,0.004491,8.073761,[352  12] ; [100  11],[346.37473684  17.62526316] ; [105.62526316   5.37473684],0
b5,1,0.008398,6.946524,[234 130] ; [57 56],[222.06289308 141.93710692] ; [68.93710692 44.06289308],0
p2,1,0.010974,6.469602,[304  59] ; [81 30],[294.84177215  68.15822785] ; [90.15822785 20.84177215],0
r4,1,0.013476,6.105565,[346  18] ; [100  13],[340.34381551  23.65618449] ; [105.65618449   7.34381551],0
d4,1,0.014351,5.99447,[306  57] ; [83 29],[297.27789474  65.72210526] ; [91.72210526 20.27789474],0
b3,1,0.015492,5.859663,[ 63 143] ; [35 41],[ 71.58865248 134.41134752] ; [26.41134752 49.58865248],0
b2,1,0.015492,5.859663,[ 63 143] ; [35 41],[ 71.58865248 134.41134752] ; [26.41134752 49.58865248],0
v2,1,0.01695,5.701578,[208 137] ; [50 56],[197.36141907 147.63858093] ; [60.63858093 45.36141907],0
p9,1,0.029825,4.719362,[289  71] ; [79 33],[280.6779661  79.3220339] ; [87.3220339 24.6779661],0
u3,1,0.043307,4.083369,[73 39] ; [14 17],[68.13986014 43.86013986] ; [18.86013986 12.13986014],0
r2,1,0.044728,4.028848,[350  13] ; [101   9],[346.11627907  16.88372093] ; [104.88372093   5.11627907],0
s1,1,0.052749,3.751841,[ 11 348] ; [  8 103],[ 14.51276596 344.48723404] ; [  4.48723404 106.51276596],0
p10,1,0.060989,3.510292,[281  79] ; [77 34],[273.63057325  86.36942675] ; [84.36942675 26.63057325],0
p8,1,0.093091,2.820086,[181 177] ; [46 65],[173.2750533 184.7249467] ; [53.7249467 57.2750533],0
b1,1,0.101106,2.688017,[133 231] ; [51 62],[140.41090147 223.58909853] ; [43.58909853 69.41090147],0
s7,1,0.121491,2.397995,[139 208] ; [51 54],[145.86283186 201.13716814] ; [44.13716814 60.86283186],0
b4,1,0.136053,2.22204,[222 142] ; [60 53],[215.19496855 148.80503145] ; [66.80503145 46.19496855],0
p6,1,0.158496,1.988519,[114 247] ; [27 83],[108.07006369 252.92993631] ; [32.92993631 77.07006369],0
v3,1,0.168661,1.894805,[126 219] ; [47 60],[132.04646018 212.95353982] ; [40.95353982 66.04646018],0
s8,1,0.182485,1.777266,[129 234] ; [48 65],[134.98109244 228.01890756] ; [42.01890756 70.98109244],0
a5,1,0.255658,1.292118,[271  93] ; [78 35],[266.32285115  97.67714885] ; [82.67714885 30.32285115],0
a8,1,0.275387,1.189716,[ 48 276] ; [11 93],[ 44.6635514 279.3364486] ; [14.3364486 89.6635514],0
s6,1,0.29912,1.078112,[214 148] ; [60 52],[209.25738397 152.74261603] ; [64.74261603 47.25738397],0
p5,1,0.350897,0.870212,[ 18 345] ; [  8 102],[ 19.95348837 343.04651163] ; [  6.04651163 103.95348837],0
p3,1,0.378264,0.776335,[163 200] ; [45 67],[158.95578947 204.04421053] ; [49.04421053 62.95578947],0
a4,1,0.393827,0.727092,[162 200] ; [45 67],[158.08860759 203.91139241] ; [48.91139241 63.08860759],0
n6,1,0.401567,0.703628,[292  71] ; [86 26],[288.87157895  74.12842105] ; [89.12842105 22.87157895],0
d2,1,0.485664,0.486118,[171 192] ; [49 64],[167.77310924 195.22689076] ; [52.22689076 60.77310924],0
a3,1,0.502085,0.450526,[250 111] ; [82 31],[252.85232068 108.14767932] ; [79.14767932 33.85232068],0
p7,1,0.535169,0.384567,[213 143] ; [61 47],[210.22413793 145.77586207] ; [63.77586207 44.22413793],0
n3,1,0.541144,0.373423,[56 26] ; [18 11],[54.66666667 27.33333333] ; [19.33333333  9.66666667],0
p11,1,0.576394,0.312101,[283  81] ; [85 28],[280.82180294  83.17819706] ; [87.17819706 25.82180294],0
s4,1,0.647319,0.209297,[ 39 321] ; [14 99],[ 40.33826638 319.66173362] ; [ 12.66173362 100.33826638],0
a1,1,0.677522,0.172929,[ 13 351] ; [  5 108],[ 13.73584906 350.26415094] ; [  4.26415094 108.73584906],0
p1,1,0.700587,0.147862,[ 23 339] ; [  6 106],[ 22.14767932 339.85232068] ; [  6.85232068 105.14767932],0
n1,1,0.702689,0.14569,[26 56] ; [11 20],[26.84955752 55.15044248] ; [10.15044248 20.84955752],0
u2,1,0.720623,0.127897,[69 43] ; [18 13],[68.13986014 43.86013986] ; [18.86013986 12.13986014],0
n4,1,0.743468,0.107102,[274  89] ; [87 26],[275.30042017  87.69957983] ; [85.69957983 27.30042017],0
n5,1,0.760371,0.093021,[260 101] ; [79 33],[258.72938689 102.27061311] ; [80.27061311 31.72938689],0
s2,1,0.786925,0.073065,[147 214] ; [44 68],[145.77378436 215.22621564] ; [45.22621564 66.77378436],0
n2,1,0.797403,0.0659,[55 27] ; [20 11],[54.42477876 27.57522124] ; [20.57522124 10.42477876],0
p12,1,0.841094,0.040198,[ 18 344] ; [  5 106],[ 17.602537 344.397463] ; [  5.397463 105.602537],0
u4,1,0.913899,0.01169,[  9 355] ; [  3 110],[  9.1572327 354.8427673] ; [  2.8427673 110.1572327],0
v1,1,0.926175,0.008586,[180 174] ; [57 54],[180.42580645 173.57419355] ; [56.57419355 54.42580645],0
s3,1,0.975875,0.000914,[178 180] ; [56 57],[177.85987261 180.14012739] ; [56.14012739 56.85987261],0
