Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.812421,[ 5 19] ; [76 13],[17.20353982  6.79646018] ; [63.79646018 25.20353982],1
n3,1,0.000494,12.138973,[4 7] ; [18  1],[8.06666667 2.93333333] ; [13.93333333  5.06666667],1
n6,1,0.000902,11.01863,[13 11] ; [76 13],[18.90265487  5.09734513] ; [70.09734513 18.90265487],1
s8,1,0.002992,8.812055,[ 4 20] ; [44 43],[10.37837838 13.62162162] ; [37.62162162 49.37837838],0
a5,1,0.00524,7.794791,[12 12] ; [70 19],[17.4159292  6.5840708] ; [64.5840708 24.4159292],0
d2,1,0.00572,7.636566,[ 7 17] ; [53 34],[12.97297297 11.02702703] ; [47.02702703 39.97297297],0
p3,1,0.008834,6.856069,[ 2 22] ; [32 57],[ 7.22123894 16.77876106] ; [26.77876106 62.22123894],0
a4,1,0.012089,6.297723,[ 5 19] ; [44 45],[10.40707965 13.59292035] ; [38.59292035 50.40707965],0
p11,1,0.016405,5.758942,[11 13] ; [64 25],[15.92920354  8.07079646] ; [59.07079646 29.92920354],0
b1,1,0.019188,5.484274,[ 4 20] ; [38 51],[ 8.92035398 15.07964602] ; [33.07964602 55.92035398],0
s2,1,0.020968,5.329457,[ 7 17] ; [48 38],[12. 12.] ; [43. 43.],0
s7,1,0.03943,4.24226,[ 6 18] ; [39 41],[10.38461538 13.61538462] ; [34.61538462 45.38461538],0
u1,1,0.050317,3.830861,[ 1 23] ; [19 70],[ 4.24778761 19.75221239] ; [15.75221239 73.24778761],0
p2,1,0.052171,3.770261,[11 13] ; [60 29],[15.07964602  8.92035398] ; [55.92035398 33.07964602],0
r4,1,0.068268,3.324186,[17  7] ; [77 12],[19.96460177  4.03539823] ; [74.03539823 14.96460177],0
v2,1,0.113762,2.501166,[20  4] ; [58 29],[16.86486486  7.13513514] ; [61.13513514 25.86486486],0
a2,1,0.11642,2.46484,[ 3 21] ; [25 64],[ 5.94690265 18.05309735] ; [22.05309735 66.94690265],0
n2,1,0.135199,2.231772,[6 5] ; [16  4],[7.80645161 3.19354839] ; [14.19354839  5.80645161],0
u2,1,0.138795,2.191263,[6 1] ; [12 10],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
a6,1,0.201743,1.629711,[14 10] ; [64 25],[16.56637168  7.43362832] ; [61.43362832 27.56637168],0
r3,1,0.203648,1.616016,[20  4] ; [81  7],[21.64285714  2.35714286] ; [79.35714286  8.64285714],0
s4,1,0.296694,1.088993,[ 4 20] ; [ 8 79],[ 2.59459459 21.40540541] ; [ 9.40540541 77.59459459],0
p1,1,0.299802,1.075074,[ 1 23] ; [10 79],[ 2.33628319 21.66371681] ; [ 8.66371681 80.33628319],0
s1,1,0.313676,1.015135,[ 2 22] ; [ 3 83],[ 1.09090909 22.90909091] ; [ 3.90909091 82.09090909],0
p12,1,0.356286,0.850941,[ 2 22] ; [14 75],[ 3.39823009 20.60176991] ; [12.60176991 76.39823009],0
s3,1,0.382254,0.763439,[10 14] ; [44 41],[11.88990826 12.11009174] ; [42.11009174 42.88990826],0
d1,1,0.400895,0.70564,[12 12] ; [53 36],[13.80530973 10.19469027] ; [51.19469027 37.80530973],0
a1,1,0.438723,0.59962,[ 1 23] ; [ 8 81],[ 1.91150442 22.08849558] ; [ 7.08849558 81.91150442],0
r2,1,0.456657,0.554077,[22  2] ; [85  4],[22.72566372  1.27433628] ; [84.27433628  4.72566372],0
d5,1,0.46799,0.526718,[20  4] ; [68 21],[18.69026549  5.30973451] ; [69.30973451 19.69026549],0
b4,1,0.475762,0.508563,[18  6] ; [60 29],[16.56637168  7.43362832] ; [61.43362832 27.56637168],0
p4,1,0.486234,0.484848,[ 9 15] ; [40 48],[10.5 13.5] ; [38.5 49.5],0
b5,1,0.536533,0.382003,[14 10] ; [58 31],[15.2920354  8.7079646] ; [56.7079646 32.2920354],0
v4,1,0.606556,0.26522,[21  3] ; [81  8],[21.66371681  2.33628319] ; [80.33628319  8.66371681],0
p9,1,0.618291,0.248277,[16  7] ; [65 22],[16.93636364  6.06363636] ; [64.06363636 22.93636364],0
b3,1,0.632415,0.2288,[4 4] ; [23 33],[3.375 4.625] ; [23.625 32.375],0
