Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9e-06,19.69496,[ 6 24] ; [20  5],[14.18181818 15.81818182] ; [11.81818182 13.18181818],1
p8,1,9.7e-05,15.191795,[ 2 28] ; [14 12],[ 8.57142857 21.42857143] ; [ 7.42857143 18.57142857],1
v4,1,0.001424,10.175068,[14 18] ; [22  4],[19.86206897 12.13793103] ; [16.13793103  9.86206897],0
p2,1,0.001533,10.038462,[10 22] ; [19  7],[16. 16.] ; [13. 13.],0
v1,1,0.003559,8.496207,[ 3 29] ; [11 15],[ 7.72413793 24.27586207] ; [ 6.27586207 19.72413793],0
s8,1,0.004506,8.067928,[ 1 30] ; [ 8 18],[ 4.89473684 26.10526316] ; [ 4.10526316 21.89473684],0
p11,1,0.005177,7.816494,[ 7 25] ; [15 11],[12.13793103 19.86206897] ; [ 9.86206897 16.13793103],0
r2,1,0.006361,7.445016,[15 15] ; [22  4],[19.82142857 10.17857143] ; [17.17857143  8.82142857],0
p3,1,0.023753,5.112594,[ 5 27] ; [11 15],[ 8.82758621 23.17241379] ; [ 7.17241379 18.82758621],0
p4,1,0.024866,5.033173,[ 6 26] ; [12 14],[ 9.93103448 22.06896552] ; [ 8.06896552 17.93103448],0
n2,1,0.02565,4.979471,[ 7 12] ; [10  3],[10.09375  8.90625] ; [6.90625 6.09375],0
p6,1,0.034762,4.456808,[ 2 29] ; [ 7 19],[ 4.89473684 26.10526316] ; [ 4.10526316 21.89473684],0
d3,1,0.039158,4.253986,[11 21] ; [16 10],[14.89655172 17.10344828] ; [12.10344828 13.89655172],0
s2,1,0.04458,4.034451,[ 4 28] ; [ 9 17],[ 7.17241379 24.82758621] ; [ 5.82758621 20.17241379],0
u3,1,0.052539,3.758523,[ 3 13] ; [6 5],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
s7,1,0.066634,3.364044,[ 4 24] ; [ 9 16],[ 6.86792453 21.13207547] ; [ 6.13207547 18.86792453],0
d4,1,0.073983,3.192355,[16 16] ; [19  7],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
b4,1,0.073983,3.192355,[16 16] ; [19  7],[19.31034483 12.68965517] ; [15.68965517 10.31034483],0
n6,1,0.077397,3.118734,[13 18] ; [17  9],[16.31578947 14.68421053] ; [13.68421053 12.31578947],0
r4,1,0.078496,3.095773,[ 3 29] ; [ 7 19],[ 5.51724138 26.48275862] ; [ 4.48275862 21.51724138],0
a1,1,0.083137,3.002478,[ 6 26] ; [ 1 25],[ 3.86206897 28.13793103] ; [ 3.13793103 22.86206897],0
r1,1,0.087729,2.915562,[ 9 23] ; [13 13],[12.13793103 19.86206897] ; [ 9.86206897 16.13793103],0
n3,1,0.130995,2.28067,[ 8 11] ; [9 4],[10.09375  8.90625] ; [6.90625 6.09375],0
d5,1,0.158643,1.987114,[15 17] ; [17  9],[17.65517241 14.34482759] ; [14.34482759 11.65517241],0
p7,1,0.171115,1.873148,[ 9 23] ; [11 13],[11.42857143 20.57142857] ; [ 8.57142857 15.42857143],0
b2,1,0.204766,1.608049,[10 13] ; [ 5 15],[ 8.02325581 14.97674419] ; [ 6.97674419 13.02325581],0
b3,1,0.204766,1.608049,[10 13] ; [ 5 15],[ 8.02325581 14.97674419] ; [ 6.97674419 13.02325581],0
a5,1,0.265539,1.239649,[15 17] ; [16 10],[17.10344828 14.89655172] ; [13.89655172 12.10344828],0
p5,1,0.273707,1.198073,[ 2 29] ; [ 4 22],[ 3.26315789 27.73684211] ; [ 2.73684211 23.26315789],0
s6,1,0.313868,1.01433,[ 7 24] ; [ 9 17],[ 8.70175439 22.29824561] ; [ 7.29824561 18.70175439],0
s5,1,0.319436,0.991253,[ 5 26] ; [ 7 19],[ 6.52631579 24.47368421] ; [ 5.47368421 20.52631579],0
b5,1,0.379541,0.772189,[16 16] ; [16 10],[17.65517241 14.34482759] ; [14.34482759 11.65517241],0
d1,1,0.383523,0.75938,[10 22] ; [11 15],[11.5862069 20.4137931] ; [ 9.4137931 16.5862069],0
n4,1,0.383523,0.75938,[22 10] ; [15 11],[20.4137931 11.5862069] ; [16.5862069  9.4137931],0
s1,1,0.408585,0.682915,[ 3 29] ; [ 1 25],[ 2.20689655 29.79310345] ; [ 1.79310345 24.20689655],0
s3,1,0.437409,0.60307,[ 9 21] ; [10 15],[10.36363636 19.63636364] ; [ 8.63636364 16.36363636],0
