Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.334004,[ 3 27] ; [50 33],[14.07079646 15.92920354] ; [38.92920354 44.07079646],1
r3,1,0.000113,14.905415,[14 15] ; [70 13],[21.75  7.25] ; [62.25 20.75],1
p9,1,0.000464,12.254894,[13 15] ; [64 15],[20.14953271  7.85046729] ; [56.85046729 22.14953271],1
p2,1,0.000921,10.979866,[ 9 21] ; [54 29],[16.72566372 13.27433628] ; [46.27433628 36.72566372],1
r2,1,0.00101,10.809374,[14 14] ; [67 15],[20.61818182  7.38181818] ; [60.38181818 21.61818182],0
u3,1,0.001243,10.425548,[ 1 14] ; [18 14],[6.06382979 8.93617021] ; [12.93617021 19.06382979],0
n6,1,0.002102,9.458424,[15 15] ; [66 17],[21.50442478  8.49557522] ; [59.49557522 23.50442478],0
p4,1,0.014763,5.944548,[ 4 26] ; [31 52],[ 9.2920354 20.7079646] ; [25.7079646 57.2920354],0
u2,1,0.015931,5.810473,[ 2 13] ; [16 16],[5.74468085 9.25531915] ; [12.25531915 19.74468085],0
p10,1,0.021039,5.323542,[12 17] ; [54 28],[17.24324324 11.75675676] ; [48.75675676 33.24324324],0
s2,1,0.021763,5.264655,[ 5 25] ; [33 50],[10.08849558 19.91150442] ; [27.91150442 55.08849558],0
p11,1,0.027882,4.835372,[13 17] ; [55 28],[18.05309735 11.94690265] ; [49.94690265 33.05309735],0
b5,1,0.032533,4.570172,[14 16] ; [57 26],[18.84955752 11.15044248] ; [52.15044248 30.84955752],0
s8,1,0.038798,4.269672,[ 2 28] ; [20 63],[ 5.84070796 24.15929204] ; [16.15929204 66.84070796],0
n2,1,0.040424,4.2,[4 6] ; [24  8],[6.66666667 3.33333333] ; [21.33333333 10.66666667],0
p3,1,0.045124,4.013997,[ 3 27] ; [23 59],[ 6.96428571 23.03571429] ; [19.03571429 62.96428571],0
s6,1,0.047464,3.928859,[ 7 23] ; [36 46],[11.51785714 18.48214286] ; [31.48214286 50.51785714],0
p8,1,0.057463,3.609131,[ 2 27] ; [19 64],[ 5.4375 23.5625] ; [15.5625 67.4375],0
v1,1,0.071805,3.241279,[ 6 23] ; [31 48],[ 9.93518519 19.06481481] ; [27.06481481 51.93518519],0
a4,1,0.084243,2.981083,[ 7 22] ; [35 48],[10.875 18.125] ; [31.125 51.875],0
p1,1,0.088828,2.895481,[ 6 24] ; [ 7 76],[ 3.45132743 26.54867257] ; [ 9.54867257 73.45132743],0
p6,1,0.089107,2.890424,[ 2 27] ; [17 65],[ 4.96396396 24.03603604] ; [14.03603604 67.96396396],0
a5,1,0.093485,2.813312,[12 18] ; [48 35],[15.92920354 14.07079646] ; [44.07079646 38.92920354],0
s5,1,0.104838,2.63036,[ 3 26] ; [19 58],[ 6.01886792 22.98113208] ; [15.98113208 61.01886792],0
b4,1,0.107757,2.586807,[22  8] ; [47 36],[18.31858407 11.68141593] ; [50.68141593 32.31858407],0
p12,1,0.113844,2.500027,[ 2 28] ; [ 1 81],[ 0.80357143 29.19642857] ; [ 2.19642857 79.80357143],0
s3,1,0.130702,2.284153,[ 7 22] ; [33 50],[10.35714286 18.64285714] ; [29.64285714 53.35714286],0
d5,1,0.149245,2.079949,[17 13] ; [59 24],[20.17699115  9.82300885] ; [55.82300885 27.17699115],0
a7,1,0.198518,1.653242,[14 16] ; [50 33],[16.99115044 13.00884956] ; [47.00884956 35.99115044],0
a1,1,0.205055,1.606002,[ 4 26] ; [ 5 78],[ 2.38938053 27.61061947] ; [ 6.61061947 76.38938053],0
n3,1,0.209482,1.575,[4 6] ; [20 12],[5.71428571 4.28571429] ; [18.28571429 13.71428571],0
s7,1,0.212105,1.556999,[ 5 23] ; [24 56],[ 7.51851852 20.48148148] ; [21.48148148 58.51851852],0
d4,1,0.212173,1.556536,[18 12] ; [60 23],[20.7079646  9.2920354] ; [57.2920354 25.7079646],0
a3,1,0.275672,1.188303,[15 15] ; [51 32],[17.52212389 12.47787611] ; [48.47787611 34.52212389],0
n4,1,0.343148,0.898636,[21  9] ; [50 33],[18.84955752 11.15044248] ; [52.15044248 30.84955752],0
s4,1,0.464751,0.534428,[ 4 26] ; [16 67],[ 5.30973451 24.69026549] ; [14.69026549 68.30973451],0
a6,1,0.551216,0.355142,[14 16] ; [44 39],[15.39823009 14.60176991] ; [42.60176991 40.39823009],0
u1,1,0.630905,0.230835,[ 3 27] ; [ 6 77],[ 2.38938053 27.61061947] ; [ 6.61061947 76.38938053],0
n1,1,0.653484,0.201536,[4 6] ; [10 21],[3.41463415 6.58536585] ; [10.58536585 20.41463415],0
n5,1,0.708697,0.139582,[21  9] ; [55 28],[20.17699115  9.82300885] ; [55.82300885 27.17699115],0
d2,1,0.76958,0.085805,[14 15] ; [37 45],[13.32432432 15.67567568] ; [37.67567568 44.32432432],0
d1,1,0.911933,0.012233,[13 17] ; [35 48],[12.74336283 17.25663717] ; [35.25663717 47.74336283],0
b1,1,0.911933,0.012233,[13 17] ; [35 48],[12.74336283 17.25663717] ; [35.25663717 47.74336283],0
v3,1,0.925996,0.008627,[ 7 23] ; [18 62],[ 6.81818182 23.18181818] ; [18.18181818 61.81818182],0
s1,1,0.934545,0.006745,[ 1 29] ; [ 3 79],[ 1.07142857 28.92857143] ; [ 2.92857143 79.07142857],0
b3,1,0.950297,0.003886,[ 9 10] ; [20 23],[ 8.88709677 10.11290323] ; [20.11290323 22.88709677],0
b2,1,0.950297,0.003886,[ 9 10] ; [20 23],[ 8.88709677 10.11290323] ; [20.11290323 22.88709677],0
v2,1,0.951678,0.003672,[ 9 20] ; [25 54],[ 9.12962963 19.87037037] ; [24.87037037 54.12962963],0
a8,1,0.952469,0.003553,[ 3 27] ; [ 8 69],[ 3.08411215 26.91588785] ; [ 7.91588785 69.08411215],0
a2,1,0.954355,0.003276,[ 3 27] ; [ 8 75],[ 2.92035398 27.07964602] ; [ 8.07964602 74.92035398],0
d3,1,0.954897,0.003199,[15 15] ; [42 41],[15.13274336 14.86725664] ; [41.86725664 41.13274336],0
