Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000859,11.108642,[29 26] ; [ 5 26],[21.74418605 33.25581395] ; [12.25581395 18.74418605],1
p4,1,0.009837,6.664256,[36 20] ; [11 20],[30.25287356 25.74712644] ; [16.74712644 14.25287356],0
u2,1,0.016368,5.762902,[13 17] ; [ 1 13],[ 9.54545455 20.45454545] ; [4.45454545 9.54545455],0
p6,1,0.022617,5.197663,[20 36] ; [ 4 27],[15.44827586 40.55172414] ; [ 8.55172414 22.44827586],0
p3,1,0.024937,5.028243,[29 27] ; [ 8 22],[24.09302326 31.90697674] ; [12.90697674 17.09302326],0
a2,1,0.092336,2.83317,[ 1 55] ; [ 3 28],[ 2.57471264 53.42528736] ; [ 1.42528736 29.57471264],0
b4,1,0.10553,2.619915,[26 30] ; [20 11],[29.6091954 26.3908046] ; [16.3908046 14.6091954],0
b5,1,0.10553,2.619915,[26 30] ; [20 11],[29.6091954 26.3908046] ; [16.3908046 14.6091954],0
s5,1,0.119816,2.419728,[17 37] ; [ 5 26],[13.97647059 40.02352941] ; [ 8.02352941 22.97647059],0
b3,1,0.182602,1.776316,[ 8 30] ; [ 1 15],[ 6.33333333 31.66666667] ; [ 2.66666667 13.33333333],0
b2,1,0.182602,1.776316,[ 8 30] ; [ 1 15],[ 6.33333333 31.66666667] ; [ 2.66666667 13.33333333],0
s8,1,0.184001,1.76501,[30 26] ; [12 19],[27.03448276 28.96551724] ; [14.96551724 16.03448276],0
r2,1,0.210894,1.565278,[49  6] ; [30  1],[50.52325581  4.47674419] ; [28.47674419  2.52325581],0
n1,1,0.310557,1.028307,[6 8] ; [2 7],[4.86956522 9.13043478] ; [3.13043478 5.86956522],0
a6,1,0.311559,1.024056,[28 28] ; [19 12],[30.25287356 25.74712644] ; [16.74712644 14.25287356],0
n5,1,0.318848,0.993665,[45 11] ; [22  9],[43.12643678 12.87356322] ; [23.87356322  7.12643678],0
b1,1,0.331876,0.941565,[24 32] ; [10 21],[21.88505747 34.11494253] ; [12.11494253 18.88505747],0
