Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,31.781525,[27 48] ; [61 14],[44. 31.] ; [44. 31.],1
d1,1,9e-06,19.78406,[30 47] ; [58 20],[43.71612903 33.28387097] ; [44.28387097 33.71612903],1
s2,1,0.000103,15.085321,[43 32] ; [66 11],[53.78289474 21.21710526] ; [55.21710526 21.78289474],1
d2,1,0.00015,14.36764,[24 53] ; [48 30],[35.76774194 41.23225806] ; [36.23225806 41.76774194],1
s3,1,0.000525,12.02569,[45 31] ; [65 12],[54.64052288 21.35947712] ; [55.35947712 21.64052288],1
u1,1,0.000534,11.991311,[ 6 71] ; [23 55],[14.40645161 62.59354839] ; [14.59354839 63.40645161],1
p1,1,0.00156,10.005883,[ 1 76] ; [12 66],[ 6.45806452 70.54193548] ; [ 6.54193548 71.45806452],0
s6,1,0.002263,9.322949,[55 18] ; [71  5],[61.73154362 11.26845638] ; [64.26845638 11.73154362],0
s5,1,0.00906,6.810919,[29 41] ; [45 26],[36.73758865 33.26241135] ; [37.26241135 33.73758865],0
p5,1,0.009776,6.6753,[ 2 75] ; [11 67],[ 6.45806452 70.54193548] ; [ 6.54193548 71.45806452],0
p6,1,0.011041,6.458735,[25 51] ; [41 36],[32.78431373 43.21568627] ; [33.21568627 43.78431373],0
v1,1,0.014588,5.965508,[27 49] ; [43 35],[34.54545455 41.45454545] ; [35.45454545 42.54545455],0
a2,1,0.016378,5.761788,[ 9 68] ; [21 57],[14.90322581 62.09677419] ; [15.09677419 62.90322581],0
d5,1,0.02192,5.252121,[55 21] ; [68 10],[60.7012987 15.2987013] ; [62.2987013 15.7012987],0
p7,1,0.02638,4.930947,[42 33] ; [55 20],[48.5 26.5] ; [48.5 26.5],0
p4,1,0.028349,4.806723,[39 38] ; [53 25],[45.70322581 31.29677419] ; [46.29677419 31.70322581],0
b1,1,0.033767,4.506463,[21 56] ; [34 44],[27.32258065 49.67741935] ; [27.67741935 50.32258065],0
p9,1,0.035226,4.434176,[59 16] ; [70  7],[63.65131579 11.34868421] ; [65.34868421 11.65131579],0
a3,1,0.03586,4.403739,[45 32] ; [58 20],[51.16774194 25.83225806] ; [51.83225806 26.16774194],0
r4,1,0.041868,4.140517,[64 13] ; [73  5],[68.05806452  8.94193548] ; [68.94193548  9.05806452],0
r2,1,0.049746,3.85,[69  8] ; [75  2],[72.  5.] ; [72.  5.],0
p10,1,0.051644,3.787277,[58 18] ; [68  9],[62.58823529 13.41176471] ; [63.41176471 13.58823529],0
