Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.204661,[62  7] ; [13 20],[50.73529412 18.26470588] ; [24.26470588  8.73529412],1
p9,1,0.006832,7.316645,[65  4] ; [25  8],[60.88235294  8.11764706] ; [29.11764706  3.88235294],0
v1,1,0.02734,4.8692,[40 29] ; [11 21],[34.84158416 34.15841584] ; [16.15841584 15.84158416],0
p11,1,0.03458,4.465795,[57 12] ; [21 12],[52.76470588 16.23529412] ; [25.23529412  7.76470588],0
p10,1,0.040558,4.194379,[64  5] ; [26  7],[60.88235294  8.11764706] ; [29.11764706  3.88235294],0
p5,1,0.058298,3.585156,[11 58] ; [ 1 32],[ 8.11764706 60.88235294] ; [ 3.88235294 29.11764706],0
s8,1,0.07987,3.067537,[42 27] ; [14 19],[37.88235294 31.11764706] ; [18.11764706 14.88235294],0
p3,1,0.101214,2.686314,[49 20] ; [18 15],[45.32352941 23.67647059] ; [21.67647059 11.32352941],0
r1,1,0.106466,2.605909,[56 13] ; [22 11],[52.76470588 16.23529412] ; [25.23529412  7.76470588],0
d1,1,0.106864,2.6,[45 24] ; [16 17],[41.26470588 27.73529412] ; [19.73529412 13.26470588],0
a3,1,0.13268,2.260859,[50 19] ; [19 14],[46.67647059 22.32352941] ; [22.32352941 10.67647059],0
a2,1,0.14359,2.139058,[17 52] ; [ 4 29],[14.20588235 54.79411765] ; [ 6.79411765 26.20588235],0
r2,1,0.153706,2.035077,[61  8] ; [32  1],[62.91176471  6.08823529] ; [30.08823529  2.91176471],0
u3,1,0.166926,1.91034,[ 9 10] ; [10  4],[10.93939394  8.06060606] ; [8.06060606 5.93939394],0
v4,1,0.17539,1.836258,[67  2] ; [30  3],[65.61764706  3.38235294] ; [31.38235294  1.61764706],0
p8,1,0.186588,1.744355,[50 18] ; [20 13],[47.12871287 20.87128713] ; [22.87128713 10.12871287],0
p12,1,0.211179,1.563325,[ 7 62] ; [ 1 32],[ 5.41176471 63.58823529] ; [ 2.58823529 30.41176471],0
a4,1,0.212031,1.557505,[32 37] ; [11 22],[29.08823529 39.91176471] ; [13.91176471 19.08823529],0
b5,1,0.220196,1.503093,[35 34] ; [21 12],[37.88235294 31.11764706] ; [18.11764706 14.88235294],0
s2,1,0.22727,1.457863,[50 19] ; [20 13],[47.35294118 21.64705882] ; [22.64705882 10.35294118],0
u1,1,0.243128,1.362366,[15 54] ; [ 4 29],[12.85294118 56.14705882] ; [ 6.14705882 26.85294118],0
u2,1,0.24706,1.33985,[ 7 12] ; [8 6],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
n6,1,0.258095,1.278947,[60  9] ; [25  7],[58.06930693 10.93069307] ; [26.93069307  5.06930693],0
n2,1,0.276986,1.181818,[12  1] ; [10  3],[11.  2.] ; [11.  2.],0
p4,1,0.277271,1.180419,[53 16] ; [22 11],[50.73529412 18.26470588] ; [24.26470588  8.73529412],0
s5,1,0.283501,1.15023,[39 26] ; [15 16],[36.5625 28.4375] ; [17.4375 13.5625],0
d2,1,0.356801,0.849121,[36 33] ; [14 19],[33.82352941 35.17647059] ; [16.17647059 16.82352941],0
r4,1,0.365735,0.818105,[61  8] ; [27  6],[59.52941176  9.47058824] ; [28.47058824  4.52941176],0
a7,1,0.44442,0.584843,[42 27] ; [22 10],[43.72277228 25.27722772] ; [20.27722772 11.72277228],0
d3,1,0.452525,0.564321,[49 20] ; [25  7],[50.55445545 18.44554455] ; [23.44554455  8.55445545],0
a6,1,0.455203,0.557663,[45 24] ; [19 14],[43.29411765 25.70588235] ; [20.70588235 12.29411765],0
