Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6.3e-05,16.020392,[49  9] ; [72 61],[36.7434555 21.2565445] ; [84.2565445 48.7434555],1
a5,1,0.000958,10.906889,[49  9] ; [80 53],[39.17277487 18.82722513] ; [89.82722513 43.17277487],1
s7,1,0.001354,10.267857,[38 18] ; [54 74],[28. 28.] ; [64. 64.],0
s4,1,0.002373,9.236111,[16 41] ; [ 14 119],[ 9. 48.] ; [ 21. 112.],0
s2,1,0.005778,7.618359,[39 18] ; [62 71],[30.3 26.7] ; [70.7 62.3],0
s8,1,0.007777,7.084051,[32 26] ; [46 87],[23.68586387 34.31413613] ; [54.31413613 78.68586387],0
d4,1,0.015395,5.870642,[52  6] ; [97 34],[45.72486772 12.27513228] ; [103.27513228  27.72486772],0
a2,1,0.021059,5.321935,[23 35] ; [ 31 102],[16.39790576 41.60209424] ; [37.60209424 95.39790576],0
a3,1,0.024405,5.065595,[48  9] ; [91 42],[41.7 15.3] ; [97.3 35.7],0
d5,1,0.02548,4.990984,[51  7] ; [96 35],[45.11111111 12.88888889] ; [101.88888889  29.11111111],0
d1,1,0.039412,4.243011,[36 22] ; [61 72],[29.45549738 28.54450262] ; [67.54450262 65.45549738],0
p1,1,0.043462,4.077328,[ 5 53] ; [  3 130],[ 2.42931937 55.57068063] ; [  5.57068063 127.42931937],0
n6,1,0.090478,2.865849,[49  7] ; [102  31],[44.74074074 11.25925926] ; [106.25925926  26.74074074],0
p9,1,0.091716,2.843992,[51  7] ; [103  30],[46.76439791 11.23560209] ; [107.23560209  25.76439791],0
v4,1,0.093042,2.820933,[55  1] ; [121  11],[52.42553191  3.57446809] ; [123.57446809   8.42553191],0
d2,1,0.099671,2.710806,[33 25] ; [58 74],[27.77894737 30.22105263] ; [63.22105263 68.77894737],0
s3,1,0.099757,2.709418,[39 17] ; [75 57],[33.95744681 22.04255319] ; [80.04255319 51.95744681],0
u1,1,0.136179,2.220611,[16 42] ; [ 24 109],[12.14659686 45.85340314] ; [ 27.85340314 105.14659686],0
v3,1,0.138308,2.19668,[15 42] ; [48 80],[19.41081081 37.58918919] ; [43.58918919 84.41081081],0
p2,1,0.13982,2.179941,[52  6] ; [107  25],[48.53684211  9.46315789] ; [110.46315789  21.53684211],0
r2,1,0.154153,2.030665,[53  2] ; [119  13],[50.58823529  4.41176471] ; [121.41176471  10.58823529],0
b1,1,0.17092,1.874858,[20 38] ; [60 73],[24.29319372 33.70680628] ; [55.70680628 77.29319372],0
p6,1,0.178405,1.810861,[24 34] ; [41 90],[19.94708995 38.05291005] ; [45.05291005 85.94708995],0
a4,1,0.191232,1.708102,[31 27] ; [57 75],[26.86315789 31.13684211] ; [61.13684211 70.86315789],0
a1,1,0.198126,1.656135,[ 1 57] ; [  8 125],[ 2.73298429 55.26701571] ; [  6.26701571 126.73298429],0
v1,1,0.204223,1.611915,[31 24] ; [60 70],[27.05405405 27.94594595] ; [63.94594595 66.05405405],0
r3,1,0.205177,1.605133,[56  1] ; [125   8],[54.3  2.7] ; [126.7   6.3],0
p4,1,0.215016,1.537327,[34 24] ; [65 68],[30.06282723 27.93717277] ; [68.93717277 64.06282723],0
n4,1,0.224197,1.477304,[44 12] ; [93 40],[40.59259259 15.40740741] ; [96.40740741 36.59259259],0
p10,1,0.26179,1.259266,[47 10] ; [99 33],[44.03174603 12.96825397] ; [101.96825397  30.03174603],0
r1,1,0.26179,1.259266,[47 10] ; [99 33],[44.03174603 12.96825397] ; [101.96825397  30.03174603],0
p11,1,0.41395,0.667427,[38 20] ; [95 38],[40.38743455 17.61256545] ; [92.61256545 40.38743455],0
n1,1,0.433517,0.613383,[ 7 11] ; [ 9 23],[ 5.76 12.24] ; [10.24 21.76],0
d3,1,0.434619,0.610448,[40 18] ; [82 48],[37.63829787 20.36170213] ; [84.36170213 45.63829787],0
r4,1,0.457753,0.551382,[52  6] ; [114  19],[50.40837696  7.59162304] ; [115.59162304  17.40837696],0
b5,1,0.487945,0.481055,[34 24] ; [85 48],[36.13612565 21.86387435] ; [82.86387435 50.13612565],0
n5,1,0.492371,0.471341,[41 15] ; [90 42],[39.0212766 16.9787234] ; [91.9787234 40.0212766],0
n2,1,0.536594,0.381888,[14  4] ; [23 10],[13.05882353  4.94117647] ; [23.94117647  9.05882353],0
