Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.513785,[29 35] ; [ 5 60],[16.86821705 47.13178295] ; [17.13178295 47.86821705],1
p8,1,9e-06,19.77538,[39 24] ; [15 50],[26.578125 36.421875] ; [27.421875 37.578125],1
p4,1,5.1e-05,16.399753,[39 25] ; [17 49],[27.56923077 36.43076923] ; [28.43076923 37.56923077],1
p3,1,9.3e-05,15.278584,[34 30] ; [13 52],[23.31782946 40.68217054] ; [23.68217054 41.31782946],1
p2,1,0.000525,12.024146,[53 11] ; [36 30],[43.81538462 20.18461538] ; [45.18461538 20.81538462],1
v4,1,0.003958,8.302839,[60  4] ; [49 16],[54.07751938  9.92248062] ; [54.92248062 10.07751938],0
r3,1,0.011848,6.333506,[56  8] ; [45 20],[50.10852713 13.89147287] ; [50.89147287 14.10852713],0
b3,1,0.039142,4.254682,[ 6 35] ; [11 20],[ 9.68055556 31.31944444] ; [ 7.31944444 23.68055556],0
b2,1,0.039142,4.254682,[ 6 35] ; [11 20],[ 9.68055556 31.31944444] ; [ 7.31944444 23.68055556],0
d3,1,0.047569,3.925165,[23 39] ; [14 52],[17.921875 44.078125] ; [19.078125 46.921875],0
u2,1,0.05555,3.665512,[18 20] ; [ 9 26],[14.05479452 23.94520548] ; [12.94520548 22.05479452],0
v2,1,0.060533,3.522727,[27 35] ; [17 45],[22. 40.] ; [22. 40.],0
d5,1,0.066998,3.355086,[31 32] ; [22 44],[25.88372093 37.11627907] ; [27.11627907 38.88372093],0
r4,1,0.074495,3.181095,[49 15] ; [41 25],[44.30769231 19.69230769] ; [45.69230769 20.30769231],0
p11,1,0.083943,2.986851,[47 17] ; [39 27],[42.33846154 21.66153846] ; [43.66153846 22.33846154],0
a7,1,0.088748,2.896932,[39 24] ; [31 35],[34.18604651 28.81395349] ; [35.81395349 30.18604651],0
n3,1,0.093135,2.819332,[15  2] ; [17  9],[12.65116279  4.34883721] ; [19.34883721  6.65116279],0
a1,1,0.102334,2.668787,[ 1 63] ; [ 5 61],[ 2.95384615 61.04615385] ; [ 3.04615385 62.95384615],0
v3,1,0.115785,2.47343,[22 42] ; [14 50],[18. 46.] ; [18. 46.],0
r1,1,0.151011,2.062004,[40 24] ; [33 33],[35.93846154 28.06153846] ; [37.06153846 28.93846154],0
p5,1,0.163338,1.943048,[ 7 56] ; [ 3 63],[ 4.88372093 58.11627907] ; [ 5.11627907 60.88372093],0
s7,1,0.191539,1.705738,[15 44] ; [10 53],[12.09016393 46.90983607] ; [12.90983607 50.09016393],0
s3,1,0.193097,1.693827,[26 37] ; [19 44],[22.5 40.5] ; [22.5 40.5],0
n5,1,0.249503,1.326087,[43 20] ; [51 15],[45.90697674 17.09302326] ; [48.09302326 17.90697674],0
s1,1,0.27024,1.215526,[ 2 60] ; [ 5 60],[ 3.41732283 58.58267717] ; [ 3.58267717 61.41732283],0
s2,1,0.278693,1.173451,[16 48] ; [11 53],[13.5 50.5] ; [13.5 50.5],0
a4,1,0.332972,0.937305,[15 48] ; [11 54],[12.796875 50.203125] ; [13.203125 51.796875],0
a3,1,0.373886,0.790709,[26 38] ; [31 33],[28.5 35.5] ; [28.5 35.5],0
p1,1,0.396127,0.720052,[10 54] ; [ 7 59],[ 8.36923077 55.63076923] ; [ 8.63076923 57.36923077],0
p10,1,0.405183,0.692891,[40 23] ; [36 28],[37.7007874 25.2992126] ; [38.2992126 25.7007874],0
b1,1,0.495841,0.463827,[28 36] ; [25 41],[26.09230769 37.90769231] ; [26.90769231 39.09230769],0
