Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000736,11.395692,[ 4 10] ; [20  4],[8.84210526 5.15789474] ; [15.15789474  8.84210526],1
a8,1,0.030197,4.698025,[5 8] ; [ 2 21],[ 2.52777778 10.47222222] ; [ 4.47222222 18.52777778],0
a2,1,0.031808,4.608802,[ 4 10] ; [ 1 23],[ 1.84210526 12.15789474] ; [ 3.15789474 20.84210526],0
p2,1,0.047544,3.92602,[6 8] ; [18  6],[8.84210526 5.15789474] ; [15.15789474  8.84210526],0
b4,1,0.048642,3.887649,[11  3] ; [11 13],[8.10526316 5.89473684] ; [13.89473684 10.10526316],0
p3,1,0.057371,3.611814,[ 1 13] ; [ 8 15],[ 3.40540541 10.59459459] ; [ 5.59459459 17.40540541],0
p4,1,0.076322,3.141534,[ 4 10] ; [14 10],[6.63157895 7.36842105] ; [11.36842105 12.63157895],0
r4,1,0.079844,3.068071,[ 2 12] ; [10 14],[4.42105263 9.57894737] ; [ 7.57894737 16.42105263],0
a5,1,0.082187,3.021118,[11  3] ; [12 12],[8.47368421 5.52631579] ; [14.52631579  9.47368421],0
s6,1,0.125847,2.343004,[ 4 10] ; [13 11],[6.26315789 7.73684211] ; [10.73684211 13.26315789],0
u2,1,0.136641,2.215385,[2 3] ; [10  3],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
p10,1,0.139488,2.183598,[6 7] ; [17  7],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
d2,1,0.148731,2.085217,[6 8] ; [ 5 19],[4.05263158 9.94736842] ; [ 6.94736842 17.05263158],0
p11,1,0.148731,2.085217,[8 6] ; [19  5],[9.94736842 4.05263158] ; [17.05263158  6.94736842],0
n6,1,0.15158,2.056277,[6 8] ; [16  8],[8.10526316 5.89473684] ; [13.89473684 10.10526316],0
a3,1,0.172773,1.85872,[9 4] ; [11 13],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
n4,1,0.178565,1.809524,[9 5] ; [10 14],[7. 7.] ; [12. 12.],0
s5,1,0.26424,1.246404,[ 1 13] ; [ 5 19],[ 2.21052632 11.78947368] ; [ 3.78947368 20.21052632],0
u1,1,0.264486,1.245125,[ 2 12] ; [ 1 23],[ 1.10526316 12.89473684] ; [ 1.89473684 22.10526316],0
p9,1,0.301468,1.067688,[7 6] ; [17  7],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
a6,1,0.310624,1.028019,[7 7] ; [16  8],[8.47368421 5.52631579] ; [14.52631579  9.47368421],0
d4,1,0.314956,1.009779,[9 5] ; [19  5],[10.31578947  3.68421053] ; [17.68421053  6.31578947],0
v2,1,0.329889,0.949333,[5 9] ; [12 11],[6.43243243 7.56756757] ; [10.56756757 12.43243243],0
a4,1,0.390837,0.736337,[6 8] ; [ 7 17],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
p7,1,0.392918,0.729892,[5 9] ; [12 12],[6.26315789 7.73684211] ; [10.73684211 13.26315789],0
n1,1,0.408961,0.681818,[2 3] ; [2 8],[1.33333333 3.66666667] ; [2.66666667 7.33333333],0
n3,1,0.438578,0.6,[4 1] ; [6 4],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
n2,1,0.464214,0.535714,[2 3] ; [6 4],[2.66666667 2.33333333] ; [5.33333333 4.66666667],0
d5,1,0.482367,0.493506,[9 5] ; [18  6],[9.94736842 4.05263158] ; [17.05263158  6.94736842],0
s7,1,0.485972,0.485431,[ 2 10] ; [ 6 16],[2.82352941 9.17647059] ; [ 5.17647059 16.82352941],0
b2,1,0.492353,0.47138,[2 7] ; [4 7],[2.7 6.3] ; [3.3 7.7],0
b3,1,0.492353,0.47138,[2 7] ; [4 7],[2.7 6.3] ; [3.3 7.7],0
r3,1,0.501273,0.452241,[9 4] ; [19  5],[9.83783784 3.16216216] ; [18.16216216  5.83783784],0
p8,1,0.514084,0.425745,[4 9] ; [10 14],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
d1,1,0.575731,0.313187,[ 4 10] ; [ 9 15],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
v1,1,0.575731,0.313187,[ 4 10] ; [ 9 15],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
