Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.827353,[120  18] ; [31 40],[99.70334928 38.29665072] ; [51.29665072 19.70334928],1
r2,1,4e-06,21.226271,[129   9] ; [48 21],[118.  20.] ; [59. 10.],1
v4,1,6.6e-05,15.929116,[124  14] ; [48 23],[113.56937799  24.43062201] ; [58.43062201 12.56937799],1
s6,1,0.000264,13.310779,[75 62] ; [20 51],[62.57211538 74.42788462] ; [32.42788462 38.57211538],1
a7,1,0.000446,12.328376,[101  36] ; [35 36],[89.57692308 47.42307692] ; [46.42307692 24.57692308],1
s8,1,0.000677,11.550674,[48 90] ; [ 9 62],[ 37.63636364 100.36363636] ; [19.36363636 51.63636364],1
r3,1,0.000759,11.338872,[122  15] ; [50 21],[113.28846154  23.71153846] ; [58.71153846 12.28846154],1
u3,1,0.001331,10.299269,[29 18] ; [ 8 24],[22.01265823 24.98734177] ; [14.98734177 17.01265823],0
d4,1,0.004356,8.129296,[113  24] ; [46 25],[104.72596154  32.27403846] ; [54.27403846 16.72596154],0
a5,1,0.004813,7.948261,[92 46] ; [33 38],[82.53588517 55.46411483] ; [42.46411483 28.53588517],0
s3,1,0.00489,7.919527,[65 72] ; [19 51],[55.5942029 81.4057971] ; [28.4057971 41.5942029],0
b3,1,0.007737,7.093314,[18 53] ; [21 21],[24.50442478 46.49557522] ; [14.49557522 27.50442478],0
b2,1,0.007737,7.093314,[18 53] ; [21 21],[24.50442478 46.49557522] ; [14.49557522 27.50442478],0
d3,1,0.010987,6.467424,[93 45] ; [35 36],[84.51674641 53.48325359] ; [43.48325359 27.51674641],0
a6,1,0.013946,6.045002,[94 44] ; [36 35],[85.83732057 52.16267943] ; [44.16267943 26.83732057],0
s7,1,0.018584,5.540267,[47 85] ; [13 54],[39.79899497 92.20100503] ; [20.20100503 46.79899497],0
s2,1,0.021378,5.295723,[50 86] ; [15 56],[42.70531401 93.29468599] ; [22.29468599 48.70531401],0
v2,1,0.022585,5.200171,[52 79] ; [16 52],[44.7638191 86.2361809] ; [23.2361809 44.7638191],0
d5,1,0.029532,4.736345,[107  31] ; [45 26],[100.36363636  37.63636364] ; [51.63636364 19.36363636],0
u1,1,0.040386,4.201596,[ 24 114] ; [ 5 66],[ 19.14832536 118.85167464] ; [ 9.85167464 61.14832536],0
d1,1,0.040587,4.193156,[77 61] ; [29 42],[69.99043062 68.00956938] ; [36.00956938 34.99043062],0
u2,1,0.053946,3.714381,[25 22] ; [10 22],[20.82278481 26.17721519] ; [14.17721519 17.82278481],0
a2,1,0.055787,3.658418,[ 28 110] ; [ 7 64],[ 23.11004785 114.88995215] ; [11.88995215 59.11004785],0
p3,1,0.061641,3.492684,[ 37 100] ; [11 60],[ 31.61538462 105.38461538] ; [16.38461538 54.61538462],0
a1,1,0.066452,3.368556,[  5 133] ; [ 7 64],[  7.92344498 130.07655502] ; [ 4.07655502 66.92344498],0
p6,1,0.071569,3.246665,[ 12 126] ; [12 58],[ 15.92307692 122.07692308] ; [ 8.07692308 61.92307692],0
p10,1,0.095133,2.785298,[88 49] ; [36 33],[82.46601942 54.53398058] ; [41.53398058 27.46601942],0
a3,1,0.104472,2.635907,[91 46] ; [39 32],[85.625 51.375] ; [44.375 26.625],0
p2,1,0.191749,1.70413,[83 55] ; [36 35],[78.57416268 59.42583732] ; [40.42583732 30.57416268],0
s1,1,0.195724,1.673999,[ 10 127] ; [ 2 68],[  7.94202899 129.05797101] ; [ 4.05797101 65.94202899],0
a8,1,0.211817,1.558965,[  7 121] ; [ 7 61],[  9.14285714 118.85714286] ; [ 4.85714286 63.14285714],0
p4,1,0.225845,1.466838,[48 89] ; [19 52],[44.12980769 92.87019231] ; [22.87019231 48.12980769],0
p5,1,0.263314,1.251251,[  6 132] ; [ 1 70],[  4.62200957 133.37799043] ; [ 2.37799043 68.62200957],0
n4,1,0.26891,1.222299,[96 42] ; [44 27],[92.44019139 45.55980861] ; [47.55980861 23.44019139],0
s5,1,0.310125,1.030142,[ 30 103] ; [11 56],[ 27.265 105.735] ; [13.735 53.265],0
n1,1,0.326311,0.963482,[25 31] ; [ 9 18],[22.93975904 33.06024096] ; [11.06024096 15.93975904],0
b4,1,0.326781,0.961611,[93 45] ; [43 28],[89.79904306 48.20095694] ; [46.20095694 24.79904306],0
p12,1,0.339069,0.913948,[  8 130] ; [ 2 69],[  6.60287081 131.39712919] ; [ 3.39712919 67.60287081],0
v3,1,0.391647,0.733823,[33 97] ; [14 56],[30.55 99.45] ; [16.45 53.55],0
p1,1,0.442084,0.590868,[ 11 126] ; [ 8 63],[ 12.51442308 124.48557692] ; [ 6.48557692 64.51442308],0
a4,1,0.562754,0.334958,[59 79] ; [27 43],[57.05769231 80.94230769] ; [28.94230769 41.05769231],0
n5,1,0.627883,0.234942,[88 49] ; [48 23],[89.57692308 47.42307692] ; [46.42307692 24.57692308],0
b5,1,0.642428,0.215581,[77 61] ; [42 29],[78.57416268 59.42583732] ; [40.42583732 30.57416268],0
n6,1,0.652004,0.203383,[105  33] ; [52 19],[103.66507177  34.33492823] ; [53.33492823 17.66507177],0
p8,1,0.678332,0.17201,[ 29 109] ; [13 57],[ 27.86538462 110.13461538] ; [14.13461538 55.86538462],0
s4,1,0.697018,0.151593,[ 24 113] ; [14 57],[ 25.02884615 111.97115385] ; [12.97115385 58.02884615],0
p11,1,0.738144,0.111765,[83 55] ; [41 30],[81.87559809 56.12440191] ; [42.12440191 28.87559809],0
n2,1,0.750679,0.100962,[34 22] ; [18 10],[34.66666667 21.33333333] ; [17.33333333 10.66666667],0
n3,1,0.778123,0.079392,[32 21] ; [16 12],[31.40740741 21.59259259] ; [16.59259259 11.40740741],0
d2,1,0.807282,0.059504,[66 71] ; [32 37],[65.17475728 71.82524272] ; [32.82524272 36.17475728],0
p9,1,0.847091,0.037184,[88 50] ; [43 23],[88.61764706 49.38235294] ; [42.38235294 23.61764706],0
b1,1,0.890039,0.019115,[55 83] ; [29 42],[55.46411483 82.53588517] ; [28.53588517 42.46411483],0
u4,1,0.981251,0.000552,[  2 136] ; [ 1 70],[  1.98086124 136.01913876] ; [ 1.01913876 69.98086124],0
