Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.760534,[13  1] ; [ 6 27],[5.65957447 8.34042553] ; [13.34042553 19.65957447],1
a6,1,0.002335,9.265588,[11  3] ; [10 23],[6.25531915 7.74468085] ; [14.74468085 18.25531915],0
s2,1,0.005033,7.867501,[7 7] ; [ 4 29],[ 3.27659574 10.72340426] ; [ 7.72340426 25.27659574],0
s6,1,0.008979,6.826988,[9 5] ; [ 8 25],[5.06382979 8.93617021] ; [11.93617021 21.06382979],0
s3,1,0.009216,6.780453,[8 6] ; [ 6 26],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
p6,1,0.010731,6.509321,[ 4 10] ; [ 1 31],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
p7,1,0.016288,5.771498,[10  4] ; [11 22],[6.25531915 7.74468085] ; [14.74468085 18.25531915],0
b4,1,0.029927,4.7135,[5 9] ; [23 10],[8.34042553 5.65957447] ; [19.65957447 13.34042553],0
d5,1,0.049674,3.852425,[9 5] ; [11 22],[5.95744681 8.04255319] ; [14.04255319 18.95744681],0
u3,1,0.06399,3.430827,[4 4] ; [ 3 16],[2.07407407 5.92592593] ; [ 4.92592593 14.07407407],0
n6,1,0.103704,2.64764,[11  3] ; [17 15],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
n4,1,0.117811,2.446183,[9 5] ; [13 20],[6.55319149 7.44680851] ; [15.44680851 17.55319149],0
p2,1,0.121241,2.401217,[11  3] ; [18 15],[8.63829787 5.36170213] ; [20.36170213 12.63829787],0
p5,1,0.128047,2.316028,[ 3 11] ; [ 2 30],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
n1,1,0.154229,2.029915,[2 1] ; [ 4 12],[0.94736842 2.05263158] ; [ 5.05263158 10.94736842],0
a8,1,0.203126,1.619753,[ 4 10] ; [ 4 27],[ 2.48888889 11.51111111] ; [ 5.51111111 25.48888889],0
p8,1,0.225845,1.466837,[6 8] ; [ 8 24],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
v3,1,0.2464,1.343602,[ 3 11] ; [ 3 30],[ 1.78723404 12.21276596] ; [ 4.21276596 28.78723404],0
r1,1,0.31513,1.00905,[ 3 11] ; [12 21],[4.46808511 9.53191489] ; [10.53191489 22.46808511],0
v4,1,0.320799,0.985687,[9 5] ; [16 17],[7.44680851 6.55319149] ; [17.55319149 15.44680851],0
b2,1,0.323619,0.974265,[2 9] ; [ 7 13],[3.19354839 7.80645161] ; [ 5.80645161 14.19354839],0
b3,1,0.323619,0.974265,[2 9] ; [ 7 13],[3.19354839 7.80645161] ; [ 5.80645161 14.19354839],0
