Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,58.057133,[103   6] ; [ 9 19],[89.10948905 19.89051095] ; [22.89051095  5.10948905],1
v4,1,0.0,54.379441,[106   2] ; [13 15],[94.5 13.5] ; [24.5  3.5],1
r2,1,0.0,45.436116,[107   2] ; [15 13],[97.06569343 11.93430657] ; [24.93430657  3.06569343],1
r1,1,0.0,40.962799,[89 19] ; [ 6 23],[74.89051095 33.10948905] ; [20.10948905  8.89051095],1
n6,1,0.000114,14.889159,[95 14] ; [16 13],[87.67391304 21.32608696] ; [23.32608696  5.67391304],1
a1,1,0.000128,14.676713,[  1 108] ; [ 5 24],[  4.73913043 104.26086957] ; [ 1.26086957 27.73913043],1
a7,1,0.00028,13.197052,[71 38] ; [ 8 21],[62.39855072 46.60144928] ; [16.60144928 12.39855072],1
p11,1,0.000293,13.115541,[86 23] ; [13 16],[78.19565217 30.80434783] ; [20.80434783  8.19565217],1
p10,1,0.00061,11.746075,[81 25] ; [12 16],[73.56716418 32.43283582] ; [19.43283582  8.56716418],1
v3,1,0.003091,8.753074,[46 59] ; [ 4 25],[39.17910448 65.82089552] ; [10.82089552 18.17910448],0
p3,1,0.003181,8.700653,[55 52] ; [ 6 23],[47.99264706 59.00735294] ; [13.00735294 15.99264706],0
n3,1,0.00498,7.886667,[18  2] ; [7 8],[14.28571429  5.71428571] ; [10.71428571  4.28571429],0
u3,1,0.005319,7.767627,[26 26] ; [ 2 15],[21.10144928 30.89855072] ; [ 6.89855072 10.10144928],0
p9,1,0.005753,7.626048,[83 23] ; [14 13],[77.30827068 28.69172932] ; [19.69172932  7.30827068],0
s6,1,0.005979,7.556746,[65 38] ; [10 19],[58.52272727 44.47727273] ; [16.47727273 12.52272727],0
p8,1,0.007922,7.050924,[54 50] ; [ 7 22],[47.69924812 56.30075188] ; [13.30075188 15.69924812],0
p2,1,0.01058,6.534463,[85 23] ; [16 13],[79.62043796 28.37956204] ; [21.37956204  7.62043796],0
s3,1,0.010622,6.527473,[58 46] ; [ 8 20],[52. 52.] ; [14. 14.],0
v1,1,0.014004,6.037701,[56 49] ; [ 8 21],[50.14925373 54.85074627] ; [13.85074627 15.14925373],0
s8,1,0.016013,5.80148,[40 67] ; [ 4 25],[34.61764706 72.38235294] ; [ 9.38235294 19.61764706],0
p7,1,0.02706,4.886977,[64 41] ; [11 18],[58.76865672 46.23134328] ; [16.23134328 12.76865672],0
b5,1,0.03309,4.541101,[69 40] ; [12 17],[63.97826087 45.02173913] ; [17.02173913 11.97826087],0
v2,1,0.04097,4.177244,[47 54] ; [ 7 21],[42.27906977 58.72093023] ; [11.72093023 16.27906977],0
a5,1,0.064188,3.425737,[66 43] ; [12 17],[61.60869565 47.39130435] ; [16.39130435 12.60869565],0
p4,1,0.066049,3.378577,[58 50] ; [10 19],[53.60583942 54.39416058] ; [14.39416058 14.60583942],0
n2,1,0.066489,3.367641,[19  3] ; [9 6],[16.64864865  5.35135135] ; [11.35135135  3.64864865],0
b1,1,0.071752,3.242488,[40 69] ; [16 13],[44.23188406 64.76811594] ; [11.76811594 17.23188406],0
a8,1,0.119231,2.427394,[14 83] ; [ 1 27],[11.64 85.36] ; [ 3.36 24.64],0
s7,1,0.145203,2.121934,[43 58] ; [ 7 19],[39.76377953 61.23622047] ; [10.23622047 15.76377953],0
s5,1,0.156371,2.008972,[27 75] ; [ 4 25],[24.13740458 77.86259542] ; [ 6.86259542 22.13740458],0
d5,1,0.203255,1.618832,[52 57] ; [10 19],[48.97101449 60.02898551] ; [13.02898551 15.97101449],0
p6,1,0.203521,1.616924,[36 70] ; [ 6 22],[33.2238806 72.7761194] ; [ 8.7761194 19.2238806],0
s2,1,0.223782,1.47995,[38 67] ; [ 7 22],[35.26119403 69.73880597] ; [ 9.73880597 19.26119403],0
a3,1,0.349426,0.875539,[57 51] ; [12 16],[54.79411765 53.20588235] ; [14.20588235 13.79411765],0
d3,1,0.358292,0.843869,[36 73] ; [ 7 22],[33.96376812 75.03623188] ; [ 9.03623188 19.96376812],0
p12,1,0.363737,0.824951,[ 9 98] ; [ 1 28],[ 7.86764706 99.13235294] ; [ 2.13235294 26.86764706],0
a6,1,0.371537,0.798518,[70 39] ; [16 13],[67.92753623 41.07246377] ; [18.07246377 10.92753623],0
d2,1,0.494785,0.466103,[27 82] ; [ 9 20],[28.43478261 80.56521739] ; [ 7.56521739 21.43478261],0
a2,1,0.514451,0.425003,[12 97] ; [ 2 27],[11.05797101 97.94202899] ; [ 2.94202899 26.05797101],0
d1,1,0.542505,0.370917,[  7 102] ; [ 1 28],[  6.31884058 102.68115942] ; [ 1.68115942 27.31884058],0
b2,1,0.607809,0.263378,[19 50] ; [ 7 14],[19.93333333 49.06666667] ; [ 6.06666667 14.93333333],0
b3,1,0.607809,0.263378,[19 50] ; [ 7 14],[19.93333333 49.06666667] ; [ 6.06666667 14.93333333],0
n1,1,0.637809,0.22162,[12 10] ; [7 8],[11.2972973 10.7027027] ; [7.7027027 7.2972973],0
a4,1,0.675555,0.175173,[29 78] ; [ 9 20],[29.89705882 77.10294118] ; [ 8.10294118 20.89705882],0
p1,1,0.708238,0.140044,[18 90] ; [ 4 25],[17.34306569 90.65693431] ; [ 4.65693431 24.34306569],0
n5,1,0.715898,0.132457,[95 14] ; [26  3],[95.57246377 13.42753623] ; [25.42753623  3.57246377],0
s4,1,0.717614,0.130791,[19 88] ; [ 6 23],[19.66911765 87.33088235] ; [ 5.33088235 23.66911765],0
s1,1,0.811986,0.05658,[ 6 99] ; [ 2 27],[ 6.26865672 98.73134328] ; [ 1.73134328 27.26865672],0
u2,1,0.842173,0.039647,[20 32] ; [ 7 10],[20.34782609 31.65217391] ; [ 6.65217391 10.34782609],0
u1,1,0.954771,0.003217,[  4 105] ; [ 1 28],[  3.94927536 105.05072464] ; [ 1.05072464 27.94927536],0
b4,1,0.990286,0.000148,[60 49] ; [16 13],[60.02898551 48.97101449] ; [15.97101449 13.02898551],0
