Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.8e-05,16.542141,[ 70 103] ; [97 57],[88.35168196 84.64831804] ; [78.64831804 75.35168196],1
n5,1,0.000123,14.752126,[101  78] ; [122  38],[117.74926254  61.25073746] ; [105.25073746  54.74926254],1
n4,1,0.000151,14.360777,[108  73] ; [126  34],[124.20527859  56.79472141] ; [109.79472141  50.20527859],1
p3,1,0.000358,12.740504,[ 57 125] ; [80 79],[ 73.1202346 108.8797654] ; [63.8797654 95.1202346],1
p2,1,0.000559,11.907942,[131  50] ; [140  20],[143.84457478  37.15542522] ; [127.15542522  32.84457478],1
v3,1,0.000611,11.741595,[ 42 136] ; [63 90],[ 56.4652568 121.5347432] ; [ 48.5347432 104.4652568],1
p9,1,0.000737,11.393734,[126  52] ; [136  22],[138.79761905  39.20238095] ; [123.20238095  34.79761905],1
p4,1,0.002248,9.334789,[ 77 103] ; [95 65],[91.05882353 88.94117647] ; [80.94117647 79.05882353],0
p8,1,0.003752,8.400082,[ 72 107] ; [88 69],[85.23809524 93.76190476] ; [74.76190476 82.23809524],0
p11,1,0.006939,7.288703,[126  56] ; [131  29],[136.76608187  45.23391813] ; [120.23391813  39.76608187],0
r2,1,0.010829,6.493149,[159  20] ; [153   6],[165.23076923  13.76923077] ; [146.76923077  12.23076923],0
n6,1,0.021683,5.271021,[133  48] ; [134  26],[141.72140762  39.27859238] ; [125.27859238  34.72140762],0
p6,1,0.023278,5.147618,[ 39 142] ; [ 51 106],[ 48.19526627 132.80473373] ; [ 41.80473373 115.19526627],0
s5,1,0.023541,5.128119,[ 26 151] ; [ 38 117],[ 34.12048193 142.87951807] ; [ 29.87951807 125.12048193],0
p7,1,0.025574,4.984605,[86 91] ; [96 62],[96.16119403 80.83880597] ; [85.83880597 72.16119403],0
r4,1,0.027831,4.838499,[150  32] ; [145  15],[156.98830409  25.01169591] ; [138.01169591  21.98830409],0
p5,1,0.028847,4.776692,[  5 174] ; [ 13 147],[  9.50442478 169.49557522] ; [  8.49557522 151.50442478],0
p10,1,0.033185,4.536218,[123  53] ; [128  32],[131.47619048  44.52380952] ; [119.52380952  40.47619048],0
b3,1,0.041404,4.159395,[22 66] ; [35 54],[28.33898305 59.66101695] ; [28.66101695 60.33898305],0
b2,1,0.041404,4.159395,[22 66] ; [35 54],[28.33898305 59.66101695] ; [28.66101695 60.33898305],0
a5,1,0.044107,4.052476,[117  65] ; [119  41],[125.59064327  56.40935673] ; [110.40935673  49.59064327],0
v4,1,0.050748,3.816577,[163  18] ; [152   7],[167.69117647  13.30882353] ; [147.30882353  11.69117647],0
s6,1,0.055378,3.670673,[82 99] ; [87 69],[90.76854599 90.23145401] ; [78.23145401 77.76854599],0
a4,1,0.056967,3.623558,[ 64 118] ; [72 87],[ 72.58651026 109.41348974] ; [63.41348974 95.58651026],0
