Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,155.679883,[393 151] ; [ 9 99],[335.41104294 208.58895706] ; [66.58895706 41.41104294],1
d4,1,0.0,63.039895,[487  57] ; [64 44],[459.73006135  84.26993865] ; [91.26993865 16.73006135],1
d3,1,0.0,32.137601,[446  97] ; [62 46],[423.7235023 119.2764977] ; [84.2764977 23.7235023],1
d2,1,0.0,29.516798,[286 257] ; [26 82],[260.23963134 282.76036866] ; [51.76036866 56.23963134],1
a4,1,2e-06,22.390661,[260 283] ; [25 83],[237.71889401 305.28110599] ; [47.28110599 60.71889401],1
u1,1,2e-06,22.34666,[137 407] ; [  5 103],[118.47852761 425.52147239] ; [23.52147239 84.47852761],1
a2,1,4e-06,21.071671,[174 370] ; [11 97],[154.35582822 389.64417178] ; [30.64417178 77.35582822],1
a3,1,1.6e-05,18.622436,[403 139] ; [58 50],[384.40307692 157.59692308] ; [76.59692308 31.40307692],1
a5,1,1.9e-05,18.324738,[420 124] ; [62 46],[402.1595092 141.8404908] ; [79.8404908 28.1595092],1
p2,1,0.01094,6.475116,[467  74] ; [82 25],[458.34722222  82.65277778] ; [90.65277778 16.34722222],0
s8,1,0.017601,5.635442,[239 302] ; [34 73],[227.9212963 313.0787037] ; [45.0787037 61.9212963],0
n4,1,0.022494,5.207146,[417 126] ; [71 36],[407.66769231 135.33230769] ; [80.33230769 26.66769231],0
a6,1,0.029978,4.710539,[429 114] ; [75 33],[420.38709677 122.61290323] ; [83.61290323 24.38709677],0
p4,1,0.035876,4.403008,[338 204] ; [54 51],[328.38330757 213.61669243] ; [63.61669243 41.38330757],0
v1,1,0.052133,3.771501,[291 237] ; [47 58],[281.93364929 246.06635071] ; [56.06635071 48.93364929],0
p3,1,0.077383,3.119029,[273 268] ; [44 63],[264.6558642 276.3441358] ; [52.3441358 54.6558642],0
r2,1,0.086565,2.937115,[517  20] ; [100   8],[513.68837209  23.31162791] ; [103.31162791   4.68837209],0
n2,1,0.106869,2.599915,[80 35] ; [19  3],[83.10218978 31.89781022] ; [15.89781022  6.10218978],0
p1,1,0.120934,2.405177,[ 41 498] ; [13 94],[ 45.05572755 493.94427245] ; [ 8.94427245 98.05572755],0
s6,1,0.126647,2.333134,[367 168] ; [64 41],[360.2890625 174.7109375] ; [70.7109375 34.2890625],0
r1,1,0.139378,2.184814,[451  88] ; [84 24],[445.69551777  93.30448223] ; [89.30448223 18.69551777],0
p9,1,0.178502,1.81005,[455  78] ; [85 21],[450.42253521  82.57746479] ; [89.57746479 16.42253521],0
v2,1,0.196173,1.670641,[313 204] ; [57 49],[307.04654896 209.95345104] ; [62.95345104 43.04654896],0
n5,1,0.248727,1.330439,[393 147] ; [72 35],[388.09891808 151.90108192] ; [76.90108192 30.09891808],0
p5,1,0.316818,1.002037,[ 53 485] ; [14 93],[ 55.88527132 482.11472868] ; [11.11472868 95.88527132],0
r4,1,0.327462,0.95891,[508  36] ; [98 10],[505.6196319  38.3803681] ; [100.3803681   7.6196319],0
u2,1,0.337603,0.919514,[84 56] ; [25 23],[81.17021277 58.82978723] ; [27.82978723 20.17021277],0
b1,1,0.347381,0.883003,[181 363] ; [41 67],[185.22699387 358.77300613] ; [36.77300613 71.22699387],0
s4,1,0.362572,0.828966,[ 82 453] ; [20 86],[ 85.1326053 449.8673947] ; [16.8673947 89.1326053],0
s5,1,0.42811,0.627944,[168 355] ; [29 74],[164.58626198 358.41373802] ; [32.41373802 70.58626198],0
a1,1,0.48173,0.494944,[ 23 521] ; [  3 105],[ 21.69325153 522.30674847] ; [  4.30674847 103.69325153],0
