Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,34.997205,[93 12] ; [ 7 15],[82.67716535 22.32283465] ; [17.32283465  4.67716535],1
d1,1,3e-06,21.613379,[62 43] ; [ 1 21],[52.08661417 52.91338583] ; [10.91338583 11.08661417],1
d3,1,0.000603,11.766622,[74 31] ; [ 7 15],[66.96850394 38.03149606] ; [14.03149606  7.96850394],1
a4,1,0.002858,8.895966,[45 60] ; [ 2 20],[38.85826772 66.14173228] ; [ 8.14173228 13.85826772],0
d2,1,0.012526,6.234911,[44 61] ; [ 3 19],[38.85826772 66.14173228] ; [ 8.14173228 13.85826772],0
a7,1,0.017842,5.611573,[79 26] ; [11 11],[74.40944882 30.59055118] ; [15.59055118  6.40944882],0
s5,1,0.02566,4.978768,[28 70] ; [ 1 19],[24.08474576 73.91525424] ; [ 4.91525424 15.08474576],0
p1,1,0.026904,4.896988,[ 5 99] ; [ 4 18],[ 7.42857143 96.57142857] ; [ 1.57142857 20.42857143],0
a5,1,0.034311,4.479125,[64 41] ; [ 8 14],[59.52755906 45.47244094] ; [12.47244094  9.52755906],0
a8,1,0.057439,3.609817,[ 4 95] ; [ 3 17],[ 5.82352941 93.17647059] ; [ 1.17647059 18.82352941],0
p8,1,0.093149,2.819095,[17 87] ; [ 7 15],[19.80952381 84.19047619] ; [ 4.19047619 17.80952381],0
v2,1,0.101281,2.685252,[53 47] ; [ 7 14],[49.58677686 50.41322314] ; [10.41322314 10.58677686],0
v4,1,0.147798,2.094835,[87 18] ; [20  1],[89.16666667 15.83333333] ; [17.83333333  3.16666667],0
p11,1,0.15146,2.057485,[54 51] ; [15  7],[57.04724409 47.95275591] ; [11.95275591 10.04724409],0
n2,1,0.174409,1.844636,[19 17] ; [7 2],[20.8 15.2] ; [5.2 3.8],0
a3,1,0.209549,1.57454,[63 42] ; [10 12],[60.35433071 44.64566929] ; [12.64566929  9.35433071],0
a2,1,0.245528,1.348573,[14 91] ; [ 1 21],[12.4015748 92.5984252] ; [ 2.5984252 19.4015748],0
s1,1,0.288388,1.127132,[  4 101] ; [ 2 20],[  4.96062992 100.03937008] ; [ 1.03937008 20.96062992],0
s2,1,0.324872,0.969231,[42 63] ; [ 6 15],[40. 65.] ; [ 8. 13.],0
b5,1,0.338354,0.916658,[60 45] ; [15  7],[62.00787402 42.99212598] ; [12.99212598  9.00787402],0
v3,1,0.358831,0.841981,[28 69] ; [ 4 17],[26.30508475 70.69491525] ; [ 5.69491525 15.30508475],0
s8,1,0.37362,0.791589,[24 81] ; [ 7 15],[25.62992126 79.37007874] ; [ 5.37007874 16.62992126],0
n3,1,0.381183,0.766885,[21 15] ; [6 2],[22.09090909 13.90909091] ; [4.90909091 3.09090909],0
u2,1,0.403362,0.69828,[26 15] ; [6 6],[24.75471698 16.24528302] ; [7.24528302 4.75471698],0
b3,1,0.555393,0.347745,[21 32] ; [4 9],[20.07575758 32.92424242] ; [4.92424242 8.07575758],0
b2,1,0.555393,0.347745,[21 32] ; [4 9],[20.07575758 32.92424242] ; [4.92424242 8.07575758],0
p10,1,0.577944,0.30957,[52 51] ; [12  9],[53.16129032 49.83870968] ; [10.83870968 10.16129032],0
p9,1,0.59109,0.288645,[61 40] ; [14  7],[62.09016393 38.90983607] ; [12.90983607  8.09016393],0
v1,1,0.616486,0.250838,[43 59] ; [ 8 14],[41.9516129 60.0483871] ; [ 9.0483871 12.9516129],0
s7,1,0.63973,0.219095,[28 69] ; [ 5 16],[27.12711864 69.87288136] ; [ 5.87288136 15.12711864],0
s4,1,0.693079,0.155772,[20 85] ; [ 5 17],[20.66929134 84.33070866] ; [ 4.33070866 17.66929134],0
b1,1,0.696643,0.151988,[38 67] ; [ 7 15],[37.20472441 67.79527559] ; [ 7.79527559 14.20472441],0
a6,1,0.696994,0.151618,[62 43] ; [12 10],[61.18110236 43.81889764] ; [12.81889764  9.18110236],0
u3,1,0.706491,0.141807,[27 15] ; [7 5],[26.44444444 15.55555556] ; [7.55555556 4.44444444],0
n6,1,0.714007,0.134308,[57 48] ; [11 11],[56.22047244 48.77952756] ; [11.77952756 10.22047244],0
p6,1,0.739985,0.11014,[12 92] ; [ 2 20],[11.55555556 92.44444444] ; [ 2.44444444 19.55555556],0
r4,1,0.769192,0.086103,[78 27] ; [17  5],[78.54330709 26.45669291] ; [16.45669291  5.54330709],0
r1,1,0.780951,0.077329,[74 30] ; [15  7],[73.46031746 30.53968254] ; [15.53968254  6.46031746],0
r2,1,0.794715,0.0677,[91 12] ; [19  3],[90.64 12.36] ; [19.36  2.64],0
b4,1,0.805275,0.060775,[65 40] ; [13  9],[64.48818898 40.51181102] ; [13.51181102  8.48818898],0
n4,1,0.814093,0.055295,[41 64] ; [ 8 14],[40.51181102 64.48818898] ; [ 8.48818898 13.51181102],0
p4,1,0.832662,0.044643,[31 74] ; [ 6 16],[30.59055118 74.40944882] ; [ 6.40944882 15.59055118],0
s6,1,0.842222,0.039622,[52 52] ; [10 11],[51.584 52.416] ; [10.416 10.584],0
p2,1,0.86654,0.028242,[60 45] ; [13  9],[60.35433071 44.64566929] ; [12.64566929  9.35433071],0
r3,1,0.949672,0.003984,[95 10] ; [20  2],[95.07874016  9.92125984] ; [19.92125984  2.07874016],0
p3,1,0.949991,0.003934,[23 81] ; [ 5 17],[23.11111111 80.88888889] ; [ 4.88888889 17.11111111],0
n1,1,0.958762,0.002674,[12 25] ; [3 6],[12.06521739 24.93478261] ; [2.93478261 6.06521739],0
s3,1,0.969823,0.001431,[43 61] ; [ 9 13],[42.92063492 61.07936508] ; [ 9.07936508 12.92063492],0
