Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.369716,[34 14] ; [ 6 29],[23.13253012 24.86746988] ; [16.86746988 18.13253012],1
p8,1,3.7e-05,17.039438,[31 16] ; [ 7 28],[21.7804878 25.2195122] ; [16.2195122 18.7804878],1
p6,1,0.001571,9.992905,[19 29] ; [ 3 32],[12.72289157 35.27710843] ; [ 9.27710843 25.72289157],0
s7,1,0.005622,7.667506,[21 23] ; [ 6 28],[15.23076923 28.76923077] ; [11.76923077 22.23076923],0
p3,1,0.006332,7.45319,[22 26] ; [ 6 29],[16.19277108 31.80722892] ; [11.80722892 23.19277108],0
v2,1,0.019678,5.440199,[27 19] ; [11 23],[21.85 24.15] ; [16.15 17.85],0
s6,1,0.026425,4.928024,[31 17] ; [14 21],[26.02409639 21.97590361] ; [18.97590361 16.02409639],0
u2,1,0.027001,4.890769,[14  6] ; [4 9],[10.90909091  9.09090909] ; [7.09090909 5.90909091],0
s8,1,0.031424,4.62963,[22 26] ; [ 8 27],[17.34939759 30.65060241] ; [12.65060241 22.34939759],0
p10,1,0.032675,4.562745,[39  9] ; [21 14],[34.69879518 13.30120482] ; [25.30120482  9.69879518],0
r1,1,0.044188,4.049357,[35 13] ; [18 17],[30.65060241 17.34939759] ; [22.34939759 12.65060241],0
n3,1,0.049436,3.860482,[12  3] ; [10 11],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
p2,1,0.057172,3.617573,[38 10] ; [21 14],[34.12048193 13.87951807] ; [24.87951807 10.12048193],0
p11,1,0.060813,3.515064,[39  9] ; [22 13],[35.27710843 12.72289157] ; [25.72289157  9.27710843],0
s3,1,0.072609,3.22304,[26 22] ; [12 23],[21.97590361 26.02409639] ; [16.02409639 18.97590361],0
v3,1,0.076298,3.142055,[15 32] ; [ 5 29],[11.60493827 35.39506173] ; [ 8.39506173 25.60493827],0
s2,1,0.092289,2.833985,[23 25] ; [10 24],[19.31707317 28.68292683] ; [13.68292683 20.31707317],0
n1,1,0.139135,2.1875,[5 9] ; [ 3 18],[ 3.2 10.8] ; [ 4.8 16.2],0
d3,1,0.167063,1.909104,[30 17] ; [17 18],[26.93902439 20.06097561] ; [20.06097561 14.93902439],0
n2,1,0.171857,1.866667,[13  2] ; [14  7],[11.25  3.75] ; [15.75  5.25],0
a7,1,0.178539,1.809741,[33 15] ; [19 16],[30.07228916 17.92771084] ; [21.92771084 13.07228916],0
r4,1,0.182281,1.778924,[39  9] ; [24 11],[36.43373494 11.56626506] ; [26.56626506  8.43373494],0
r3,1,0.220199,1.503076,[43  5] ; [28  7],[41.06024096  6.93975904] ; [29.93975904  5.06024096],0
v1,1,0.236774,1.399698,[25 22] ; [14 21],[22.35365854 24.64634146] ; [16.64634146 18.35365854],0
b1,1,0.244527,1.354306,[24 24] ; [13 22],[21.39759036 26.60240964] ; [15.60240964 19.39759036],0
s5,1,0.281005,1.162222,[11 35] ; [ 5 30],[ 9.08641975 36.91358025] ; [ 6.91358025 28.08641975],0
a8,1,0.285496,1.140741,[ 4 40] ; [ 1 32],[ 2.85714286 41.14285714] ; [ 2.14285714 30.85714286],0
b4,1,0.290763,1.116085,[26 22] ; [23 12],[28.3373494 19.6626506] ; [20.6626506 14.3373494],0
a5,1,0.31314,1.017385,[30 18] ; [18 17],[27.75903614 20.24096386] ; [20.24096386 14.75903614],0
n6,1,0.315221,1.008673,[33 14] ; [28  7],[34.96341463 12.03658537] ; [26.03658537  8.96341463],0
d5,1,0.408992,0.681729,[33 15] ; [21 14],[31.22891566 16.77108434] ; [22.77108434 12.22891566],0
